"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"duration"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"start_date"	"category"
"Actuary"	"£600 - £650 per Day"	"Reading, Berkshire"	"Contract"	"Actuary"	"Reading, Berkshire - £600 - £650 per Day"	"Contract"	"Posted: Thursday, 29 November 2018"	""	"ActuaryWorking with Prudential as an Actuary means becoming part of a brand with a global reputation, a remarkable history and exciting plans for the future. If you're inspired to join us, and if you have the necessary qualities, then this could be the opportunity you've been looking for.At Prudential we're absolutely focused on getting the best outcomes for customers. Ours is one of the most profitable and trusted names in life and pensions, and we lead the market in a number of pension products. Across the world, we look after £635 billion in savings and investments for 24 million customers (as at June 2017).This role requires a part qualified/qualified Actuary who has practical experience across a range of Finance specialisms. The main duties of the role are:To produce and be accountable for the technical accuracy of financial information to support the production of actuarial analysis, models and reportsTo provide specialist technical advice and guidance on the application of actuarial principles and tools to support business objectives, coaching and guiding less experienced members of the teamTo provide technical expertise to design technical solutions as part of change projects within Finance where requiredPeople who work at Prudential agree that ours is a great place to work with a brilliant team spirit. It's also an innovative, high-performing commercial environment that's totally focused on customers. And in a fast-changing world, you'll join an organisation that's leading the way in helping customers achieve their long-term financial goals.At Prudential we work hard to create an environment that enables everyone to flourish and we actively encourage diversity across the business. "	"Reading, Berkshire, UK"	"Finance"	"6 months"	"£600 - £650 per Day"	"Resource Solutions - M&G Prudential"	"Martyn Jack"	"JS-1111862"	"29/11/2018 10:38:58"	"http://www.jobserve.com/GkguQ"	NA	NA
"Actuarial Configuration Consultant"	"Competitve + Bonus + Bens"	"Newbury"	"Permanent"	"Actuarial Configuration Consultant"	"Newbury - Competitve + Bonus + Bens"	"Permanent"	"Posted: Tuesday, 27 November 2018"	""	" As an Actuarial Configuration Consultant, you will be responsible for the set-up, testing, and support of a leading Fin Tech's stochastic modelling tools, working with senior analysts, consultants and developers to deliver high quality solutions to their clients.   Key Responsibilities   Functional and numerical system testing of newly developed tools and enhancements to existing tools using an agile approach, handling aspects such as data integration and defect management to ensure timely delivery to specification/requirements.   Configuring and testing of the systems, including independent checking of stochastic forecast results.   Test planning and implementation including drafting high level and low level test plans, test scenarios/criteria and scripts.   Core Skills/Qualifications   A degree in mathematics or a scientific discipline with high mathematical content   1+ years' experience within an analytical systems based role or financial environment.   Strong Excel knowledge   Good problem solving skills and ability to provide creative solutions   Able to work independently with excellent attention to detail   Ability to respond appropriately to moving or competing priorities   Ability to communicate effectively and confidently and relay technically complex concepts   Ability to function professionally and proactively in a team environment - being a good team player is essential   Be able to use own initiative to ensure productivity is maintained.   A desire to succeed and progress within your career.   Actuarial exams aren't required but would be looked upon favourably.   For full details please contact Katie Collins. "	"Newbury, UK"	"IT"	NA	"Competitve + Bonus + Bens"	"Intega IT"	"Katie Colins "	"JSATC-KC"	"27/11/2018 09:38:55"	"http://www.jobserve.com/GkMnq"	"ASAP - 4 weeks"	NA
"Actuarial Pricing Analyst"	"£45k"	"Bristol"	"Permanent"	"Actuarial Pricing Analyst"	"Bristol - £45k"	"Permanent"	"Posted: Wednesday, 28 November 2018"	""	"Role: Retail Pricing Analyst Salary: DOE Location: Bristol How would you like to work for one of the UK's fastest growing insurance and claims management businesses? Lynx Recruitment are working closely with a client committed to providing customer satisfaction. They are based in Bristol and looking for an Actuarial Analyst with a proven track record within the Motor Insurance industry. Key Responsibilities: With feedback, look to amend and improve the price optimisation framework A focus around delivering the price optimisation project Involvement in the generation of new and renewal of current business Maximisation of lifetime value through manipulation of broker loads, allowing for many aspects of business: Models of price elasticity, loss ratios, broker finance income, broker loads, MTA propensity, cancellation propensity, renewal propensity, market price models, more general demand models etc. Potential to get involved in risk pricing either directly or indirectly Desirable Skills/Experience A proven track record in both Personal Lines and Motor Insurance is essential Statistical modelling A track record in working with SAS/SQL/R or other An actuarial focus, either through experience or exams is desirable Good communication skills A range of great benefits are also on offer and there will be a discussion around our client's full actuarial study package at the interview stage should this be desired."	"Bristol, UK"	"Finance"	NA	"£45k"	"Lynx Recruitment Ltd"	"Joshua Wetson"	"JSJW110"	"28/11/2018 08:50:26"	"http://www.jobserve.com/GiCkV"	"ASAP"	NA
"Pricing Actuary - General Insurance Pricing, Property Insurance"	"£750 - £765 per Day"	"City of London"	"Contract"	"Pricing Actuary - General Insurance Pricing, Property Insurance"	"City of London - £750 - £765 per Day"	"Contract"	"Posted: Tuesday, 27 November 2018"	""	"Pricing Actuary - General Insurance Pricing, Property Insurance, Delegated Authority & great communication skills.ContractLondon3 months Initially£765/dayMy prestigious client is looking to recruit a Pricing Actuary for an initial period of 3 months. You will be working in the Property Delegated Authority to undertake case pricing and rating model development.Qualified or near qualified actuary with at least 4-5 years' work experiencePrior general insurance pricing experience - particularly in Property insurance3-month contract to provide additional resource for key policy renewal periodMajority of work will be individual case pricing, and some pricing model development in Property Delegated Authorities division. It will involve regular (daily) contact with underwriters, so will need someone with strong communication skills. Working alongside two newly qualified actuaries with experience ranging from 5-10 years.Will look at more experienced actuaries, so long as they are willing to perform the above role and get involved to meet priorities as they come up.Pricing Actuary - General Insurance Pricing, Property Insurance, Delegated Authority & great communication skills.ContractLondon3 months Initially£765/day"	"City of London, UK"	"Finance"	"3 months"	"£750 - £765 per Day"	"i3 Resourcing"	"John Melrose "	"JS-JM/I3/ACT"	"27/11/2018 09:37:00"	"http://www.jobserve.com/GkMni"	NA	NA
"Senior Actuarial Trainee"	"£36,000 - £54,000"	"Edinburgh, Scotland"	"Permanent"	"Senior Actuarial Trainee"	"Edinburgh, Scotland - £36,000 - £54,000"	"Permanent"	"Posted: Tuesday, 27 November 2018"	""	"Senior Actuarial TraineeSalary: £36,000 - £54,000Benefits - 9% Bonus at target, PMI after 1 year, 28 days holiday, Pension, flexi benefitsRoyal London is the largest mutual life, pensions and Investment Company in the UK, with Group funds under management of £114 billion and latest Profit Share pay out to members of £142 million. Group businesses provide around 9.0 million policies and employ 3,669 people. (Figures quoted are as at 10 May 2018). Founded as a Friendly Society in a London coffee shop in 1861, Royal London started out with the aim to help people avoid the stigma of a pauper's grave. Since then we have been helping people help themselves and are committed to delivering the best value for customers and putting members first.We have an excellent permanent opportunity for a Senior Actuarial Trainee to join the Business Partnering team in Edinburgh. The Business Partnering team seeks to support, challenge and influence the business. The purpose of the role is to provide value added insight to the business we are writing, including the risks to profits and opportunities to enhance profits. The role will involve working closely with other teams in Finance and the wider business to carry out detailed modelling and analysis, and clearly communicating the results to senior stakeholders throughout the Group.Responsibilities:Undertake technical analysis using complex actuarial and analytical techniques.Checks work of a technical or complex nature, providing feedback to the originator.Identify and make improvements to areas in processes which have a high level of risk or control failure.Challenge and make improvements and efficiencies to data, processes, procedures and documentation to make them more accurate and/or efficient.Seek and use innovative solutions to queries and problems.Provide insight and interpretation of data and results to colleagues across the department and the wider business.Skills, Qualifications & Experience:Nearly Qualified or Newly Qualified Actuary (ie FIA or FFA) with excellent understanding of the actuarial concepts and techniques required to fulfil the role.Strong Financial Modelling experience/Strong spreadsheet development skillsIdeally experience of working within another life insurance business or consultancy.Highly developed communication skills, verbal, written and listening.Ability to communicate in a professional manner with colleagues, senior managers, boards and committees across the department and the wider business and to third parties and external bodies.Royal London is an equal opportunities employer. We work hard to attract the best talent for our award-winning team. We believe that embracing difference makes us stronger. Our diverse people bring us different skills - whatever their educational background, disability, gender, age, sexual orientation, race, religion or belief.We will consider flexible working arrangements for all our roles. We also welcome applications from individuals who have taken an extended career break.To apply, please use the 'Apply Online' link below.For any further queries regarding the role, please contact Erik Snaathorst (see below)"	"Edinburgh, Scotland, UK"	"Finance"	NA	"£36,000 - £54,000"	"Resource Management"	"Resource Management ltd "	"JS-ROYAL LONDON02950"	"27/11/2018 10:41:14"	"http://www.jobserve.com/GkN7U"	NA	NA
"Aspen Actuarial Graduate Program"	""	"City of London"	"Permanent"	"Aspen Actuarial Graduate Program"	"City of London"	"Permanent"	"Posted: Wednesday, 28 November 2018"	""	"As a Graduate Actuary at Aspen, you'll be using your love of mathematics to master the numbers behind our business. By analysing our past and present business and management data, you'll help us to quantify the risks and probabilities of future events, providing us with actionable information and a competitive advantage in one of three key areas:Reserving: applying statistical techniques to assess the likely outcome of our insurance liabilities, and the capital provisions required to meet them.Pricing: assessing the frequency and average amount of claims in order to establish our risk appetite and allow us to price our risks appropriately and competitively.Capital modelling: projecting our liabilities and assets to assess solvency and future capital needs.You'll be working with some of the industry's best actuaries who will help and guide you during your program, especially while you're studying for your actuarial examinations. Successful completion of modules will see you rewarded with pay increases and bonuses, allowing your career to progress as quickly as you want it to.We are looking for graduates who are highly numerate and are on track to achieve a 2:1 (UK) or a GPA of 3.0 or above (US). You will be studying towards or have completed an Actuarial Science or a mathematically related degree at Bachelors level or higher. In the UK you will have good GCSE and A/AS Level grades (300 UCAS points), ideally having studied a numerical subject such mathematics to A or AS Level and achieved a B grade or above.Excellent verbal and written communication skills and the ability to quickly build relationships are crucial for success, as our roles are business-facing from day one. We are looking for candidates who are self-starters and are able to handle multiple tasks and prioritise demonstrating strong organizational and time management skills.We are looking for candidates who are self-starters and are able to handle multiple tasks and prioritise demonstrating strong organizational and time management skills.To apply click on the link and fill out all the fields and upload the latest copy of your resume. Be sure all of your contact information is included on the resume so we can contact you by phone and E-mail.Don't forget to press \"submit\" when you're done. And for more information about the Program, please visit our website"	"City of London, UK"	"Finance"	NA	NA	"Pontoon"	"Rita Gilbert"	"JS-ASP-ACT239596834"	"28/11/2018 13:00:34"	"http://www.jobserve.com/GkYuS"	NA	"Graduate"
"General Insurance Actuary"	"£70k - £85k"	"London"	"Permanent"	"General Insurance Actuary"	"London - £70k - £85k"	"Permanent"	"Posted: Thursday, 29 November 2018"	""	"How would you like to work for a global, top 4 consultancy? Lynx Recruitment are working closely with their client as they go through a period of extensive growth, now looking to take on board Senior Consultants to be involved in a variety of areas. Key areas of involvement: IFRS17 Solvency II Actuarial modelling Capital management Reserving Required Skills: Sound knowledge of the non-life industry Application of knowledge to a wide variety of situations Experience in at least one of the areas above A strong academic background in the actuarial industry Strong communication skills Required Experience: Be actively involved in multiple projects of a technical nature The ability to manage small groups of Actuarial trainees Comfortability in dealing with an extensive list of clients including face-to-face meetings Assist with business development While an extensive skill set is naturally important, our client places an equal value on a strong and adaptable personality. The candidate must be multi-dimensional and willing to contribute wherever and whenever required. A great range of benefits are also on offer. If this is of interest then please do not hesitate to get in touch."	"London, UK"	"Finance"	NA	"£70k - £85k"	"Lynx Recruitment Ltd"	"Joshua Wetson "	"JSJWACT1"	"29/11/2018 08:09:43"	"http://www.jobserve.com/GhFy2"	"ASAP"	NA
"MoSes Developer"	"Up to £800 per Day"	"United Kingdom"	"Contract"	"MoSes Developer"	"United Kingdom - Up to £800 per Day"	"Contract"	"Posted: Thursday, 29 November 2018"	""	"Our client is looking for an actuarial MoSes developer based on a 6 months contract - up to £800 per day The senior Actuarial Modeller role forms a key part of the Division Modelling Team that provides a group level modelling service - including Europe & UK. Supporting the Head of Actuarial Modelling and the team in the development and maintenance of MoSes Pricing, Valuation and Corporate modelling tools across all product lines and Business Units whilst also managing, coaching and developing less experienced Actuarial Modellers This allows the Actuarial Modeller to be exposed to a dynamic and extensive variety of models, products and treaties. This is a Front Office role from an internal perspective and the team interacts with the model users from all over the business on a daily basis. An example of a key project that the Actuarial Modeller will work on will be a model migration exercise scheduled in order to migrate all of the models to a new platform Must have coding experience in eg. C++ or Visual Basic Demonstrable interest in actuarial modelling and model development experience, preferably with knowledge of Life, CI, IP and Annuity/Longevity products Experience of using MoSes, RiskAgility FM or similar modelling platforms, including an understanding of the benefits and limitations of such platforms Advanced understanding of Microsoft Excel and Word Excellent written and verbal communication skills and ability to build and manage relationships with stakeholders in Actuarial and non-Actuarial teams If you are interested in this opportunity or looking for similar opportunities please feel free to contact our team."	"United Kingdom"	"IT"	"6 months"	"Up to £800 per Day"	"Lynx Recruitment Ltd"	"Joshua Wetson "	"JSJWMOS1"	"29/11/2018 08:09:43"	"http://www.jobserve.com/GhAMV"	"ASAP"	"Executive"
"Pricing Analyst"	"£45k-£65k (DOE)"	"London"	"Permanent"	"Pricing Analyst"	"London - £45k-£65k (DOE)"	"Permanent"	"Posted: Wednesday, 28 November 2018"	""	"Pricing Analyst - Model Development Insurance  Job Description    A leading international specialist insurance company is looking for a Pricing Analyst to join their pricing team. As a Pricing Analyst, you will provide pricing support, analysis and influence on the book of commercial high-net worth household, motor as well as specialty lines and other sectors. Key responsibilities: Lead a complete pricing analysis and modelling projects to deliver comprehensive pricing and underwriting recommendations into the business. Influence stakeholders in the wider business to deliver budgeted volume and profitability targets over the underwriting cycle. You will be a key point of contact for product and portfolio underwriting managers and work with them to develop pricing models and approaches that enhance ability to select and accurately price business according to the risk presented. Take accountability for the performance of all pricing models used for your products Monitor performance, develop, execute and maintain regular segmented analysis to improve understanding of profitability. Executing, and maintaining analysis in terms of quote conversion, policy retention, and claims experience, and analysis of competitor behavior. Requirements:  Good understanding of Commercial Lines and Personal Lines insurance. High level of numeric competence and excellent data gathering and manipulation skills. In-depth statistical skills within typical business scenarios. General knowledge of programming, statistical and machine learning approaches. Strong analytical pragmatic reasoning skills. Innovative problem-solving approach. Excellent communication skills with ability to simplify complex subjects. Deadline oriented, hardworking, curious, passionate, enthusiastic and a self-starter. Comfortable influencing and communicating across a Matrix structure. Experience in using data manipulation & statistical software packages such as SAS, SQL, Excel/VBA etc. Note: This is not an actuarial role."	"London, UK"	"IT, Finance"	NA	"£45k-£65k (DOE)"	"HFG"	"Simona Zalyte"	"JS"	"28/11/2018 07:02:33"	"http://www.jobserve.com/Ggzf2"	NA	NA
"Head of Investment Strategy"	"£1k - £1.4k per Day"	"Edinburgh, Scotland"	"Contract"	"Head of Investment Strategy"	"Edinburgh, Scotland - £1k - £1.4k per Day"	"Contract"	"Posted: Thursday, 29 November 2018"	""	"Our client is one if the leading Investment firms in the UK and they are looking to recruit an Interim Head of Investment Strategy to be either base in London or Scotland.This role will be primarily responsible for the Group's Investment philosophy and Strategic Asset Allocation Framework to be within risk appetite and ensuring alignment with the firm's brand.Key Responsibilities:Strategic Asset Allocation Framework is reviewed and maintained annually to ensure that the long term asset allocation of all Group multi asset funds is optimised to provide good customer outcomesUse best practice Asset Liability Management techniques to regularly review the Strategic Asset Allocations to deliver good customer outcomesReviews capital impact of changes to Strategic Asset Allocations against risk appetitePro-actively explores opportunities with external partners to develop investment capabilities which will support better customer outcomesImplements, monitors and reviews investment strategies provided by external fund managersKey skills and experience required:Experience of Life Office Asset Management would be highly advantageousKnowledge of modern asset liability management techniquesExcellent understanding of the Investment marketUnderstanding of Assets & Capital Markets including Derivatives knowledgeIdeally you will also be a qualified actuary"	"Edinburgh, Scotland, UK"	"Finance"	"6 months"	"£1k - £1.4k per Day"	"Resource Management"	"Ben Beesley"	"JS-BB231"	"29/11/2018 10:44:35"	"http://www.jobserve.com/GkgzP"	"ASAP"	"Executive"
