"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"category"	"duration"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"
"Actuary"	"£600 - £850 per Day"	"Stirling, Scotland"	"Contract"	"Actuary"	"Stirling, Scotland - £600 - £850 per Day"	"Contract"	"Posted: Wednesday, 5 December 2018"	""	"ActuaryWorking with Prudential as an Actuary means becoming part of a brand with a global reputation, a remarkable history and exciting plans for the future. If you're inspired to join us, and if you have the necessary qualities, then this could be the opportunity you've been looking for.At Prudential we're absolutely focused on getting the best outcomes for customers. Ours is one of the most profitable and trusted names in life and pensions, and we lead the market in a number of pension products. Across the world, we look after £635 billion in savings and investments for 24 million customers (as at June 2017).This role requires a part qualified/qualified Actuary who has practical experience across a range of Finance specialisms. The main duties of the role are:To produce and be accountable for the technical accuracy of financial information to support the production of actuarial analysis, models and reportsTo provide specialist technical advice and guidance on the application of actuarial principles and tools to support business objectives, coaching and guiding less experienced members of the teamTo provide technical expertise to design technical solutions as part of change projects within Finance where requiredPeople who work at Prudential agree that ours is a great place to work with a brilliant team spirit. It's also an innovative, high-performing commercial environment that's totally focused on customers. And in a fast-changing world, you'll join an organisation that's leading the way in helping customers achieve their long-term financial goals.At Prudential we work hard to create an environment that enables everyone to flourish and we actively encourage diversity across the business. "	"Stirling, Scotland, UK"	"Finance"	"Executive"	"6 months"	"01/01/2019"	"£600 - £850 per Day"	"Resource Solutions - M&G Prudential"	"Martyn Jack"	"JS-1111862"	"05/12/2018 10:08:29"	"http://www.jobserve.com/GllsW"
"Actuary"	"£600 - £650 per Day"	"Reading, Berkshire"	"Contract"	"Actuary"	"Reading, Berkshire - £600 - £650 per Day"	"Contract"	"Posted: Wednesday, 5 December 2018"	""	"ActuaryWorking with Prudential as an Actuary means becoming part of a brand with a global reputation, a remarkable history and exciting plans for the future. If you're inspired to join us, and if you have the necessary qualities, then this could be the opportunity you've been looking for.At Prudential we're absolutely focused on getting the best outcomes for customers. Ours is one of the most profitable and trusted names in life and pensions, and we lead the market in a number of pension products. Across the world, we look after £635 billion in savings and investments for 24 million customers (as at June 2017).This role requires a part qualified/qualified Actuary who has practical experience across a range of Finance specialisms. The main duties of the role are:To produce and be accountable for the technical accuracy of financial information to support the production of actuarial analysis, models and reportsTo provide specialist technical advice and guidance on the application of actuarial principles and tools to support business objectives, coaching and guiding less experienced members of the teamTo provide technical expertise to design technical solutions as part of change projects within Finance where requiredPeople who work at Prudential agree that ours is a great place to work with a brilliant team spirit. It's also an innovative, high-performing commercial environment that's totally focused on customers. And in a fast-changing world, you'll join an organisation that's leading the way in helping customers achieve their long-term financial goalsAt Prudential we work hard to create an environment that enables everyone to flourish and we actively encourage diversity across the business. "	"Reading, Berkshire, UK"	"Finance"	NA	"6 months"	"01/01/2019"	"£600 - £650 per Day"	"Resource Solutions - M&G Prudential"	"Martyn Jack"	"JS-1111862"	"05/12/2018 09:45:01"	"http://www.jobserve.com/GllZi"
"Actuary"	"£600 - £650 per day"	"Reading"	"Permanent"	"Actuary"	"Reading - £600 - £650 per day"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"ActuaryWorking with Prudential as an Actuary means becoming part of a brand with a global reputation, a remarkable history and exciting plans for the future. If you're inspired to join us, and if you have the necessary qualities, then this could be the opportunity you've been looking for.At Prudential we're absolutely focused on getting the best outcomes for customers. Ours is one of the most profitable and trusted names in life and pensions, and we lead the market in a number of pension products. Across the world, we look after £635 billion in savings and investments for 24 million customers (as at June 2017).This role requires a part qualified/qualified Actuary who has practical experience across a range of Finance specialisms. The main duties of the role are:To produce and be accountable for the technical accuracy of financial information to support the production of actuarial analysis, models and reportsTo provide specialist technical advice and guidance on the application of actuarial principles and tools to support business objectives, coaching and guiding less experienced members of the teamTo provide technical expertise to design technical solutions as part of change projects within Finance where requiredPeople who work at Prudential agree that ours is a great place to work with a brilliant team spirit. It's also an innovative, high-performing commercial environment that's totally focused on customers. And in a fast-changing world, you'll join an organisation that's leading the way in helping customers achieve their long-term financial goals.At Prudential we work hard to create an environment that enables everyone to flourish and we actively encourage diversity across the business. "	"Reading, UK"	"Finance"	"Executive"	"6 months"	NA	"£600 - £650 per day"	"Resource Solutions - M&G Prudential"	"Martyn Jack"	"JS-1111862"	"07/12/2018 16:31:15"	"http://www.jobserve.com/Gl6oE"
"Actuarial Contractor - Financial Reporting"	"£550 - £700 per Day"	"South West England"	"Contract"	"Actuarial Contractor - Financial Reporting"	"South West England - £550 - £700 per Day"	"Contract"	"Posted: Friday, 7 December 2018"	""	"Actuarial Contractor - Financial ReportingSanderson Recruitment is looking to recruit an Actuarial Manager to join a major life insurance business based in the South West. The job holder will take a senior role in the valuations workstream team.The team are responsible for understanding and explaining movements in reported results due to differences between old and new platformsPerson specification:Qualified ActuaryStrong technical understanding of Financial ReportingUse of Prophet and Actuarial Reporting would be desirableGood analytical skills and strong attention to detailExcellent written and oral communication skills"	"South West England, UK"	"Finance"	NA	"6 months"	NA	"£550 - £700 per Day"	"Sanderson Recruitment Plc"	"Erik Snaathorst "	"JS-ES019"	"07/12/2018 12:45:27"	"http://www.jobserve.com/Gl5UC"
"General Insurance Actuary"	"£70k - £85k"	"London"	"Permanent"	"General Insurance Actuary"	"London - £70k - £85k"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"How would you like to work for a global, top 4 consultancy? Lynx Recruitment are working closely with their client as they go through a period of extensive growth, now looking to take on board Senior Consultants to be involved in a variety of areas. Key areas of involvement: IFRS17 Solvency II Actuarial modelling Capital management Reserving Required Skills: Sound knowledge of the non-life industry Application of knowledge to a wide variety of situations Experience in at least one of the areas above A strong academic background in the actuarial industry Strong communication skills Required Experience: Be actively involved in multiple projects of a technical nature The ability to manage small groups of Actuarial trainees Comfortability in dealing with an extensive list of clients including face-to-face meetings Assist with business development While an extensive skill set is naturally important, our client places an equal value on a strong and adaptable personality. The candidate must be multi-dimensional and willing to contribute wherever and whenever required. A great range of benefits are also on offer. If this is of interest then please do not hesitate to get in touch."	"London, UK"	"Finance"	NA	NA	"ASAP"	"£70k - £85k"	"Lynx Recruitment Ltd"	"Joshua Wetson "	"JSJWACT1"	"06/12/2018 10:07:46"	"http://www.jobserve.com/GhFy2"
"MoSes Developer"	"Up to £800 per Day"	"United Kingdom"	"Contract"	"MoSes Developer"	"United Kingdom - Up to £800 per Day"	"Contract"	"Posted: Thursday, 6 December 2018"	""	"Our client is looking for an actuarial MoSes developer based on a 6 months contract - up to £800 per day The senior Actuarial Modeller role forms a key part of the Division Modelling Team that provides a group level modelling service - including Europe & UK. Supporting the Head of Actuarial Modelling and the team in the development and maintenance of MoSes Pricing, Valuation and Corporate modelling tools across all product lines and Business Units whilst also managing, coaching and developing less experienced Actuarial Modellers This allows the Actuarial Modeller to be exposed to a dynamic and extensive variety of models, products and treaties. This is a Front Office role from an internal perspective and the team interacts with the model users from all over the business on a daily basis. An example of a key project that the Actuarial Modeller will work on will be a model migration exercise scheduled in order to migrate all of the models to a new platform Must have coding experience in eg. C++ or Visual Basic Demonstrable interest in actuarial modelling and model development experience, preferably with knowledge of Life, CI, IP and Annuity/Longevity products Experience of using MoSes, RiskAgility FM or similar modelling platforms, including an understanding of the benefits and limitations of such platforms Advanced understanding of Microsoft Excel and Word Excellent written and verbal communication skills and ability to build and manage relationships with stakeholders in Actuarial and non-Actuarial teams If you are interested in this opportunity or looking for similar opportunities please feel free to contact our team."	"United Kingdom"	"IT"	"Executive"	"6 months"	"ASAP"	"Up to £800 per Day"	"Lynx Recruitment Ltd"	"Joshua Wetson "	"JSJWMOS1"	"06/12/2018 10:07:45"	"http://www.jobserve.com/GhAMV"
"SQL/VBA Developer"	"£400 - £450 per Day +"	"Bristol"	"Contract"	"SQL/VBA Developer"	"Bristol - £400 - £450 per Day +"	"Contract"	"Posted: Wednesday, 5 December 2018"	""	"SQL/VBA DeveloperA SQL/VBA Developer is urgently required to join a Financial Services company for an initial 4 month contract with a guaranteed extension beyond this.The successful SQL/VBA Developer will be responsible for supporting a Cash Flow Management system, which brings together the Bank's Actuarial and Accounting data. This will involve picking up change requests via JIRA, coding, testing and putting these into production.Key Skills Required:SQL Server development experience (stored procedures & database design)Access VBA application development experienceExperience working in Agile delivery environmentsSoftware development life cycle (SDLC) experienceFinancial Services backgroundIf you have the relevant experience for this SQL/VBA Developer role then please apply with an updated copy of your CV.KEYWORDS: SQL/VBA DEVELOPER, SQL SERVER, STORED PROCEDURES, DATABASE DESIGN, ACCESS VBA, SDLC, JIRA, AGILE, CHANGE, FINANCIAL SERVICESOrgtel, a trading division of SThree Partnership LLP is acting as an Employment Business in relation to this vacancy "	"Bristol, UK"	"IT"	NA	"4 months"	"ASAP"	"£400 - £450 per Day +"	"Orgtel"	"Reem Altamore "	"JS-OT-33004425"	"05/12/2018 19:32:25"	"http://www.jobserve.com/Glqht"
"Senior MI Analyst - Lloyds Insurance Market"	"£40k - £50k per annum + bonus, Pension, health etc"	"England"	"Permanent"	"Senior MI Analyst - Lloyds Insurance Market"	"England - £40k - £50k per annum + bonus, Pension, health etc"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"Senior MI Analyst - Lloyds Insurance MarketMy client urgently requires an Senior MI Analyst to join a team based in their London HQ.THE ROLEAs a Senior MI Analyst you will join a team of 6 focused on producing reports to Lloyds for new syndicate acquisitions within the business. The team directly services the Claims, Actuarial and Finance teams setting up and managing the production of ASR, QSR, TPD and QMA Returns. This will see the Senior MI Analyst mapping and reconciling data by business class, settlement currency and year of account.The Senior MI Analyst will also produce templates for a variety of other reports utilised widely by the business and you will be called upon to supervise and train junior members of staff as the team continue to grow.THE REQUIREMENTS- Proven successful experience in a similar role producing MI Reports within the Insurance sector (Preferably Lloyd's Insurance Market)- Experience utilising Microsoft Excel, VBA & SQL - Familiarity with underwriting systems with the ability to analyse, interpret and review complex financial informationAny experience with data visualisation tools such as Cognos, SSIS or Tableau would be beneficial, however training will be provided.THE OFFER- Salary up to £50,000 + Bonus- 25 days holiday (+BHs)- Generous contributory pension- Health care- Life Assurance- Vouchers/Discounts- Cycle to work scheme- Travel loan- And more....THE COMPANYYour new employer is a global insurance with over 1,000 employees worldwide. They have a significant presence in the Lloyds Specialist Insurance market and continue to grow by leaps and bounds year on year.Internally they provide a modern, open and inclusive office environment and encourage team building on a regular basis. Here you will be supported to grow your career and will be provided with ample opportunity to continue with personal development.If you feel like this is the type of role for you, apply now and do not risk missing out!Lawrence Harvey is acting as an employment agency in regards to this position."	"England, UK"	"IT"	NA	NA	"ASAP"	"£40k - £50k per annum + bonus, Pension, health etc"	"Lawrence Harvey"	"Mason Nathaniel "	"JS-HQ00085238"	"04/12/2018 10:30:28"	"http://www.jobserve.com/GlZAr"
"Data Scientist"	"£30k - 42k per annum"	"London"	"Permanent"	"Data Scientist"	"London - £30k - 42k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Data ScientistInsuranceCity of LondonAn amazing opportunity for a talented Data Scientist to join the leading Specialty Insurance company to work within their technical pricing team. DUTIES:Develop and apply data science, machine learning and other statistical techniques to draw insights and shape the strategic direction of data usageTake part in expanding data processing and technical modelling frameworkEstablish efficient ways of implement segmentation and predictive modelsEnsure that reusable data assets build smoothly on a regular basisSKILLS & EXPERIENCE REQUIRED:Academic background in computer science, engineering, physics, actuarial science, statistics or Maths based equivalentExceptional statistical skills - experience of building predictive models using a wide variety of tools and techniques (eg linear or logistic regression, gradient boosted machines, random forest, regularisation, neural networks)Advanced data manipulation or experience of managing large-scale data sets within an analytical function (eg dplyr, pandas, SQL, etc.)Advanced experience of data science or analytics software like Python, R, SAS/WPS, MATLAB etc.Working knowledge of relevant development environments (eg PyCharm, RStudio, Visual Studio Code, eclipse) and Shell Scripting (eg Bash, PowerShell), version control (eg git, Subversion, Mercurial) etc.BENEFITS:As well as a competitive salary, this role also offers: Performance profit share bonus (c.12% of salary)25 days holiday plus bank holidaysEmployer pension contribution of 5%, with employee contribution of 3%+Income replacement insurance4 x salary life assurance You will also have access to flexible benefits, which are employee paid, and includes: holiday buy, gym membership, car salary sacrifice, critical illness insurance, health screening - allowing you the freedom to choose those that are most appropriate for you. "	"London, UK"	"IT"	NA	NA	"ASAP"	"£30k - 42k per annum"	"HFG"	"Simona Zalyte "	"JSSZ143L"	"03/12/2018 12:02:20"	"http://www.jobserve.com/GlOSV"
"Data Project Manager"	"£550.00 - £600.00 per Day"	"Bromley, Kent"	"Contract"	"Data Project Manager"	"Bromley, Kent - £550.00 - £600.00 per Day"	"Contract"	"Posted: Thursday, 6 December 2018"	""	"Project Manager - Data - GDPR - SAS - Oracle - Insurance An urgent requirement has arisen for a Project Manager to join a leading Insurance organisation to work as part of a GDPR Programme. The Project Manager will be specifically required to lead a project which is focusing on implementing access controls to analytical users of data. There are two specific systems which they will be looking at - one is a Policy system and the other is Claims. The project is already in-flight and they are due to go into testing stages with the first delivery due in September next year. The Project Manager will be required to work closely with the data team in order to understand what changes needs to be made in order to fulfil the need. The data team are fairly unstructured therefore the Project Manager needs to be able to work in this kind of environment but must be able to put some structure into place in order to keep the delivery on track. The PM will need to be able to develop and update plans, manage risks and issues and liaise with stakeholders across multiple business areas including actuarial. In order to be considered for this role, you will be a strong Project Manager with a excellent background delivering projects within a Financial services environment, knowledge of Insurance in particular would be highly desirable. You will have good experience of managing data focussed projects and specific knowledge of Oracle and SAS would be particularly beneficial. GDPR knowledge would be a good to have, as would Data Privacy.What you need to do now If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now.Hays Specialist Recruitment Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the T&C's, Privacy Policy and Disclaimers which can be found on our website."	"Bromley, Kent, UK"	"Finance"	NA	"6 months"	NA	"£550.00 - £600.00 per Day"	"Hays Specialist Recruitment"	"Sarah Reising "	"JS-3474436"	"06/12/2018 17:22:53"	"http://www.jobserve.com/GlyiW"
