"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"duration"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"category"	"company_summary"
"Actuary"	"£600 - £650 per Day"	"London"	"Contract"	"Actuary"	"London - £600 - £650 per Day"	"Contract"	"Posted: Monday, 10 December 2018"	""	"ActuaryWorking with Prudential as an Actuary means becoming part of a brand with a global reputation, a remarkable history and exciting plans for the future. If you're inspired to join us, and if you have the necessary qualities, then this could be the opportunity you've been looking for.At Prudential we're absolutely focused on getting the best outcomes for customers. Ours is one of the most profitable and trusted names in life and pensions, and we lead the market in a number of pension products. Across the world, we look after £635 billion in savings and investments for 24 million customers (as at June 2017).This role requires a part qualified/qualified Actuary who has practical experience across a range of Finance specialisms. The main duties of the role are:To produce and be accountable for the technical accuracy of financial information to support the production of actuarial analysis, models and reportsTo provide specialist technical advice and guidance on the application of actuarial principles and tools to support business objectives, coaching and guiding less experienced members of the teamTo provide technical expertise to design technical solutions as part of change projects within Finance where requiredPeople who work at Prudential agree that ours is a great place to work with a brilliant team spirit. It's also an innovative, high-performing commercial environment that's totally focused on customers. And in a fast-changing world, you'll join an organisation that's leading the way in helping customers achieve their long-term financial goalsAt Prudential we work hard to create an environment that enables everyone to flourish and we actively encourage diversity across the business. "	"London, UK"	"Finance"	"6 months"	"01/01/2019"	"£600 - £650 per Day"	"Resource Solutions - M&G Prudential"	"Martyn Jack"	"JS-1111862"	"10/12/2018 12:46:20"	"http://www.jobserve.com/GmhhT"	NA	NA
"Actuary"	"£500 - £700 per Day"	"London"	"Permanent"	"Actuary"	"London - £500 - £700 per Day"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"ActuaryWorking with Prudential as an Actuary means becoming part of a brand with a global reputation, a remarkable history and exciting plans for the future. If you're inspired to join us, and if you have the necessary qualities, then this could be the opportunity you've been looking for.At Prudential we're absolutely focused on getting the best outcomes for customers. Ours is one of the most profitable and trusted names in life and pensions, and we lead the market in a number of pension products. Across the world, we look after £635 billion in savings and investments for 24 million customers (as at June 2017).This role requires a part qualified/qualified Actuary who has practical experience across a range of Finance specialisms. The main duties of the role are:To produce and be accountable for the technical accuracy of financial information to support the production of actuarial analysis, models and reportsTo provide specialist technical advice and guidance on the application of actuarial principles and tools to support business objectives, coaching and guiding less experienced members of the teamTo provide technical expertise to design technical solutions as part of change projects within Finance where requiredPeople who work at Prudential agree that ours is a great place to work with a brilliant team spirit. It's also an innovative, high-performing commercial environment that's totally focused on customers. And in a fast-changing world, you'll join an organisation that's leading the way in helping customers achieve their long-term financial goalsAt Prudential we work hard to create an environment that enables everyone to flourish and we actively encourage diversity across the business. "	"London, UK"	"Finance"	"6 months"	NA	"£500 - £700 per Day"	"Resource Solutions - M&G Prudential"	"Martyn Jack"	"JS-1111862"	"11/12/2018 11:03:11"	"http://www.jobserve.com/GmtbI"	NA	NA
"Actuarial Analyst"	""	"Kent"	"Permanent"	"Actuarial Analyst"	"Kent"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Actuarial AnalystI am looking for an Actuarial Analyst to work for a life insurance business based in Kent. As Actuarial Analyst you will be working in the actuarial function to meet various deadlines under Solvency II.The Actuarial Analyst will work within the following areas;Ability to work independently, to produce enhance spreadsheet models, used in the Actuarial departments.Support projection work for the Actuarial FunctionAbility to propose and help other to make changesWrite specs for model changes by looking at regulations with appropriate supportCommunicate both verbally and through drafting high-level written reports for senior stakeholders.Skills, Qualifications & Experience:Steady progress towards actuarial qualification ie. CT/CA stages, or given up exams.Experience of the UK life & pensions insurance industryHighly proficient in use of relevant computer systems, ideally good ExcelExcellent communication skills, verbal, written and listening"	"Kent, UK"	"Finance"	NA	NA	NA	"Sanderson Recruitment Plc"	"Erik Snaathorst "	"JS-ES007"	"10/12/2018 17:10:00"	"http://www.jobserve.com/GmkbE"	NA	NA
"Actuary - 12 months FTC"	"£50k - £70k per annum"	"Wilmslow, Cheshire"	"Contract/Permanent"	"Actuary - 12 months FTC"	"Wilmslow, Cheshire - £50k - £70k per annum"	"Contract/Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Actuary - 12 months FTCRoyal London is the largest mutual life, pensions and Investment Company in the UK, with Group funds under management of £114 billion and latest Profit Share pay out to members of £142 million. Group businesses provide around 9.0 million policies and employ 3,669 people. (Figures quoted are as at 10 May 2018).Founded as a Friendly Society in a London coffee shop in 1861, Royal London started out with the aim to help people avoid the stigma of a pauper's grave. Since then we have been helping people help themselves and are committed to delivering the best value for customers and putting members first.We have several exciting fixed term contracts available for Actuaries or Students to join the Actuarial team based in Wilmslow. Candidates can have a background in one or some of the following areas: Actuarial systems/model development, Financial Reporting (Solvency II, IFRS, EEV), With Profits Management, Capital Monitoring or ModellingResponsibilities:Carry out financial analysis using complex actuarial and analytical techniques to support team, department or wider business planning and other activities as required.Monitor and check the quality of the financial analysis performed by team members to ensure accuracy and provide feedback to the originator.Identifies and make improvements to areas in processes which have a high level of risk or control failure.Challenge and make improvements and efficiencies to data, processes, procedures and documentation to make them more accurate and/or efficient.Provide actuarial support and leadership to projects as required.Inputs own ideas and make positive contribution to project.Challenges decisions and project direction where appropriate.Takes a leading role in making the project happen and provides updates to project/senior management.Skills, Qualifications & Experience:Actuary (ie FIA or FFA) with at least 2 years relevant professional experience with excellent understanding of the actuarial concepts and techniques required to fulfil the role.Highly proficient in use of relevant computer systems and packages.Excellent communication skills, verbal, written and listening.Ability to communicate in a professional manner with colleagues and senior managers across the department and the wider business.Royal London is an equal opportunities employer. We work hard to attract the best talent for our award-winning team. We believe that embracing difference makes us stronger. Our diverse people bring us different skills - whatever their educational background, disability, gender, age, sexual orientation, race, religion or belief.We will consider flexible working arrangements for all our roles. We also welcome applications from individuals who have taken an extended career break.For any further queries regarding the role, please contact Erik Snaathorst on (see below). "	"Wilmslow, Cheshire, UK"	"Finance"	NA	NA	"£50k - £70k per annum"	"Resource Management"	"Resource Management ltd "	"JS-ROYAL LONDON03041"	"11/12/2018 17:44:40"	"http://www.jobserve.com/GmvdO"	NA	NA
"Actuarial Contractor - Financial Reporting"	"£550 - £700 per Day"	"South West England"	"Contract"	"Actuarial Contractor - Financial Reporting"	"South West England - £550 - £700 per Day"	"Contract"	"Posted: Friday, 7 December 2018"	""	"Actuarial Contractor - Financial ReportingSanderson Recruitment is looking to recruit an Actuarial Manager to join a major life insurance business based in the South West. The job holder will take a senior role in the valuations workstream team.The team are responsible for understanding and explaining movements in reported results due to differences between old and new platformsPerson specification:Qualified ActuaryStrong technical understanding of Financial ReportingUse of Prophet and Actuarial Reporting would be desirableGood analytical skills and strong attention to detailExcellent written and oral communication skills"	"South West England, UK"	"Finance"	"6 months"	NA	"£550 - £700 per Day"	"Sanderson Recruitment Plc"	"Erik Snaathorst "	"JS-ES019"	"07/12/2018 12:45:27"	"http://www.jobserve.com/Gl5UC"	NA	NA
"Senior Actuarial Trainee - 12 months FTC"	"£35k - £45k per annum"	"Wilmslow, Cheshire"	"Contract/Permanent"	"Senior Actuarial Trainee - 12 months FTC"	"Wilmslow, Cheshire - £35k - £45k per annum"	"Contract/Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Senior Actuarial Trainee - 12 months FTCRoyal London is the largest mutual life, pensions and Investment Company in the UK, with Group funds under management of £114 billion and latest Profit Share pay out to members of £142 million. Group businesses provide around 9.0 million policies and employ 3,669 people. (Figures quoted are as at 10 May 2018).Founded as a Friendly Society in a London coffee shop in 1861, Royal London started out with the aim to help people avoid the stigma of a pauper's grave. Since then we have been helping people help themselves and are committed to delivering the best value for customers and putting members first.We have several exciting fixed term contracts available for Actuaries or Students to join the Actuarial team based in Wilmslow. Candidates can have a background in one or some of the following areas: Actuarial systems/model development, Financial Reporting (Solvency II, IFRS, EEV), With Profits Management, Capital Monitoring or ModellingResponsibilities:Carry out financial analysis using complex actuarial and analytical techniques to support team, department or wider business planning and other activities as required.Monitor and check the quality of the financial analysis performed by team members to ensure accuracy and provide feedback to the originator.Identifies and make improvements to areas in processes which have a high level of risk or control failure.Challenge and make improvements and efficiencies to data, processes, procedures and documentation to make them more accurate and/or efficient.Provide actuarial support and leadership to projects as required.Inputs own ideas and make positive contribution to project.Challenges decisions and project direction where appropriate.Takes a leading role in making the project happen and provides updates to project/senior management.Skills, Qualifications & Experience:Senior Actuarial Trainee or Nearly Qualified (ie FIA or FFA) with excellent understanding of the actuarial concepts and techniques required to fulfil the role.Highly proficient in use of relevant computer systems and packages.Excellent communication skills, verbal, written and listening.Ability to communicate in a professional manner with colleagues and senior managers across the department and the wider business.Royal London is an equal opportunities employer. We work hard to attract the best talent for our award-winning team. We believe that embracing difference makes us stronger. Our diverse people bring us different skills - whatever their educational background, disability, gender, age, sexual orientation, race, religion or belief.We will consider flexible working arrangements for all our roles. We also welcome applications from individuals who have taken an extended career break.To apply, please use the 'Apply Online' link below.For any further queries regarding the role, please contact Erik Snaathorst on (see below)."	"Wilmslow, Cheshire, UK"	"Finance"	NA	NA	"£35k - £45k per annum"	"Resource Management"	"Resource Management ltd "	"JS-ROYAL LONDON03039"	"11/12/2018 17:50:10"	"http://www.jobserve.com/Gmvdg"	NA	NA
"Insurance Actuary"	"Market related"	"London"	"Contract"	"Insurance Actuary"	"London - Market related"	"Contract"	"Posted: Wednesday, 12 December 2018"	""	"ConSol Partners' client is a global consulting business and are looking to onboard a number of Insurance actuaries as soon as possible.Job title: Insurance ActuaryLocation LondonLength: 6 Month ContractJob Role:This role a general actuary who has a vast range of experience.You will be accountable for the technical accuracy of financial informationYou should be actively involved in multiple projects of a technical natureThe ability to manage small groups of Actuarial consultantsComfortability in dealing with an extensive list of clients.You will provide specialist technical advice and guidance on the application of actuarial principlesTo provide technical expertise to design technical solutionsIf you are interested in the available position please send your updated CV (see below) or contact: (see below)Founded in 2008, ConSol Partners are one of the world's leading technology recruitment brands with headquarters in the City of London and international offices in Los Angeles & Boston. ConSol Partners provide permanent and contract recruitment solutions to FTSE & Fortune 500 companies, global brands and start-ups across the Internet supply chain of Communications, Cloud and Digital. "	"London, UK"	"Finance"	NA	NA	"Market related"	"Consol Partners"	"Chris Haines "	"JSACTUARY"	"12/12/2018 13:22:40"	"http://www.jobserve.com/Gm6pZ"	NA	NA
"Life Actuary - London - £65,000-£70000 per annum"	"£65k - £70k"	"London"	"Permanent"	"Life Actuary - London - £65,000-£70000 per annum"	"London - £65k - £70k"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"Lynx Recruitment are currently partnering a small but growing Life insurer in the City to assist them in building their actuarial function.  Our client is seeking an exceptional newly/nearly qualified life actuary to play a key role in ensuring that the Company's regulatory valuation work, which is currently outsourced to a leading consultancy, can be successfully brought in-house. The role will then take on further responsibilities in the Actuarial Department that will effectively encompass the complete range of work covered by the Actuarial Function in a life insurance company. The Actuarial Department currently consists of an experienced Actuarial Manager and an actuarial analyst, who looks after the projection model that is used for business planning and which will be used for the valuation work. The initial key responsibility of the role will be: To establish, and subsequently embed, the process for conducting regulatory valuations in-house so that our client can take over the work from its consultant. Thereafter, the responsibilities will expand to cover: Assisting the Actuarial Manager in performing the complete ORSA cycle, including producing the business plan, performing ORSA stress and sensitivity tests, and drafting the resulting reports. Conducting reviews of pricing bases and reinsurance arrangements. Ensuring the Actuarial Department follows the highest standards of good practice in its documentation of procedures and its rationale for making decisions. This role will be a great step for someone who is looking to move into an actuarial managers role within the next 12-18 months."	"London, UK"	"Finance"	NA	"ASAP"	"£65k - £70k"	"Lynx Recruitment Ltd"	"Joshua Wetson "	"JSACT2018"	"12/12/2018 14:47:19"	"http://www.jobserve.com/Gm7hO"	NA	NA
"General Insurance Actuary"	"£70k - £85k"	"London"	"Permanent"	"General Insurance Actuary"	"London - £70k - £85k"	"Permanent"	"Posted: Thursday, 13 December 2018"	""	"How would you like to work for a global, top 4 consultancy? Lynx Recruitment are working closely with their client as they go through a period of extensive growth, now looking to take on board Senior Consultants to be involved in a variety of areas. Key areas of involvement: IFRS17 Solvency II Actuarial modelling Capital management Reserving Required Skills: Sound knowledge of the non-life industry Application of knowledge to a wide variety of situations Experience in at least one of the areas above A strong academic background in the actuarial industry Strong communication skills Required Experience: Be actively involved in multiple projects of a technical nature The ability to manage small groups of Actuarial trainees Comfortability in dealing with an extensive list of clients including face-to-face meetings Assist with business development While an extensive skill set is naturally important, our client places an equal value on a strong and adaptable personality. The candidate must be multi-dimensional and willing to contribute wherever and whenever required. A great range of benefits are also on offer. If this is of interest then please do not hesitate to get in touch."	"London, UK"	"Finance"	NA	"ASAP"	"£70k - £85k"	"Lynx Recruitment Ltd"	"Joshua Wetson "	"JSJWACT1"	"13/12/2018 09:05:06"	"http://www.jobserve.com/GhFy2"	NA	NA
"MoSes Developer"	"Up to £800 per Day"	"United Kingdom"	"Contract"	"MoSes Developer"	"United Kingdom - Up to £800 per Day"	"Contract"	"Posted: Thursday, 13 December 2018"	""	"Our client is looking for an actuarial MoSes developer based on a 6 months contract - up to £800 per day The senior Actuarial Modeller role forms a key part of the Division Modelling Team that provides a group level modelling service - including Europe & UK. Supporting the Head of Actuarial Modelling and the team in the development and maintenance of MoSes Pricing, Valuation and Corporate modelling tools across all product lines and Business Units whilst also managing, coaching and developing less experienced Actuarial Modellers This allows the Actuarial Modeller to be exposed to a dynamic and extensive variety of models, products and treaties. This is a Front Office role from an internal perspective and the team interacts with the model users from all over the business on a daily basis. An example of a key project that the Actuarial Modeller will work on will be a model migration exercise scheduled in order to migrate all of the models to a new platform Must have coding experience in eg. C++ or Visual Basic Demonstrable interest in actuarial modelling and model development experience, preferably with knowledge of Life, CI, IP and Annuity/Longevity products Experience of using MoSes, RiskAgility FM or similar modelling platforms, including an understanding of the benefits and limitations of such platforms Advanced understanding of Microsoft Excel and Word Excellent written and verbal communication skills and ability to build and manage relationships with stakeholders in Actuarial and non-Actuarial teams If you are interested in this opportunity or looking for similar opportunities please feel free to contact our team."	"United Kingdom"	"IT"	"6 months"	"ASAP"	"Up to £800 per Day"	"Lynx Recruitment Ltd"	"Joshua Wetson "	"JSJWMOS1"	"13/12/2018 09:05:08"	"http://www.jobserve.com/GhAMV"	"Executive"	NA
