"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"category"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"company_summary"	"start_date"	"duration"
"Conversational Artificial Intelligence (AI) Expert/Director"	"£75k - £150k per annum + shares"	"London"	"Permanent"	"Conversational Artificial Intelligence (AI) Expert/Director"	"London - £75k - £150k per annum + shares"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Conversational Artificial Intelligence (AI) Expert/Director We are looking for a candidate to direct the continued development of an AI powered and Cloud Native trading platform that has had both academic and commercial experience. It will require ownership of multiple responsibilities, including the design and build-out of AI based components (specifically pertaining to NLP) and the ability to communicate and work effectively with the software Development and Test Engineering teams. An ideal candidate will have completed a PhD in NLP/NLU and subsequently worked in the financial services industry focused on speech to text and dialog engines.Essential skills and experience:* Masters or PhD in NLP/NLU* Expertise with NLP/NLU & Machine Learning * Familiarity with IBM Watson and other NLU engines (Rasa etc)* Experience with applying NLU in Dialogue Systems* Experience in enterprise grade microservices systems* Excellent understanding of REST and FIX APIs* Cloud AWS or PCF exposureDesirable skills:. Working knowledge of Java and stack development"	"London, UK"	"IT"	"Executive"	"£75k - £150k per annum + shares"	"Sentinel IT LLP"	"Jennifer Hunt "	"JS-JHDBAI/NLP"	"30/11/2018 01:00:17"	"http://www.jobserve.com/Gkl1f"	NA	NA	NA
"Delivery Manager, Artificial Intelligence, Big Data, Machine Learning"	"£65k - £80k per annum"	"London"	"Permanent"	"Delivery Manager, Artificial Intelligence, Big Data, Machine Learning"	"London - £65k - £80k per annum"	"Permanent"	"Posted: Tuesday, 27 November 2018"	""	"Delivery Manager, Artificial Intelligence, Big Data, Machine LearningAn innovative Tech company that has a heavy focus on AI are currently hiring for a Delivery Manager to join an established, talented team. They provide a service used by thousands of reputable brands and combine artificial intelligence and machine learning technology to remove the financial and reputational risks that come with planning and creating content around poorly understood target audiences, and to make their marketing decisions more efficient and effective.Whilst they are continuing to build a new product that leverages Big Data and AI tech, they're in need of someone to work closely with their Data Science, Product and Client Services groups to ensure delivery of features that vary from implementing sophisticated Back End algorithms that make use of Big Data and ML to UI features that enhance client experiences.Delivery ManagerArtificial IntelligenceBig DataMachine LearningYou'll motivate, retain and provide direction and guidance for a team of 6 developers (both on and offshore), whilst also running an Agile process (Kanban board, daily stand up, regular retro's etc). Furthermore, as Delivery Manager, you'll lead hiring efforts for further engineers, work with Product Managers to help manage backlogs and also, provide an interface between the team and the rest of the organisation.If you feel you're a good fit and would like to work with some of London's most talented developers, please do get in touch!Delivery Manager, Artificial Intelligence, Big Data, Machine Learning"	"London, UK"	"IT"	NA	"£65k - £80k per annum"	"Oliver Bernard"	"Sina Faramarzi "	"JS-DMAF"	"27/11/2018 15:04:12"	"http://www.jobserve.com/GkPyy"	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."	NA	NA
"Head of Artificial Intelligence - Agile Consulting"	"£130k + healthy bonus and Benefits"	"London"	"Permanent"	"Head of Artificial Intelligence - Agile Consulting"	"London - £130k + healthy bonus and Benefits"	"Permanent"	"Posted: Wednesday, 28 November 2018"	""	"Agile technology delivery consultancy specialising in Agile Digital Transformation has entered the market looking for a Head of Artificial Intelligence to head up and grow a new business line for the organization.  Reporting to the CIO, the remit of the role is help drive the consultancy on the next chapter of its journey. You will be able to inspire your clients and your teams to develop them and the practice within the AI world.  Essential Skills:  Demonstrable track record of working in a leadership role within a large consultancy capacity, where you have managed large teams, delivered enterprise level programs of work and won & developed new business from scratch; demonstrable track record of working with and advising clients on there use of AI technology and then importantly having the technical foresight to be able deliver the solution to client; passionate and have a thought leadership type background within AI showing extensive knowledge around machine learning, RPA, Chatbots, Personal Advisors etc.  My client is a highly respected technology consultancy based in a variety of locations across the UK, with over 1000 employees. However, this role sits in the newest part of the organization that has grown rapidly over the last three years building a strong presence within Big Data & Data Science and building out its AI capabilities is the next logical step on the journey. The core responsibilities for this role will include: Delivering high-quality AI consulting to clients around Advisory, Innovation Sprints, Alphas, On-going support/advice to AI delivery projects Grow revenue in line with the business plan Building a small, but highly expert AI consulting team Continually evolving the AI proposition to meet client expectations Writing and delivering client pitches and proposals Being a thought leader on AI both internally and externally This is a hugely exciting role for a candidate that has both a strong consulting pedigree helping build and shape consulting practices throughout their career but has a strong technical background to understand and help delivery AI technologies to a wide and varied audience. If you are positive person with a hands-on can-do attitude and a burning passion for all things AI, then this could just be the perfect role for you."	"London, UK"	"IT, Consulting"	"Executive"	"£130k + healthy bonus and Benefits"	"Cloudstream"	"Ben Davis "	"JSBD/AICON"	"28/11/2018 12:33:11"	"http://www.jobserve.com/Ggr2F"	NA	"ASAP"	NA
"Head of Artificial Intelligence - Agile Consulting"	"£130k + healthy bonus and Benefits"	"London"	"Permanent"	"Head of Artificial Intelligence - Agile Consulting"	"London - £130k + healthy bonus and Benefits"	"Permanent"	"Posted: Tuesday, 27 November 2018"	""	"Agile technology delivery consultancy specialising in Agile Digital Transformation has entered the market looking for a Head of Artificial Intelligence to head up and grow a new business line for the organization.  Reporting to the CIO, the remit of the role is help drive the consultancy on the next chapter of its journey. You will be able to inspire your clients and your teams to develop them and the practice within the AI world.  Essential Skills:  Demonstrable track record of working in a leadership role within a large consultancy capacity, where you have managed large teams, delivered enterprise level programs of work and won & developed new business from scratch; demonstrable track record of working with and advising clients on there use of AI technology and then importantly having the technical foresight to be able deliver the solution to client; passionate and have a thought leadership type background within AI showing extensive knowledge around machine learning, RPA, Chatbots, Personal Advisors etc. My client is a highly respected technology consultancy based in a variety of locations across the UK, with over 1000 employees. However, this role sits in the newest part of the organization that has grown rapidly over the last three years building a strong presence within Big Data & Data Science and building out its AI capabilities is the next logical step on the journey. The core responsibilities for this role will include: Delivering high-quality AI consulting to clients around Advisory, Innovation Sprints, Alphas, On-going support/advice to AI delivery projects Grow revenue in line with the business plan Building a small, but highly expert AI consulting team Continually evolving the AI proposition to meet client expectations Writing and delivering client pitches and proposals Being a thought leader on AI both internally and externally This is a hugely exciting role for a candidate that has both a strong consulting pedigree helping build and shape consulting practices throughout their career but has a strong technical background to understand and help delivery AI technologies to a wide and varied audience. If you are positive person with a hands-on can-do attitude and a burning passion for all things AI, then this could just be the perfect role for you."	"London, UK"	"IT, Consulting"	"Executive"	"£130k + healthy bonus and Benefits"	"Cloudstream"	"Ben Davis "	"JSBD/AICON"	"27/11/2018 09:41:27"	"http://www.jobserve.com/GkMoI"	NA	"ASAP"	NA
"Lead Frontend Developer - React - Artificial Intelligence"	"£70k - £90k per annum + WFH"	"London"	"Permanent"	"Lead Frontend Developer - React - Artificial Intelligence"	"London - £70k - £90k per annum + WFH"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Lead Front End Developer - React - Artificial IntelligenceA Lead Front End Developer is required by a rapidly growing start-up who are at the forefront of Artificial intelligence. They are expanding their team after securing another huge round of funding and are attracting some of the best people within AI.As the Lead Front End Developer, you will be working on their main Market Intelligence Platform, defining and building new Front End features alongside the product team, discussing new ideas with the CTO and CEO, creating and enhancing their test infrastructure for their Front End solutions, integrating with their Back End API and much else.Requirements for Lead Front End Developer: HTML5, CSS3, LESS, JavaScript, ES6React, Redux, WebpackAgile, JS testing, CI/CDGit, Github, CodeshipAny experience with the below is a bonus:Heroku and Heroku pipelinesPython/DjangoAWSSQL (PostreSQL)The successful Lead Front End Developer will have full ownership of Front End for the company's products and will be responsible for defining future technology choices and making decisions. This role offers the chance to work autonomously and is perfect for someone who is interested in Artificial Intelligence!If you are a Lead Front End Developer with React experience, please apply.Lead Front End Developer - React - Artificial Intelligence"	"London, UK"	"IT"	NA	"£70k - £90k per annum + WFH"	"Oliver Bernard"	"James Crocker "	"JS-FE-345656"	"03/12/2018 15:38:36"	"http://www.jobserve.com/GlQqQ"	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."	NA	NA
"Full Stack Developer - Machine Learning/Artificial Intelligence Software"	"Good Daily Rate"	"London"	"Contract"	"Full Stack Developer - Machine Learning/Artificial Intelligence Software"	"London - Good Daily Rate"	"Contract"	"Posted: Tuesday, 27 November 2018"	""	"Full Stack Developer - Machine Learning/Artificial Intelligence Software Our client are an international company with regional offices around the world. They've been around for just over 5 years now, and are going through a period of rapid growth and expansion, thanks to an innovative product that enables Banking and Financial Services companies to benefit from the use of Machine Learning and Artificial Intelligence There is a current and urgent need for an experienced Full Stack Developer to work alongside the existing tech team consisting of solutions architecture, machine learning engineers and software developers. The role will involve developing and delivering client solutions utilising the companies AI technology. To be successful you will need to bring the following: Experience in working as a Software Developer on projects involving data analyticsStrong hands-on dev skills. This role will also involve rolling up your sleeves and producing code using best fit technology covering Java, Python, Javascript, NodeJS, ETL, Relational Databases, NoSQL Databases/Big Data Technologies, Cloud Technologies (AWS or Azure) etc.Strong communication skills - You will be expected to gather requirements from, and interact with clients in the Banking and Financial Services industryStrong analytical/problem solving skillsAny exposure to Machine Learning or Artificial Intelligence in the past would be beneficial, although not mandatory To express your interest in this opportunity please submit your CV. We look forward to hearing from you!"	"London, UK"	"IT"	"Graduate, Executive"	"Good Daily Rate"	"Data Inc UK Ltd"	"DIUK Recruitment"	"JS/LBAIARCH2208"	"27/11/2018 07:03:17"	"http://www.jobserve.com/GjBQK"	NA	"ASAP"	"12mths + extension"
"Artificial Intelligence Engineer - Ai, AR, VR, Hadoop, Scala"	"£550 - £625 per Day"	"London"	"Contract"	"Artificial Intelligence Engineer - Ai, AR, VR, Hadoop, Scala"	"London - £550 - £625 per Day"	"Contract"	"Posted: Wednesday, 28 November 2018"	""	"Advantage Resourcing have a fantastic contract opportunity for an AI Engineer - Computer Vision (AR/VR) to work with our client, a global Oil & Gas company at their Canary Wharf offices. This is a contract is starting ASAP for an initial 12 months duration. The role is paying £550 - 625 per day. The role: The AI Engineer role supports the Data Engineer Team Lead in building a platform to train and fine tune deep learning algorithms developed by Data Science Team. You will build an AR/VR application to use in cutting edge computer vision projects. In this role, you will report into the Data Engineer Lead. *You will support Requirement Definition enhancements *Build and Develop a platform for training and computer vision based on Deep learning *Leverage Big Data skills such as Spark in building a data platform *Assure the quality of the delivery of advanced analytics *Develop products that can be easily scaled, replicated and reused *Understand current state-of-the-art, developments and practical applications of Computer vision in industry, technology vendors, academia and open source libraries to ensure that PoCs are both leveraging the best algorithms and technology solutions and are grounded in what is realistically achievable. *Partner and instill learnings and best practice across Digital within the business. *Carry out detailed technical architecture and system design, documenting requirements capture and design as appropriate. Must have skills: *Ability to write clean, elegant and maintainable production-level code *Hadoop based big data frameworks experience *Spark experience *ne of Programming Languages - Scala, Python *RDBMS with SQL Server preferred *No SQL and in-memory databases *You will have deep experience in developing Big Data solution, using standard open source frameworks, toolkits and libraries *You will have a solid experience in developing solution using Spark and Databricks*You will have a solid experience developing solution deployed on edge devices/Servers *You will have solid experience in developing cloud solutions using Azure.Desirable skills: *Dashboard and reports using Sport Fire*OpenCV*Understanding of CNN in deep learning *Source control using GIT/VSTS*Rest API using Python/ScalaSubmit your CV now to be considered for this fantastic contract opportunity to work with one of the world's largest Oil & Gas companies in an exciting digital innovation area. This project area is exciting and cutting edge. Matthew Jones is the consultant managing this assignment. Due to the high volume of applications received, feedback cannot always be given. Advantage Resourcing is a service driven recruitment consultancy."	"London, UK"	"IT, Energy"	NA	"£550 - £625 per Day"	"Advantage Resourcing"	"Advantage Resourcing "	"JS-ADVEU_820292"	"28/11/2018 17:35:52"	"http://www.jobserve.com/GkbBK"	NA	"ASAP"	"12 months"
"Artificial Intelligence Engineer - AI Engineer"	"Excellent Salary Packages"	"London"	"Permanent"	"Artificial Intelligence Engineer - AI Engineer"	"London - Excellent Salary Packages"	"Permanent"	"Posted: Tuesday, 27 November 2018"	""	"My client, a Global BIG 4 Consultancy, requires a AI Engineer with experience working on client facing customer sites offering advice, proof-of-values, industrialised solutions and end to end delivery. A extract of the official job spec is as follows. The successful consultant will show experience/exposure in most of the following areas: Detailed knowledge on a range of AI techniques (eg supervised and un-supervised machine learning techniques, deep learning, graph data analytics, statistical analysis, time series, geospatial, NLP, sentiment analysis, pattern detection, etc.) Experience using Python, R or Spark to extract insights from data Knowledge of SQL for accessing and processing data (PostgreSQL preferred but general SQL knowledge more important) Experience using the latest Data Science platforms (eg Databricks, Dataiku, AzureML, SageMaker) and frameworks (eg Tensorflow, MXNet, scikit-learn) Software engineering practices (coding practices to DS, unit testing, version control, code review) Hadoop (especially the Cloudera and Hortonworks distributions), other NoSQL (especially Neo4j and Elastic), and streaming technologies (especially Spark Streaming) Alchemy, spell casting and potion making Deep understanding of data manipulation/wrangling techniques Experience using development and deployment technologies, for instance virtualisation and management (eg Vagrant, Virtualbox), continuous integration tools (eg Jenkins, Concourse, Drone, Bamboo), configuration management tooling (eg Ansible) and containerisation technologies (eg Docker, Kubernetes, Swarm) Delivering insights using visualisation tools or libraries (Javascript preferred) Experience building and deploying solutions to Cloud (AWS, Azure, Google Cloud) including Cloud provisioning tools (eg Terraform) This is an opportunity to work for one of the biggest technical consultancies in the world, working on cutting edge projects in order for you to continue to grow with \"real world, high profile\" projects. My client will consider a range of grades for this role with exceptional salary packages on offer. They will also guarantee one day working from home, although every application must be available to travel throughout the UK for 4 days per week if necessary. There are multiple base locations to chose from. Interviews to be completed this year with New Year start dates. All AI Engineers must apply with updated CV's to (see below) for immediate response. REF:JS2711_AI."	"London, UK"	"IT"	NA	"Excellent Salary Packages"	"Intelligent Trust Recruitment Limited"	"Ritchie Morris "	"JS2711_AI"	"27/11/2018 10:21:41"	"http://www.jobserve.com/GkNeK"	NA	"January"	NA
"Java Developer"	""	"London"	"Permanent"	"Java Developer"	"London"	"Permanent"	"Posted: Thursday, 29 November 2018"	""	"Java Developer  - Artificial Intelligence tech house  - Contribute towards creating tech solutions that go towards solving crime and making the world a safer place!  - Candidates from mid to senior level are encouraged to apply... KEY SKILLS/EXPERIENCE REQUIRED  - Expert in Java development, with upwards of 4-5 years' commercial experience.  - Experience working on large business critical web systems and platforms.  - Strong background in Back End development.  - NICE TO HAVE: Knowledge of containerisation technologies such as Kubernetes, Docker... ROLE SUMMARY:  As Java Developer, you will become an integral part of a small tech house in the Artificial Intelligence domain, who are growing rapidly thanks to commercial success (with their products already being used by a global client base) and outside investment.  This will provide you with an opportunity to work on groundbreaking cloud based software solutions that leverage the power of Artificial Intelligence to help solve high profile crimes on a global level.  We are looking to attract candidates at mid or senior level, you must be an expert in Java with demonstrable commercial experience (ideally 4-5 years' upwards). Preferably your core expertise will be in Back End development, although full stack Developers would also be a valuable addition!  As part of a growing engineering and software team, you will get ample opportunities to grow - ultimately this company is looking for people who can go on to occupy future senior and lead level positions! "	"London, UK"	"IT"	NA	NA	"Provide Connected"	"Sam Clayton"	"JS"	"29/11/2018 12:39:16"	"http://www.jobserve.com/GkimX"	NA	NA	NA
"RPA Developer"	"£325 - £425 per Day"	"West Midlands"	"Contract"	"RPA Developer"	"West Midlands - £325 - £425 per Day"	"Contract"	"Posted: Tuesday, 27 November 2018"	""	"RPA Developer RPA | Artificial Intelligence | SQL Server | Oracle | NICEThe RoleI have an Urgent 3 Month requirement for an experienced RPA Developer based in the West Midlands.The successful Developer will have the chance to enjoy numerous contract extensions.RPA Developer Role Requirements:RPAArtificial IntelligenceSQL ServerOracleNICEThe CompanyA government organisation in need of an experienced RPA Developer to help out with numerous projects.APPLY NOW!Interviews will be commencing ASAP so if you are available and interested then please get in touch.RPA | Artificial Intelligence | SQL Server | Oracle | NICERPA Developer Oscar Technology Limited is acting as an Employment Business in relation to this vacancy. To understand more about what we do with your data please review our privacy policy."	"West Midlands, UK"	"IT"	NA	"£325 - £425 per Day"	"Oscar Associates Ltd"	"Tom Fisher "	"JS-TFI - 38642"	"27/11/2018 18:53:14"	"http://www.jobserve.com/GkRkT"	NA	"ASAP"	"3 months"
