"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"category"	"company_summary"	"duration"
"Artificial Intelligence Engineer"	"£25k - £28k per annum"	"Weston-Super-Mare"	"Permanent"	"Artificial Intelligence Engineer"	"Weston-Super-Mare - £25k - £28k per annum"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"Artificial Intelligence Engineer -Weston Super mare- £25k-28,000 per year iO Associates are recruiting on behalf of Q-Free, to on board a new Artificial Intelligence Engineer to join a growing team in a matrixed environment. This is a full time, permanent position.Q-Free is a global supplier of class-leading Tolling, Parking, Traffic Management and Connected ITS (C-ITS)/Connected Vehicle solutions. These have a global application and are constantly evolving providing a dynamic product line to work on.The R&D unit is currently a team of five which has open positions to immediately grow to eight. This team will work collaboratively with Q-Free's global design teams.You will gain exposure to the latest technology like Machine Learning, Deep Learning, Artificial Intelligence, Computer Vision and mainly Python as a programming language.The below are requirements you must have in order to be considered:Bachelor or Masters Engineering DegreeData ScienceMachine LearningDeep learningArtificial intelligenceRoboticsPython ProgrammingDesirable, but not essential:Java programming and database knowledgeiO associates are the employment agency providing a shortlist of candidates to Q-Free to be considered. Please apply below or send your CV through to Charles at iO Associates for immediate consideration.The closing date for applications is 03/01/19"	"Weston-Super-Mare, UK"	"IT"	"ASAP"	"£25k - £28k per annum"	"IO Associates"	"Charles Hoskins "	"JS-JO0000015559"	"04/12/2018 08:56:16"	"http://www.jobserve.com/GlYOP"	NA	NA	NA
"Conversational Artificial Intelligence (AI) Expert/Director"	"£75k - £150k per annum + shares"	"London"	"Permanent"	"Conversational Artificial Intelligence (AI) Expert/Director"	"London - £75k - £150k per annum + shares"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Conversational Artificial Intelligence (AI) Expert/Director We are looking for a candidate to direct the continued development of an AI powered and Cloud Native trading platform that has had both academic and commercial experience. It will require ownership of multiple responsibilities, including the design and build-out of AI based components (specifically pertaining to NLP) and the ability to communicate and work effectively with the software Development and Test Engineering teams. An ideal candidate will have completed a PhD in NLP/NLU and subsequently worked in the financial services industry focused on speech to text and dialog engines.Essential skills and experience:* Masters or PhD in NLP/NLU* Expertise with NLP/NLU & Machine Learning * Familiarity with IBM Watson and other NLU engines (Rasa etc)* Experience with applying NLU in Dialogue Systems* Experience in enterprise grade microservices systems* Excellent understanding of REST and FIX APIs* Cloud AWS or PCF exposureDesirable skills:. Working knowledge of Java and stack development"	"London, UK"	"IT"	NA	"£75k - £150k per annum + shares"	"Sentinel IT LLP"	"Jennifer Hunt "	"JS-JHDBAI/NLP"	"30/11/2018 01:00:17"	"http://www.jobserve.com/Gkl1f"	"Executive"	NA	NA
"Java Developer - Artificial Intelligence - Java 8, Kafka"	"£50k - £75k per annum"	"London"	"Permanent"	"Java Developer - Artificial Intelligence - Java 8, Kafka"	"London - £50k - £75k per annum"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"Java Developer - Artificial Intelligence - Java 8, Microservices, Kafka.Company | I am partnered with a rapidly growing start-up based in Central London, who are at the forefront of Artificial Intelligence. They are looking for someone who is passionate about AI, Machine Learning and Big Data technologies. Role: Java Developer | You will be working on the main Intelligence platform, developing brand new Microservices and Back End APIs, as well as maintaining and enhancing those in place. There are several opportunities for continued learning in the cross-functional software development team.Required Skills (Java Developer):Java 8MicroservicesKafkaSpring BootDesired Skills (Java Developer):AWSDockerSQLBenefits: This is the perfect opportunity for a Java Developer looking to get into the AI space. This start-up will offer you a whole range of benefits, including bonus schemes, life insurance, equity, free breakfast, work from home opportunities, dress down and flexible hours!If you are an experienced Java Developer, looking to get into AI, please apply today.Java Developer - Artificial Intelligence - Java 8, Microservices, Kafka."	"London, UK"	"IT"	NA	"£50k - £75k per annum"	"Oliver Bernard"	"Tilly Warren "	"JS-AITW04"	"04/12/2018 12:03:53"	"http://www.jobserve.com/GlZ9g"	NA	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."	NA
"Head of Artificial Intelligence - Agile Consulting"	"£130k + healthy bonus and Benefits"	"London"	"Permanent"	"Head of Artificial Intelligence - Agile Consulting"	"London - £130k + healthy bonus and Benefits"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"Agile technology delivery consultancy specialising in Agile Digital Transformation has entered the market looking for a Head of Artificial Intelligence to head up and grow a new business line for the organization.  Reporting to the CIO, the remit of the role is help drive the consultancy on the next chapter of its journey. You will be able to inspire your clients and your teams to develop them and the practice within the AI world.  Essential Skills:  Demonstrable track record of working in a leadership role within a large consultancy capacity, where you have managed large teams, delivered enterprise level programs of work and won & developed new business from scratch; demonstrable track record of working with and advising clients on there use of AI technology and then importantly having the technical foresight to be able deliver the solution to client; passionate and have a thought leadership type background within AI showing extensive knowledge around machine learning, RPA, Chatbots, Personal Advisors etc. My client is a highly respected technology consultancy based in a variety of locations across the UK, with over 1000 employees. However, this role sits in the newest part of the organization that has grown rapidly over the last three years building a strong presence within Big Data & Data Science and building out its AI capabilities is the next logical step on the journey. The core responsibilities for this role will include: Delivering high-quality AI consulting to clients around Advisory, Innovation Sprints, Alphas, On-going support/advice to AI delivery projects Grow revenue in line with the business plan Building a small, but highly expert AI consulting team Continually evolving the AI proposition to meet client expectations Writing and delivering client pitches and proposals Being a thought leader on AI both internally and externally This is a hugely exciting role for a candidate that has both a strong consulting pedigree helping build and shape consulting practices throughout their career but has a strong technical background to understand and help delivery AI technologies to a wide and varied audience. If you are positive person with a hands-on can-do attitude and a burning passion for all things AI, then this could just be the perfect role for you."	"London, UK"	"IT, Consulting"	"ASAP"	"£130k + healthy bonus and Benefits"	"Cloudstream"	"Ben Davis "	"JSBD/AICON"	"04/12/2018 08:59:09"	"http://www.jobserve.com/GkMoI"	"Executive"	NA	NA
"Front-end Developer - Artificial Intelligence - Deep Learning"	"£30k - £45k per annum"	"London"	"Permanent"	"Front-end Developer - Artificial Intelligence - Deep Learning"	"London - £30k - £45k per annum"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"We have a fantastic new role for a Front-end Developer to join a start-up who is currently venturing into the artificial intelligence and deep learning space.The Front-end Developer will have real challenges to solve from working with the team to produce a user interface to building a cutting-edge platform. Requirements for Front-end Developer: JavaScriptHTML5, CSSReact, Angular or VuejQueryAny experience with the below is a bonus:Back-end frameworksElectronData serialization/deserializationAsynchronous JavaScriptThey are offering benefits such as private life, health, dental and income protection insurance. Monthly team events out, training and development, 25 working days holiday and many more.The successful candidate should have experience with handling data communications between the Front End and back-end.If you are a Front-end Developer with the skills above, please apply."	"London, UK"	"IT"	NA	"£30k - £45k per annum"	"Oliver Bernard"	"James Crocker "	"JS-3039485"	"06/12/2018 18:13:39"	"http://www.jobserve.com/GlzCF"	NA	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."	NA
"Lead Frontend Developer - React - Artificial Intelligence"	"£70k - £90k per annum + WFH"	"London"	"Permanent"	"Lead Frontend Developer - React - Artificial Intelligence"	"London - £70k - £90k per annum + WFH"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Lead Front End Developer - React - Artificial IntelligenceA Lead Front End Developer is required by a rapidly growing start-up who are at the forefront of Artificial intelligence. They are expanding their team after securing another huge round of funding and are attracting some of the best people within AI.As the Lead Front End Developer, you will be working on their main Market Intelligence Platform, defining and building new Front End features alongside the product team, discussing new ideas with the CTO and CEO, creating and enhancing their test infrastructure for their Front End solutions, integrating with their Back End API and much else.Requirements for Lead Front End Developer: HTML5, CSS3, LESS, JavaScript, ES6React, Redux, WebpackAgile, JS testing, CI/CDGit, Github, CodeshipAny experience with the below is a bonus:Heroku and Heroku pipelinesPython/DjangoAWSSQL (PostreSQL)The successful Lead Front End Developer will have full ownership of Front End for the company's products and will be responsible for defining future technology choices and making decisions. This role offers the chance to work autonomously and is perfect for someone who is interested in Artificial Intelligence!If you are a Lead Front End Developer with React experience, please apply.Lead Front End Developer - React - Artificial Intelligence"	"London, UK"	"IT"	NA	"£70k - £90k per annum + WFH"	"Oliver Bernard"	"James Crocker "	"JS-FE-345656"	"03/12/2018 15:38:36"	"http://www.jobserve.com/GlQqQ"	NA	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."	NA
"DevOps, Site Reliability, Kubernetes, Artificial Intelligence"	"£85k - £100k per annum + Bonus + Excellent Benefits"	"City of London"	"Permanent"	"DevOps, Site Reliability, Kubernetes, Artificial Intelligence"	"City of London - £85k - £100k per annum + Bonus + Excellent Benefits"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"DevOps, Site Reliability, SRE, Kubernetes, Artificial Intelligence£85,000 - £100,000 Base + 20% Bonus + Bupa + Dentist + Pension etcWe are looking for a DevOps/Site Reliability Engineer to work in a Tech Lead capacity for our customer, based in the City of London, supporting, engineering and keeping a finger on the pulse of the latest Automation, DevOps and Cloud technologies, in support of a next generation Artificial Intelligence Operations platform, based on the very latest advanced Machine Learning techniques. The ideal candidate will be inquisitive and bright, with a keen interest in the latest Automation, Containerisation and Continuous Delivery techniques. You will be quick to pick up recent technologies and be comfortable with white-board sessions, explaining and evangelising on the latest DevOps technologies to the current team of engineers and Data Scientists. You will work with the software architect on the design, and take ownership, of the build and operation of the production cloud and standalone environments. As the DevOps team grows, you will assume the lead DevOps role within the company.The team starts work at 10am, and there will be some flexibility to work from home, after an initial phase when the platform will move into a production state. Office attire is smart casual, and there is a great general office vibe and banter across the team, who regularly meet after office hours for drinks and nights out.Job Overview: Implement practices automating continuous testing/integration/delivery (CI/CD) processesDesign, configure, and manage auto-scaling for microservices and application clusters in application environmentsMonitor and tune the application environmentsYou will have the following knowledge, skills and experience:Creating, configuring & programming automation solutions (python and bash Scripting)Excellent understanding of Linux systemsExperienced with Docker and KubernetesExperienced with cloud providers like AWS/Google Cloud/Azure (preferable GCP)Deep understanding of CI/CDExcellent understanding and experience with the entire software delivery life cycleStrong understanding of distributed systems.Monitoring with PrometheusUnderstanding of advanced cryptography, including asymmetric (pub/priv key), symmetric, hash functions and encryption/signatures.Nice to Have'sPrevious experience in software engineering, preferably with some experience of JAVA frameworks.Knowledge of CI/CD tools like Travis-CI and Gitlab-CIBig Data Technologies: Spark, Yarn, Hive and OozieExperience building systems with Spark Streaming and KafkaExperience working with NoSQL databases such as HBase, Cassandra.Experience installing, configuring and maintaining enterprise Hadoop environments (Cloudera/MapR/Hortonworks)Understanding of Service Mesh architecture"	"City of London, UK"	"IT"	NA	"£85k - £100k per annum + Bonus + Excellent Benefits"	"ResourceFlow Recruitment Ltd"	"Chris Wright "	"JS-SRE DEV NEW 12"	"04/12/2018 16:18:21"	"http://www.jobserve.com/Glb9W"	"Executive"	NA	NA
"Java Developer"	""	"London"	"Permanent"	"Java Developer"	"London"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Java Developer  - Artificial Intelligence tech house  - Contribute towards creating tech solutions that go towards solving crime and making the world a safer place!  - Candidates from mid to senior level are encouraged to apply... KEY SKILLS/EXPERIENCE REQUIRED  - Expert in Java development, with upwards of 4-5 years' commercial experience.  - Experience working on large business critical web systems and platforms.  - Strong background in Back End development.  - NICE TO HAVE: Knowledge of containerisation technologies such as Kubernetes, Docker... ROLE SUMMARY:  As Java Developer, you will become an integral part of a small tech house in the Artificial Intelligence domain, who are growing rapidly thanks to commercial success (with their products already being used by a global client base) and outside investment.  This will provide you with an opportunity to work on groundbreaking cloud based software solutions that leverage the power of Artificial Intelligence to help solve high profile crimes on a global level.  We are looking to attract candidates at mid or senior level, you must be an expert in Java with demonstrable commercial experience (ideally 4-5 years' upwards). Preferably your core expertise will be in Back End development, although full stack Developers would also be a valuable addition!  As part of a growing engineering and software team, you will get ample opportunities to grow - ultimately this company is looking for people who can go on to occupy future senior and lead level positions! "	"London, UK"	"IT"	NA	NA	"Provide Connected"	"Sam Clayton"	"JS"	"06/12/2018 07:02:43"	"http://www.jobserve.com/GkimX"	NA	NA	NA
"Data Engineer"	"Up to £70k"	"City of London"	"Permanent"	"Data Engineer"	"City of London - Up to £70k"	"Permanent"	"Posted: Wednesday, 5 December 2018"	""	" An Artificial Intelligence/Machine Learning tech start-up revolutionizing the Insurance space is actively looking to hire experienced Data Engineers.   As a Data Engineer you'll join their Core Engineering team and have exposure to AI/ML techniques. You'll be involved in a variety of responsibilities working towards a common goal: solving real world Machine Learning problems.  The ideal candidate must have a can do attitude and be driven by challenges. Also, as a Data Engineer you'll have exposure to data providers and hence must have excellent communication skills. Requirements: Previous experience in working with large/unstructured volume of data Development abilities with at least of one OOP (ideally Python) Strong Python/SQL Scripting skills BSc/MSc in a technical discipline (Computer Science/Mathematics/Engineering/Physics etc ) Benefits: Competitive salary + Stock options Pension scheme Flexible working environment Snack, Brunch and social events! For immediate feedback and to avoid any disappointment, please apply now with a CV."	"City of London, UK"	"IT"	NA	"Up to £70k"	"Durlston Partners"	"Sacha Rinaudo"	"JSDATA"	"05/12/2018 08:39:28"	"http://www.jobserve.com/Glke0"	NA	NA	NA
"Senior Software Tester (Automation)"	"£45k - £60k"	"London"	"Permanent"	"Senior Software Tester (Automation)"	"London - £45k - £60k"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Senior Automation Tester  - Groundbreaking Artificial Intelligence tech house  - Opportunity to help spearhead a new Test/QA team! KEY SKILLS/EXPERIENCE REQUIRED:  - Demonstrable commercial experience in Testing (3-4 years' or more).  - Expertise in Automation Testing and setting up Automation frameworks from scratch.  - Experience as a Tester in a Java development environment. ROLE SUMMARY:  A tech house who devise groundbreaking artificial intelligence solutions, used to carry out video analysis for the purpose of solving high profile crimes on a global level, is looking to form and grow a new Testing and QA team - and are now recruiting for a Test Engineer who may have ambitions of playing a senior/lead role in a team longer term as it grows!  We therefore need a Tester with demonstrable commercial experience (2-3 years' or more), able to work in a fast paced environment with continually changing demands.  You must be highly proficient in automated testing, to the extent of being able to set up Automation frameworks from scratch. Ideally you will have done this in a Java development environment.  In return, you'll be rewarded with the chance to progress your career in an environment where you'll be exposed to a range of cutting edge open source and cloud based technologies, contributing towards artificial intelligence solutions that are helping to make the world a safer place! "	"London, UK"	"IT"	NA	"£45k - £60k"	"Provide Connected"	"Sam Clayton"	"JS"	"06/12/2018 07:02:48"	"http://www.jobserve.com/GkiS8"	NA	NA	NA
