"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"company_summary"	"start_date"	"duration"	"category"
"Artificial Intelligence Engineer"	"£25k - £28k per annum"	"Weston-Super-Mare"	"Permanent"	"Artificial Intelligence Engineer"	"Weston-Super-Mare - £25k - £28k per annum"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Artificial Intelligence Engineer -Weston Super mare- £25k-28,000 per year iO Associates are recruiting on behalf of Q-Free, to on board a new Artificial Intelligence Engineer to join a growing team in a matrixed environment. This is a full time, permanent position.Q-Free is a global supplier of class-leading Tolling, Parking, Traffic Management and Connected ITS (C-ITS)/Connected Vehicle solutions. These have a global application and are constantly evolving providing a dynamic product line to work on.The R&D unit is currently a team of five which has open positions to immediately grow to eight. This team will work collaboratively with Q-Free's global design teams.You will gain exposure to the latest technology like Machine Learning, Deep Learning, Artificial Intelligence, Computer Vision and mainly Python as a programming language.The below are requirements you must have in order to be considered:Bachelor or Masters Engineering DegreeData ScienceMachine LearningDeep learningArtificial intelligenceRoboticsPython ProgrammingDesirable, but not essential:Java programming and database knowledgeiO associates are the employment agency providing a shortlist of candidates to Q-Free to be considered. Please apply below or send your CV through to Charles at iO Associates for immediate consideration.The closing date for applications is 03/01/19"	"Weston-Super-Mare, UK"	"IT"	"£25k - £28k per annum"	"IO Associates"	"Charles Hoskins "	"JS-JO0000015559"	"10/12/2018 09:23:29"	"http://www.jobserve.com/GmgYV"	NA	NA	NA	NA
"Front-end Developer - Artificial Intelligence - Deep Learning"	"£30k - £45k per annum"	"London"	"Permanent"	"Front-end Developer - Artificial Intelligence - Deep Learning"	"London - £30k - £45k per annum"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"We have a fantastic new role for a Front End Developer to join a start-up who is currently venturing into the artificial intelligence and deep learning space.The Front End Developer will have real challenges to solve from working with the team to produce a user interface to building a cutting-edge platform. Requirements for Front End Developer: JavaScriptHTML5, CSSReact, Angular or VuejQueryAny experience with the below is a bonus:Back End frameworksElectronData serialization/deserializationAsynchronous JavaScriptThey are offering benefits such as private life, health, dental and income protection insurance. Monthly team events out, training and development, 25 working days holiday and many more.The successful candidate should have experience with handling data communications between the Front End and Back End.If you are a Front End Developer with the skills above, please apply."	"London, UK"	"IT"	"£30k - £45k per annum"	"Oliver Bernard"	"James Crocker "	"JS-3039485"	"06/12/2018 18:13:39"	"http://www.jobserve.com/GlzCF"	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."	NA	NA	NA
"Python Developer/Python Engineer - Artificial Intelligence"	"£70k - £90k per annum + Bonus & Benefits"	"City of London"	"Permanent"	"Python Developer/Python Engineer - Artificial Intelligence"	"City of London - £70k - £90k per annum + Bonus & Benefits"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	" Python Developer/Python Engineer - Python, Django, REST, React - LondonCompanyPython Developer/Python Engineer wanted! This company are an artificial intelligence, Machine Learning and data science start-up based in the heart of London. They are an energetic team solving complex problems in automation, analytics, and search for large-scale enterprises with a client base that includes some of the biggest names in finance, law and professional services. Their Long-term plan is to direct their capabilities towards social mobility, public health and social enterprise to help address some of the more fundamental issues affecting society today.RoleAs the successful Python Developer and a core member in the team, you will work with a cross functional team of designers, product managers, scientists and fellow Python engineers to deliver fully functional web applications in Python/Django REST/Postgress/JS for an enterprise environment. You will have a voice within the company and give input when it comes to what tools and approach to use on the greenfield projects.BenefitsStrong BonusFlexible working hours1-2 days working from homeWeekly social and sports eventsRegular meetups or brownbag sessionsGaming and sports tournamentsRequirementsStrong experience in Python and Django RESTReact or JavaScript is highly desirableLinux/UnixStrong interest in and commitment to engineering best practicesAn interest in mentoring and supporting junior developers as they progressInterest in machine learning and data scienceIf you consider yourself to be a highly experienced Python Developer/Python Engineer and you're looking for your next role in London, then please apply for this role today by submitting your CV for the chance to interview immediately!Python Developer/Python Engineer - Python, Django, REST, React"	"City of London, UK"	"IT"	"£70k - £90k per annum + Bonus & Benefits"	"Oliver Bernard"	"Rob Smiley "	"JS-RJSAI"	"12/12/2018 16:25:06"	"http://www.jobserve.com/Gm9Gc"	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."	"ASAP"	NA	NA
"Java Developer"	""	"London"	"Permanent"	"Java Developer"	"London"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Java Developer  - Artificial Intelligence tech house  - Contribute towards creating tech solutions that go towards solving crime and making the world a safer place!  - Candidates from mid to senior level are encouraged to apply... KEY SKILLS/EXPERIENCE REQUIRED  - Expert in Java development, with upwards of 4-5 years' commercial experience.  - Experience working on large business critical web systems and platforms.  - Strong background in Back End development.  - NICE TO HAVE: Knowledge of containerisation technologies such as Kubernetes, Docker... ROLE SUMMARY:  As Java Developer, you will become an integral part of a small tech house in the Artificial Intelligence domain, who are growing rapidly thanks to commercial success (with their products already being used by a global client base) and outside investment.  This will provide you with an opportunity to work on groundbreaking cloud based software solutions that leverage the power of Artificial Intelligence to help solve high profile crimes on a global level.  We are looking to attract candidates at mid or senior level, you must be an expert in Java with demonstrable commercial experience (ideally 4-5 years' upwards). Preferably your core expertise will be in Back End development, although full stack Developers would also be a valuable addition!  As part of a growing engineering and software team, you will get ample opportunities to grow - ultimately this company is looking for people who can go on to occupy future senior and lead level positions! "	"London, UK"	"IT"	NA	"Provide Connected"	"Sam Clayton"	"JS"	"06/12/2018 07:02:43"	"http://www.jobserve.com/GkimX"	NA	NA	NA	NA
"Senior Software Tester (Automation)"	"£45k - £60k"	"London"	"Permanent"	"Senior Software Tester (Automation)"	"London - £45k - £60k"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Senior Automation Tester  - Groundbreaking Artificial Intelligence tech house  - Opportunity to help spearhead a new Test/QA team! KEY SKILLS/EXPERIENCE REQUIRED:  - Demonstrable commercial experience in Testing (3-4 years' or more).  - Expertise in Automation Testing and setting up Automation frameworks from scratch.  - Experience as a Tester in a Java development environment. ROLE SUMMARY:  A tech house who devise groundbreaking artificial intelligence solutions, used to carry out video analysis for the purpose of solving high profile crimes on a global level, is looking to form and grow a new Testing and QA team - and are now recruiting for a Test Engineer who may have ambitions of playing a senior/lead role in a team longer term as it grows!  We therefore need a Tester with demonstrable commercial experience (2-3 years' or more), able to work in a fast paced environment with continually changing demands.  You must be highly proficient in automated testing, to the extent of being able to set up Automation frameworks from scratch. Ideally you will have done this in a Java development environment.  In return, you'll be rewarded with the chance to progress your career in an environment where you'll be exposed to a range of cutting edge open source and cloud based technologies, contributing towards artificial intelligence solutions that are helping to make the world a safer place! "	"London, UK"	"IT"	"£45k - £60k"	"Provide Connected"	"Sam Clayton"	"JS"	"06/12/2018 07:02:48"	"http://www.jobserve.com/GkiS8"	NA	NA	NA	NA
"Java Developer - Oxford - Leading AI Company!"	"£35k-£47k + benefits"	"Oxford, Oxfordshire"	"Permanent"	"Java Developer - Oxford - Leading AI Company!"	"Oxford, Oxfordshire - £35k-£47k + benefits"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Java Developer required for a leading artificial intelligence company working on a greenfield project in Oxford on a permanent basis. Location: Oxford Salary: £35,000-£47,000 + benefits  Essential: Fluency with the Java language and runtime library Quick learner with an ambitious and results driven personality Work well as part of a team in a fast-paced environment Excellent communication and organisational skills Desirable: Knack for patterns and software engineering Experience with compiler architectures, parsers and syntax trees Passion for software engineering, patterns, refactorings C++ knowledge Responsibilities:  We are looking for an experienced Java developer to contribute to the development of our cutting edge program synthesis tool - Diffblue Repair. The work will focus mostly on greenfield development implementing features on top of our core synthesis engine. Projects will include implementing new functionality in our refactoring and repair tool, and researching new important features to implement. Features designed and developed by you will directly influence how programmers will work in the future. Our technology stack consists of a Java program instrumentation component and a C++ core synthesis engine. We have a minimalist approach to using external frameworks, with emphasis on maintainability and fast turnaround with TDD, DDD and Continuous Integration & Delivery. About the company: Diffblue is changing the way software is developed. We build products that have the potential to be used by every software developer in the world. We are automating a lot of repetitive coding tasks in order to make code safer, better, and cheaper to produce, letting developers concentrate on the real challenges. We are an Oxford University spin-off, founded in 2016, and the following year we raised $22 million in Series A investment to support our growth. Benefits: You'll get to work in one of the hottest tech startups in the world of advanced code analysis Free lunch Competitive salary Private health and dental plan 8% pension contribution Generous holiday (25 days) We'll arm you with all of the latest tech equipment "	"Oxford, Oxfordshire, UK"	"IT"	"£35k-£47k + benefits"	"TechNet IT Recruitment (Permanent)"	"Mollie Powell "	"JS"	"06/12/2018 16:47:34"	"http://www.jobserve.com/GlyVb"	NA	NA	NA	NA
"C++ Developer - Oxford - £40,000-£70,000 + benefits"	"£40k-£70k + benefits"	"Oxford, Oxfordshire"	"Permanent"	"C++ Developer - Oxford - £40,000-£70,000 + benefits"	"Oxford, Oxfordshire - £40k-£70k + benefits"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"C++ Developer required for a leading artificial intelligence company working on a Greenfield project in Oxford on a permanent basis. Location: Oxford Salary: £40,000-£70,000 + benefits  Essential: Independently implement and test C++ modules Identify bottlenecks and bugs, and devise solutions to these problems Help maintain code quality, organization, and automation Efficiently express new algorithms devised by the research team in C++ Liaise with research engineers to discuss required features Quick learner with an ambitious and results driven personality Work well as part of a team in a fast-paced environment Excellent communication and organisational skills Desirable: Knack for patterns and software engineering Experience with compiler architectures, parsers and syntax trees Passion for software engineering, patterns, refactoring's Proven experience in contributing to large C++ projects About the role: We are looking for an experienced C++ developer to contribute to the development of our cutting edge automated reasoning engine. The work will be a combination of Greenfield development and optimizing and extending or open source project CBMC. We have a minimalist approach to using external frameworks, with emphasis on maintainability and fast turnaround with TDD, DDD and Continuous Integration & Delivery. Benefits: You'll get to work in one of the hottest tech start-ups in the world of advanced code analysis Free lunch Competitive salary Private health and dental plan 8% pension contribution Generous holiday (25 days) We'll arm you with all of the latest tech equipment "	"Oxford, Oxfordshire, UK"	"IT"	"£40k-£70k + benefits"	"TechNet IT Recruitment (Permanent)"	"Mollie Powell "	"JS"	"12/12/2018 09:41:46"	"http://www.jobserve.com/Gm4p7"	NA	NA	NA	NA
"Senior/Junior - Full Stack Javascript Developer - AI, ML"	"£40k - £75k + bonus + benefits"	"London"	"Permanent"	"Senior/Junior - Full Stack Javascript Developer - AI, ML"	"London - £40k - £75k + bonus + benefits"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Javascript (Node.js/React), ML (Machine Learning), AI (Artificial Intelligence), API's, Angular An exciting opportunity  To work at an extremely well-funded Start-up, utilising artificial intelligence and machine learning, with a track record of commercial success. This company offers highly flexible working hours; equity options and are looking for energetic and entrepreneurial people with 3+ years of commercial software development experience with some of the following - Javascript (Node.js/React/Angular), ML (Machine Learning), AI (Artificial Intelligence), API's - to build a suite of applications. They are looking for somebody who can cover all stages of the development pipeline. Day to Day You will work in a small team of professional form varying disciplines taking responsibility for products and features. Building important products ranging from elegant dashboards to interfaces which interact with ML prediction modules. Improve your coding skills through support from an extensive code review, CI and thorough testing. There are remote working opportunities and they provide a flexible working schedule. Experience and Exposure 3+ years of experience developing software commercially. Ability to learn and pick up new skills, frameworks and technologies eg Javascript (Node.js/React/Angular), ML (Machine Learning), AI (Artificial Intelligence), API's. Working with teams in a collaborative fashion brainstorming to solve problems and supporting weaker members of the team to improve overall results. Desired Skills/Exposure  Exposure to IOT technologies. AI, ML or GPU Technologies. Commercial exposure to the transport sector. Management experience."	"London, UK"	"IT"	"£40k - £75k + bonus + benefits"	"Optima Connections"	"Jim Smart "	"JSFULLSTACKDEV4"	"10/12/2018 11:17:30"	"http://www.jobserve.com/GmhXR"	NA	NA	NA	NA
"Senior Full Stack Engineer"	""	"Cardiff, Wales"	"Permanent"	"Senior Full Stack Engineer"	"Cardiff, Wales"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Who is AMPLYFI? AMPLYFI is an artificial intelligence and advanced data analytics company headquartered in the Welsh capital. Our flagship platform, DataVoyant, is a game-changer in the sphere of business intelligence, informing organisations of global market trends, technology advances and emerging business disrupters to maintain their competitive advantage. It is a deep learning powered bridge between data scientists and Business Intelligence teams. We're based right in the heart of Cardiff, in Tramshed Tech - a funky co-working space for the creative and tech industry that's less than a five-minute walk from central station. We have the best of both worlds with our own large office space, as well as access to the co-working space, giving us endless opportunity to network with other cutting-edge companies and attend events and meet-ups. The AMPLYFI Team We're all about the team - it's super important to us that everyone gets on and enjoys working with each other. We like each other so much, that we even spend some of our evenings and weekend hanging out. Whether that's going to the cinema, playing beach volleyball or just grabbing a cheeky beer or two. One of our co-founders has proudly built an office bar that is always stocked with a great selection of ales, beers, ciders and wine! We're a pretty autonomous bunch, with a flat structure and a flexible approach to how we work. We encourage creativity and welcome people to share new ideas that can be implemented to make an impact. We're doing industry-shaking work so out of the box thinking is essential. We don't have a dress code and we have a flexible approach to work hours so you can be yourself and perform at your best. You should know that we are big dog fans with a resident pooch, Milo. As acting Head of Cuddles, he's always on hand to give you some affection and a boost when you need it. Working as part of AMPLYFI's software engineering team. We're developing software, tools and techniques to harvest huge quantities of data from the surface and deep web, process that data at scale to extract features and then feed those corpuses into our Machine Learning platform to identify emerging technologies, the companies behind them and how that fits into a global landscape.As a Senior Full Stack Software Engineer you will have, or build an understanding of the whole stack. You'll be involved in searching and harvesting the web at scale, document feature extraction, through to delivering new and exciting insights to our customers via our SAAS offerings. Software - Modern JavaScript, C# .NET Core 2, Python 3, Angular 6, TypeScriptStack - AWS, CDNs, Serverless, Message Queues, ElasticSearch Who are you? Have a number of years' experience in the joys and pain of production systems, preferably at scale. Knowledge of a number of programming languages, with a strong sense of the right, and the wrong, way of engineering things. You actively work to encourage and educate less experienced team members. You must be a forward thinker that can bring new ideas to the table. Have the enthusiasm and a flair for troubleshooting and problem solving. Pride and accuracy in everything you do. Ability to deliver to deadlines. If you would like to hear more on why AMPLYFI is an exceptional place to work, please get in touch with Chloe Murray, Talent Manager, today. "	"Cardiff, Wales, UK"	"IT"	NA	"Talentbe - Amplyfi"	"Chloe Murray"	"JS"	"10/12/2018 07:05:20"	"http://www.jobserve.com/Gi22s"	NA	NA	NA	NA
"Senior Software Engineer"	""	"Cardiff, Wales"	"Permanent"	"Senior Software Engineer"	"Cardiff, Wales"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Who is AMPLYFI? AMPLYFI is an artificial intelligence and advanced data analytics company headquartered in the Welsh capital. Our flagship platform, DataVoyant, is a game-changer in the sphere of business intelligence, informing organisations of global market trends, technology advances and emerging business disrupters to maintain their competitive advantage. It is a deep learning powered bridge between data scientists and Business Intelligence teams. We're based right in the heart of Cardiff, in Tramshed Tech - a funky co-working space for the creative and tech industry that's less than a five-minute walk from central station. We have the best of both worlds with our own large office space, as well as access to the co-working space, giving us endless opportunity to network with other cutting-edge companies and attend events and meet-ups. The AMPLYFI Team We're all about the team - it's super important to us that everyone gets on and enjoys working with each other. We like each other so much, that we even spend some of our evenings and weekend hanging out. Whether that's going to the cinema, playing beach volleyball or just grabbing a cheeky beer or two. One of our co-founders has proudly built an office bar that is always stocked with a great selection of ales, beers, ciders and wine! We're a pretty autonomous bunch, with a flat structure and a flexible approach to how we work. We encourage creativity and welcome people to share new ideas that can be implemented to make an impact. We're doing industry-shaking work so out of the box thinking is essential. We don't have a dress code and we have a flexible approach to work hours so you can be yourself and perform at your best. You should know that we are big dog fans with a resident pooch, Milo. As acting Head of Cuddles, he's always on hand to give you some affection and a boost when you need it. Working as part of AMPLYFI's software engineering team. We're developing software, tools and techniques to harvest huge quantities of data from the surface and deep web, process that data at scale to extract features and then feed those corpuses into our Machine Learning platform to identify emerging technologies, the companies behind them and how that fits into a global landscape. As a Senior Software Engineer you will have, or build an understanding of the whole stack, from web harvesting at scale, feature extraction, Machine Learning and delivering new and exciting insights to our customers. Software - C# .NET Core 2, Python 3, Angular 6, TypeScript Stack - AWS, Serverless, Message Queues, ElasticSearch Who are you? Have a number of years' experience in the joys and pain of production systems, preferably at scale. Knowledge of a number of programming languages, with a strong sense of the right, and the wrong, way of engineering things. You actively work to encourage and educate less experienced team members. You must be a forward thinker that can bring new ideas to the table. Have the enthusiasm and a flair for troubleshooting and problem solving. Pride and accuracy in everything you do. Ability to deliver to deadlines. If you would like to hear more on why AMPLYFI is an exceptional place to work, please contact Chloe Murray, Talent Manager, today. "	"Cardiff, Wales, UK"	"IT"	NA	"Talentbe - Amplyfi"	"Chloe Murray"	"JS"	"10/12/2018 07:05:21"	"http://www.jobserve.com/Gi22Q"	NA	NA	NA	NA
