"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"company_summary"	"start_date"	"category"	"duration"
"Artificial Intelligence Engineer"	"£25k - £28k per annum"	"Weston-Super-Mare"	"Permanent"	"Artificial Intelligence Engineer"	"Weston-Super-Mare - £25k - £28k per annum"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Artificial Intelligence Engineer -Weston Super mare- £25k-28,000 per year iO Associates are recruiting on behalf of Q-Free, to on board a new Artificial Intelligence Engineer to join a growing team in a matrixed environment. This is a full time, permanent position.Q-Free is a global supplier of class-leading Tolling, Parking, Traffic Management and Connected ITS (C-ITS)/Connected Vehicle solutions. These have a global application and are constantly evolving providing a dynamic product line to work on.The R&D unit is currently a team of five which has open positions to immediately grow to eight. This team will work collaboratively with Q-Free's global design teams.You will gain exposure to the latest technology like Machine Learning, Deep Learning, Artificial Intelligence, Computer Vision and mainly Python as a programming language.The below are requirements you must have in order to be considered:Bachelor or Masters Engineering DegreeData ScienceMachine LearningDeep learningArtificial intelligenceRoboticsPython ProgrammingDesirable, but not essential:Java programming and database knowledgeiO associates are the employment agency providing a shortlist of candidates to Q-Free to be considered. Please apply below or send your CV through to Charles at iO Associates for immediate consideration.The closing date for applications is 03/01/19"	"Weston-Super-Mare, UK"	"IT"	"£25k - £28k per annum"	"IO Associates"	"Charles Hoskins "	"JS-JO0000015559"	"10/12/2018 09:23:29"	"http://www.jobserve.com/GmgYV"	NA	NA	NA	NA
"Delivery Manager, Artificial Intelligence, Big Data, Machine Learning"	"£70k - £80k per annum"	"London"	"Permanent"	"Delivery Manager, Artificial Intelligence, Big Data, Machine Learning"	"London - £70k - £80k per annum"	"Permanent"	"Posted: Thursday, 13 December 2018"	""	"Delivery Manager, Artificial Intelligence, Big Data, Machine LearningAn innovative Tech company that has a heavy focus on AI are currently hiring for a Delivery Manager to join an established, talented team. They provide a service used by thousands of reputable brands and combine artificial intelligence and machine learning technology to remove the financial and reputational risks that come with planning and creating content around poorly understood target audiences, and to make their marketing decisions more efficient and effective.Whilst they are continuing to build a new product that leverages Big Data and AI tech, they're in need of someone to work closely with their Data Science, Product and Client Services groups to ensure delivery of features that vary from implementing sophisticated Back End algorithms that make use of Big Data and ML to UI features that enhance client experiences.Delivery ManagerArtificial IntelligenceBig DataMachine LearningYou'll motivate, retain and provide direction and guidance for a team of 6 developers (both on and offshore), whilst also running an Agile process (Kanban board, daily stand up, regular retro's etc). Furthermore, as Delivery Manager, you'll lead hiring efforts for further engineers, work with Product Managers to help manage backlogs and also, provide an interface between the team and the rest of the organisation.If you feel you're a good fit and would like to work with some of London's most talented developers, please do get in touch!Delivery Manager, Artificial Intelligence, Big Data, Machine Learning"	"London, UK"	"IT"	"£70k - £80k per annum"	"Oliver Bernard"	"Sina Faramarzi "	"JS-DMAI"	"13/12/2018 17:46:19"	"http://www.jobserve.com/GnMJb"	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."	NA	NA	NA
"Python Developer/Python Engineer - Artificial Intelligence"	"£70k - £90k per annum + Bonus & Benefits"	"City of London"	"Permanent"	"Python Developer/Python Engineer - Artificial Intelligence"	"City of London - £70k - £90k per annum + Bonus & Benefits"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	" Python Developer/Python Engineer - Python, Django, REST, React - LondonCompanyPython Developer/Python Engineer wanted! This company are an artificial intelligence, Machine Learning and data science start-up based in the heart of London. They are an energetic team solving complex problems in automation, analytics, and search for large-scale enterprises with a client base that includes some of the biggest names in finance, law and professional services. Their Long-term plan is to direct their capabilities towards social mobility, public health and social enterprise to help address some of the more fundamental issues affecting society today.RoleAs the successful Python Developer and a core member in the team, you will work with a cross functional team of designers, product managers, scientists and fellow Python engineers to deliver fully functional web applications in Python/Django REST/Postgress/JS for an enterprise environment. You will have a voice within the company and give input when it comes to what tools and approach to use on the greenfield projects.BenefitsStrong BonusFlexible working hours1-2 days working from homeWeekly social and sports eventsRegular meetups or brownbag sessionsGaming and sports tournamentsRequirementsStrong experience in Python and Django RESTReact or JavaScript is highly desirableLinux/UnixStrong interest in and commitment to engineering best practicesAn interest in mentoring and supporting junior developers as they progressInterest in machine learning and data scienceIf you consider yourself to be a highly experienced Python Developer/Python Engineer and you're looking for your next role in London, then please apply for this role today by submitting your CV for the chance to interview immediately!Python Developer/Python Engineer - Python, Django, REST, React"	"City of London, UK"	"IT"	"£70k - £90k per annum + Bonus & Benefits"	"Oliver Bernard"	"Rob Smiley "	"JS-RJSAI"	"12/12/2018 16:25:06"	"http://www.jobserve.com/Gm9Gc"	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."	"ASAP"	NA	NA
"Java Developer"	""	"London"	"Permanent"	"Java Developer"	"London"	"Permanent"	"Posted: Thursday, 13 December 2018"	""	"Java Developer  - Artificial Intelligence tech house  - Contribute towards creating tech solutions that go towards solving crime and making the world a safer place!  - Candidates from mid to senior level are encouraged to apply... KEY SKILLS/EXPERIENCE REQUIRED  - Expert in Java development, with upwards of 4-5 years' commercial experience.  - Experience working on large business critical web systems and platforms.  - Strong background in Back End development.  - NICE TO HAVE: Knowledge of containerisation technologies such as Kubernetes, Docker... ROLE SUMMARY:  As Java Developer, you will become an integral part of a small tech house in the Artificial Intelligence domain, who are growing rapidly thanks to commercial success (with their products already being used by a global client base) and outside investment.  This will provide you with an opportunity to work on groundbreaking cloud based software solutions that leverage the power of Artificial Intelligence to help solve high profile crimes on a global level.  We are looking to attract candidates at mid or senior level, you must be an expert in Java with demonstrable commercial experience (ideally 4-5 years' upwards). Preferably your core expertise will be in Back End development, although full stack Developers would also be a valuable addition!  As part of a growing engineering and software team, you will get ample opportunities to grow - ultimately this company is looking for people who can go on to occupy future senior and lead level positions! "	"London, UK"	"IT"	NA	"Provide Connected"	"Sam Clayton"	"JS"	"13/12/2018 07:02:46"	"http://www.jobserve.com/GkimX"	NA	NA	NA	NA
"Senior Software Tester (Automation)"	"£45k - £60k"	"London"	"Permanent"	"Senior Software Tester (Automation)"	"London - £45k - £60k"	"Permanent"	"Posted: Thursday, 13 December 2018"	""	"Senior Automation Tester  - Groundbreaking Artificial Intelligence tech house  - Opportunity to help spearhead a new Test/QA team! KEY SKILLS/EXPERIENCE REQUIRED:  - Demonstrable commercial experience in Testing (3-4 years' or more).  - Expertise in Automation Testing and setting up Automation frameworks from scratch.  - Experience as a Tester in a Java development environment. ROLE SUMMARY:  A tech house who devise groundbreaking artificial intelligence solutions, used to carry out video analysis for the purpose of solving high profile crimes on a global level, is looking to form and grow a new Testing and QA team - and are now recruiting for a Test Engineer who may have ambitions of playing a senior/lead role in a team longer term as it grows!  We therefore need a Tester with demonstrable commercial experience (2-3 years' or more), able to work in a fast paced environment with continually changing demands.  You must be highly proficient in automated testing, to the extent of being able to set up Automation frameworks from scratch. Ideally you will have done this in a Java development environment.  In return, you'll be rewarded with the chance to progress your career in an environment where you'll be exposed to a range of cutting edge open source and cloud based technologies, contributing towards artificial intelligence solutions that are helping to make the world a safer place! "	"London, UK"	"IT"	"£45k - £60k"	"Provide Connected"	"Sam Clayton"	"JS"	"13/12/2018 07:02:42"	"http://www.jobserve.com/GkiS8"	NA	NA	NA	NA
"Full Stack Developer - Python, Javascript, React"	"Competitive + Benefits"	"London"	"Permanent"	"Full Stack Developer - Python, Javascript, React"	"London - Competitive + Benefits"	"Permanent"	"Posted: Thursday, 13 December 2018"	""	"Full Stack Developer - Machine Learning/Artificial Intelligence Software Our client are an international company with regional offices around the world, who are going through a period of rapid growth and expansion, thanks to an innovative product that enables Banking and Financial Services companies to benefit from the use of Machine Learning and Artificial Intelligence There is a current and urgent need for an experienced Full Stack Developer to work alongside the existing tech team consisting of solutions architecture, machine learning engineers and software developers. The role will involve developing and delivering client solutions utilising the companies AI technology. To be successful you will need to bring the following: Experience in working as a Software Developer on projects involving data analytics Strong hands-on dev skills. This role will involve producing code using best fit technology covering Java, Python, Javascript, NodeJS, ETL, Relational Databases, NoSQL Databases/Big Data Technologies, Cloud Technologies (AWS or Azure) etc. Strong communication skills  Strong analytical/problem solving skills Any exposure to Machine Learning or Artificial Intelligence in the past would be beneficial, although not mandatory To express your interest in this opportunity please submit your CV. We look forward to hearing from you!"	"London, UK"	"IT"	"Competitive + Benefits"	"Data Inc UK Ltd"	"DIUK Recruitment"	"JS/LBAIARCH2208"	"13/12/2018 11:20:14"	"http://www.jobserve.com/GjBQK"	NA	"ASAP"	"Graduate, Executive"	NA
"C++ Developer - Oxford - £40,000-£70,000 + benefits"	"£40k-£70k + benefits"	"Oxford, Oxfordshire"	"Permanent"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DevOps Engineer - Python - GCP - Kubernetes - Machine Learning"	"£500 - £600 per Day +"	"London"	"Contract"	"DevOps Engineer - Python - GCP - Kubernetes - Machine Learning"	"London - £500 - £600 per Day +"	"Contract"	"Posted: Thursday, 13 December 2018"	""	"DevOps Engineer - CI/CD - Google Cloud - Kubernetes - Python - Artificial Intelligence - Machine LearningA leading AI and Machine Learning business in London are currently looking for a DevOps Engineer to join them on a contract basis.This is a contract position so the ideal candidate must be able to hit the ground running!Your skillsSound understanding of GCP and the services and tools it provides, especially: Cloud Functions, App Engine, Kubernetes Engine, Compute Engine, Istio, CloudSQLExperience in IaC: management of the infrastructure through machine-readable definition files, rather than physical hardware configuration or interactive configuration tools (Terraform, Kubernetes)2+ years expertise as a DevOps EngineerExperience with monitoring tools (New Relic, Stackdriver)Excellent skills in DockerYou are comfortable writing BashYou are comfortable writing PythonYou embrace and promote the DevOps principlesLinux operating system experienceBroad technical understanding of data systems and web technologiesIt would be great to seeExperience with KnativeGitlab and its integration with GCPExperience in postgreSQL administration and query optimisationExperience scaling application and database layersExperience managing and optimising continuous integration tools like Drone and JenkinsExperience in use of Groovy and Pipeline DSL for Jenkins configurationExpertise in WebSockets, Nginx, Redis, and RabbitMQDiagramming solutions (BPMN, ERD, sequence diagrams)Please contact me for an immediate response!DevOps Engineer - CI/CD - Google Cloud - Kubernetes - Python - Artificial Intelligence - Machine LearningWe are an equal opportunities employer and welcome applications from all suitably qualified persons regardless of their race, sex, disability, religion/belief, sexual orientation, gender reassignment, marriage and civil partnerships, pregnancy or maternity or age."	"London, UK"	"IT"	"£500 - £600 per Day +"	"onezeero"	"Gary Gregory "	"JS-50171826"	"13/12/2018 09:12:20"	"http://www.jobserve.com/GnIKz"	NA	NA	NA	"6 months"
"Senior Full Stack Engineer"	""	"Cardiff, Wales"	"Permanent"	"Senior Full Stack Engineer"	"Cardiff, Wales"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Who is AMPLYFI? AMPLYFI is an artificial intelligence and advanced data analytics company headquartered in the Welsh capital. Our flagship platform, DataVoyant, is a game-changer in the sphere of business intelligence, informing organisations of global market trends, technology advances and emerging business disrupters to maintain their competitive advantage. It is a deep learning powered bridge between data scientists and Business Intelligence teams. We're based right in the heart of Cardiff, in Tramshed Tech - a funky co-working space for the creative and tech industry that's less than a five-minute walk from central station. We have the best of both worlds with our own large office space, as well as access to the co-working space, giving us endless opportunity to network with other cutting-edge companies and attend events and meet-ups. The AMPLYFI Team We're all about the team - it's super important to us that everyone gets on and enjoys working with each other. We like each other so much, that we even spend some of our evenings and weekend hanging out. Whether that's going to the cinema, playing beach volleyball or just grabbing a cheeky beer or two. One of our co-founders has proudly built an office bar that is always stocked with a great selection of ales, beers, ciders and wine! We're a pretty autonomous bunch, with a flat structure and a flexible approach to how we work. We encourage creativity and welcome people to share new ideas that can be implemented to make an impact. We're doing industry-shaking work so out of the box thinking is essential. We don't have a dress code and we have a flexible approach to work hours so you can be yourself and perform at your best. You should know that we are big dog fans with a resident pooch, Milo. As acting Head of Cuddles, he's always on hand to give you some affection and a boost when you need it. Working as part of AMPLYFI's software engineering team. We're developing software, tools and techniques to harvest huge quantities of data from the surface and deep web, process that data at scale to extract features and then feed those corpuses into our Machine Learning platform to identify emerging technologies, the companies behind them and how that fits into a global landscape.As a Senior Full Stack Software Engineer you will have, or build an understanding of the whole stack. You'll be involved in searching and harvesting the web at scale, document feature extraction, through to delivering new and exciting insights to our customers via our SAAS offerings. Software - Modern JavaScript, C# .NET Core 2, Python 3, Angular 6, TypeScriptStack - AWS, CDNs, Serverless, Message Queues, ElasticSearch Who are you? Have a number of years' experience in the joys and pain of production systems, preferably at scale. Knowledge of a number of programming languages, with a strong sense of the right, and the wrong, way of engineering things. You actively work to encourage and educate less experienced team members. You must be a forward thinker that can bring new ideas to the table. Have the enthusiasm and a flair for troubleshooting and problem solving. Pride and accuracy in everything you do. Ability to deliver to deadlines. If you would like to hear more on why AMPLYFI is an exceptional place to work, please get in touch with Chloe Murray, Talent Manager, today. "	"Cardiff, Wales, UK"	"IT"	NA	"Talentbe - Amplyfi"	"Chloe Murray"	"JS"	"10/12/2018 07:05:20"	"http://www.jobserve.com/Gi22s"	NA	NA	NA	NA
"Senior/Junior - Full Stack Javascript Developer - AI, ML"	"£40k - £75k + bonus + benefits"	"London"	"Permanent"	"Senior/Junior - Full Stack Javascript Developer - AI, ML"	"London - £40k - £75k + bonus + benefits"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Javascript (Node.js/React), ML (Machine Learning), AI (Artificial Intelligence), API's, Angular An exciting opportunity  To work at an extremely well-funded Start-up, utilising artificial intelligence and machine learning, with a track record of commercial success. This company offers highly flexible working hours; equity options and are looking for energetic and entrepreneurial people with 3+ years of commercial software development experience with some of the following - Javascript (Node.js/React/Angular), ML (Machine Learning), AI (Artificial Intelligence), API's - to build a suite of applications. They are looking for somebody who can cover all stages of the development pipeline. Day to Day You will work in a small team of professional form varying disciplines taking responsibility for products and features. Building important products ranging from elegant dashboards to interfaces which interact with ML prediction modules. Improve your coding skills through support from an extensive code review, CI and thorough testing. There are remote working opportunities and they provide a flexible working schedule. Experience and Exposure 3+ years of experience developing software commercially. Ability to learn and pick up new skills, frameworks and technologies eg Javascript (Node.js/React/Angular), ML (Machine Learning), AI (Artificial Intelligence), API's. Working with teams in a collaborative fashion brainstorming to solve problems and supporting weaker members of the team to improve overall results. Desired Skills/Exposure  Exposure to IOT technologies. AI, ML or GPU Technologies. Commercial exposure to the transport sector. Management experience."	"London, UK"	"IT"	"£40k - £75k + bonus + benefits"	"Optima Connections"	"Jim Smart "	"JSFULLSTACKDEV4"	"10/12/2018 11:17:30"	"http://www.jobserve.com/GmhXR"	NA	NA	NA	NA
