"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"duration"	"category"	"company_summary"
"Data Science - London - £60k - £75k"	"£60k - 70k per annum"	"London"	"Permanent"	"Data Science - London - £60k - £75k"	"London - £60k - 70k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Data Science - London - £60k - £75k My client works with large food companies and specializes in managing the food processing.  This client is looking to set up a new Data Science hub within London, creating a brand new team.Data Scientist Role Requirements: Seriously passionate about solving data problems.  Entrepreneurial attitude/self-starter with the ability to spot data-backed variables influencing growth and forecast their evolution.  Strong attention to detail and organisation.  Outstanding communication skills in order to explain complex data problems in a non-technical way.  Commercial mindset and a good understanding of what data contributes to the overall business objectives both short and long-term.  Ability to work under pressure in a ludicrously fast-paced and scaling business.  Very strong SQL and BI software skills (ideally Mode or similar).  Advanced Excel skills including pivot tables, macros, charts, functions and VBA modelling.  BSc degree (or higher) in Engineering, Computer Science, Physics or any other highly quantitative field from a top-tier University.Nice-to-haves: Commercial understanding of marketplace mechanics and what this looks like from a data standpoint would be epic.  Engineering background in order to work end to end with data. -  Implementation of tracking to data-visualisation.  Experience working with cross-departmental data analytics (Product, Marketing, Customer Service and Growth)  Experience working with data mining/stat languages (Python) is preferred.  Experience working with performance marketing analytics tools (Facebook, Google Adwords/analytics etc…)  Knowledge of data visualisation tools such as Mode, Periscope, or Tableau.Skills Python, Data Analysis, SQL, Communication Skills, AnalyticsGet in touch with myself, Dominic at Opus if you would like to be considered for this role. Data Science - London - £60k - £75k "	"London, UK"	"IT, Science"	"2018-12-16"	"£60k - 70k per annum"	"Opus Recruitment Solutions Ltd"	"Dominic Fox "	"JSDATA SCIENCE - EAST LONDON"	"03/12/2018 18:24:06"	"http://www.jobserve.com/GlSpX"	NA	NA	NA
"Data Science Manager"	"£Competitive Salary DOE Plus Benefits GBP"	"London"	"Permanent"	"Data Science Manager"	"London - £Competitive Salary DOE Plus Benefits GBP"	"Permanent"	"Posted: Thursday, 29 November 2018"	""	"Data Science Manager Notting Hill, London £Competitive salary DOE + Flexible Benefits, Bonus, Flexible Working Hours, 25 Days' Holiday + Day Off on BirthdayTell me about VCharge .VCharge is the centrepiece of OVO's ambition in becoming the world leader in distributed energy technology. It is an intelligent control layer running on top of the already existing energy infrastructure, giving both the market players as well the end consumers a fast forward ticket to the distributed energy future. VCharge will be the nervous system of the OVO's energy IoT landscape sitting between grid operators and end customers, and connecting energy suppliers, energy IoT and VPP.Join a team of top-notch tech talent in their quest to shape the energy ecosystem of the future. You will be working shoulder to shoulder with people from Facebook, Amazon, Manor Racing, Goldman Sachs, to name but a few.That sounds great! What will I be doing?You'll manage a small team of data scientists whilst also being hands on as a senior data scientist. You will be interacting with senior stakeholders in the business as well as your peers (product managers and engineering managers) to better understand the problem space and shape the data science agenda. In addition to line management duties, you will need to bring best practices and processes to the team and help each of the team members maximise their potential. You will help define what success looks like for the team and define clear team and personal objectives for each of the team members.You'll apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with our core/business products.That sounds super exciting, but Do I have what it takes?- Extensive experience as a data scientist  - Experience in a hands-on managerial role in a collaborative data science team. - Experience in physical simulation, control systems, time series modelling and forecasting. statistical learning. Experience with complex data set visualisations. - Solid understanding of statistics, algorithmics, optimisation and modelling techniques. - Experience working with senior stakeholders, Laser focus on delivery. Experience working closely with product managers and engineering managers. - Experience in setting tools/processes/frameworks to facilitate the work of the data science team. Big focus on communication and Cross-sector/industry experience. - Used to working with large volumes of data, and is knowledgeable of the various tools to manipulate these as well as various data manipulation and visualisation tools. Experience with data science cloud platform technologies (eg AWS/GCP). - Led successful data science projects from inception, design, implementation, testing, deployment, visualisation and stakeholder presentation. - Ability to initiate and drive projects to completion with minimal guidance. Ability to visualise, communicate and explain complicated concepts to a non-technical crowd. - Fluency in SQL and Python - Go/Scala would be a plus. - Be up to date on the latest trends in the data science/data engineering community.Benefits- Sunday Times' top 20 list of the best companies to work for - 4% on top of salary for flexible benefits - The opportunity to get involved with conferences, meet-ups, hackathons, tech talks and teaching kids to code - A clearly defined career path - Open plan office in Notting Hill - Free breakfast every day and lunch on Fridays - Lots of social events - Training budget - Matched volunteering and matched fundraisingThis vacancy is being advertised by Webrecruit. The services advertised by Webrecruit are those of an Employment Agency.Additional Keywords: Data Science Manager, Senior Data Scientist, Lead Data Scientist, Data Science Manager, Data Insight Manager, Senior Data Insight Analyst, Data Analysis Manager or Data Science Specialist."	"London, UK"	"IT"	NA	"£Competitive Salary DOE Plus Benefits GBP"	"OVO Energy"	"OVO Energy"	"JS2592748_RP567422731/590845180"	"29/11/2018 09:56:19"	"http://www.jobserve.com/GkghI"	NA	NA	NA
"Data Science Manager (Pricing) | SW London | £60-70k"	"£60-70k"	"London"	"Permanent"	"Data Science Manager (Pricing) | SW London | £60-70k"	"London - £60-70k"	"Permanent"	"Posted: Tuesday, 27 November 2018"	""	"One of the world's leading insurers and warranty providers is looking to grow their Data Science team further by adding a Data Science Manager to oversee their pricing strategies. My client has been operating for over 100 years, insuring everything from livestock, central heating, TV's and even VR headsets. The Data Science team is a new venture for the business and is leading the company in a new exciting direction which champions automation, personalisation and data-driven decision making. The Data Science Manager will work directly with the Head of Data Science and will lead the successful delivery of the company's pricing strategy using advanced analytics and Machine Learning. You will grow and lead a team of Data Scientists and Pricing Analysts and will continually evolve the pricing models, delivering comprehensive pricing analyses. You will do this by building Machine Learning models that will tackle projects such as recommendation engines and Real Time pricing. Additionally you will monitor competitors' behaviour to maintain pricing optimisation. The right person for this role will have significant experience developing and implementing pricing models as well as have in-depth statistical skills with the ability to build Machine Learning models. You will be proficient programming in R as well as utilising SQL, any experience with tools such as DataRobot & Earnix is a bonus! In addition to your technical skills, you will also have the right personality to grow in to a leadership position, you must be able to provide examples of where you have managed or mentored junior members of staff and will be keen to build on this experience. As well as having the opportunity to be a part of the transformation of a large Legacy company, the career progression on offer is incredible. Promoting from within is a core concept this company stick by, an example of this being the current Head of Data Science who was promoted from a Senior Data Scientist position to become the current head of' within just over 2 years! Based in SW London, just 15 mins away from Waterloo station, this is a fantastic opportunity for someone considering their future career in this area. To find out more please contact Andy Driver."	"London, UK"	"IT"	NA	"£60-70k"	"RedCat Solutions "	"Andy Driver "	"JS"	"27/11/2018 07:04:30"	"http://www.jobserve.com/Gh1yD"	NA	NA	NA
"Data Science Manager"	""	"Maidstone"	"Permanent"	"Data Science Manager"	"Maidstone"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"This position is based within a fast growing credit management service provider based in Kent. The company is looking for an experienced Data Scientist or Credit Risk modeller to lead the Data Science team. The data science team is focused on understanding, measuring and predicting customer behaviour.SummaryThis opportunity is based within one of the largest and fastest growing credit management services providers in Europe. My client is searching for a Data Scientist/Credit Risk Modeller to lead their Data Science team. Key Responsibilities:Project based delivery of statistical and empirical analytics.Data warehouse interrogation, data collection, sample selection and preparation.Statistical model building to agreed objectives and deadlines.Become a subject matter expert.To be an owner in the business of making better predictions of payer behaviour and propensities to behave in each situation, through a better understanding in the drivers of consumer behaviour.Communicate well with our colleagues and listen to our customers.Explain the technical aspects of statistics to the team and wider as required.Clear project planning and management.Follow model development through to implementation and be prepared to automate models in the business, through SAS or other coding and quality checking.Critical assessment of Credit Bureau Data and other 3rd party data.Coach and mentor Junior Analysts.Work to further the understanding of consumer behaviour relating to the services provided by CCM.Work with other teams and departments to ensure modelling output is correctly deployed into the business.Key Requirements:Numerical degree or evidence of equivalent certification. Master's degree or PhD is preferred.Technical certification in interrogation software preferred (SAS, R, Python, SQL).Strong communication skills.Problem solving skills.Leadership skills.An interest in financial services.Two years + of managerial experience is preferred.If you would be interested in discussing this opportunity further, please get in touch.Phone/Email: (see below) "	"Maidstone, UK"	"IT"	NA	NA	"Robert Walters"	"Lucy Cova "	"JS-50322133/001"	"03/12/2018 15:48:52"	"http://www.jobserve.com/GlQyF"	NA	NA	NA
"Data Science Internship 2019 (1 Year FTC)"	"London: £23,406, Newcastle: £17,837 (at the end of the int GBP"	"Newcastle, Staffordshire"	"Contract/Permanent"	"Data Science Internship 2019 (1 Year FTC)"	"Newcastle, Staffordshire - London: £23,406, Newcastle: £17,837 (at the end of the int GBP"	"Contract/Permanent"	"Posted: Monday, 3 December 2018"	""	"About the NAOThe National Audit Office (NAO) supports Parliament to hold the government to account for the way public services are delivered. Our primary role is to scrutinise public spending for Parliament. We do this by certifying over 350 government accounts and produce around 65 Value for Money (VFM) reports each year.About the internshipWe are looking to recruit up to three people to participate in our year long, data science internship scheme starting from September 2019.We expect you will spend most of your time applying strong quantitative and qualitative analytical skills to build and implement analytical tools to support our range of assurance work. In addition, we also expect you to spend some of your time collaborating with our financial auditors to review high value, high risk quantitative models which underpin accounting estimates. For example, the value of the student loans book, the rate of fraud and error in tax credit and benefit payments and the money needed in the future, to compensate people who have experienced clinical negligence.Key skills/competencies requiredNo previous experience of audit is necessary and training will be provided in key Data Science skills such as R, SQL and Tableau dashboard building.But we have some minimum criteria which you will need to meet: 120 UCAS points (from the 2017 tariff) from your top 3 A Level grades (or equivalent) including Maths. General Studies does not count. If you have 104 UCAS points from the 2017 tariff (or equivalent) you may still be eligible to apply.  Took an undergraduate degree course with a substantive analytical component such as data science, operational research, mathematics, statistics, physics, engineering, management science, economics (the data science internship is unlikely to be suitable for people studying accounting finance degree courses), where:  o You are in your second year of a sandwich degree course  o You are in your final year and are expecting a 2.1 degree or better, or  o You have completed your undergraduate degree course and achieved a 2.1 degree or better You must be a UK, Commonwealth, EEA or Swiss national to comply with Civil Service nationality rules and must hold a valid work permit. We are not able to sponsor work visas.Some previous programming experience is desirable but not essentialThe deadline for applications is Sunday 2 December 2018, 23:55pm BST.If you pass the initial application stage, we will invite you to complete a technical exercise followed by a telephone interview. This will then be followed by a final interview.If you are successful, you will start the internship on 2 September 2019.  "	"Newcastle, Staffordshire, UK"	"IT"	NA	"London: £23,406, Newcastle: £17,837 (at the end of the int GBP"	"National Audit Office"	"National Audit Office"	"JS257006522_RP559289365/571260734"	"03/12/2018 15:55:41"	"http://www.jobserve.com/GkQQp"	NA	NA	NA
"Business Analyst - Data Science/Big Data"	"Market rate"	"London"	"Contract"	"Business Analyst - Data Science/Big Data"	"London - Market rate"	"Contract"	"Posted: Monday, 3 December 2018"	""	"Business Analyst - Data Science/Big Data - Agile - London An urgent 6 month opportunity has arisen with a global market leading organisation for a Business Analyst to join a busy transformation project. Skills:  5+ years as a Business Analyst with a global organisation  Requirements management  Excellent written and verbal communication, preferably with technical writing skills  Agile experience  Understanding of Data science practices Please get in touch ASAP for more information. Business Analyst - Data Science/Big Data - Agile - London "	"London, UK"	"IT"	"ASAP"	"Market rate"	"Harris Global"	"Stacy Ball"	"JSSB/HARRIS/DS"	"03/12/2018 16:23:48"	"http://www.jobserve.com/GlRR6"	"6 months"	NA	NA
"Head of Data Science - Top Tier Bank"	"£100k per annum + Company Benefits"	"London"	"Permanent"	"Head of Data Science - Top Tier Bank"	"London - £100k per annum + Company Benefits"	"Permanent"	"Posted: Tuesday, 27 November 2018"	""	"Head of Data Science - Top Tier Bank - London - £100k+ with excellent company benefitsMy client is a well-known top tier bank based in central London. As they develop their data driven decision making model, they are using the latest data science techniques and sophisticated algorithms to produce powerful insight.You will get the opportunity to work for a great brand on disruptive banking projects. You'll have the chance to build out a data science team work alongside data engineers and product owners to improve overall performance of the banking products and customer engagement.The ideal Candidate will have:Extensive experience as a hands on data scientist and the ability to build your own Machine Learning algorithms. This will not always be required but this is not just a hands off management role.A track record of building and developing high performance data science teamsworked with large volumes of data on Big Data Platformsexperience of working in cross-functional teamsThe ability to work directly with external stakeholders to develop and deliver analytical solutionsDevelop reporting solutions, integrate current strategy with disruptive new ideasThis is a great opportunity to work in with a strong team and great company. As this team grows, evolves and new projects are work this will become even more of a long term career opportunity. Data Science within Financial services is changing and this is a great opportunity to be part of it.This is an excellent to opportunity to take your career to a new level. DON'T get left behind APPLY NOW! To discuss this exciting Business Intelligence and Analytics opportunity in more detail please send your CV to (see below) or call Andrew Poxton on (see below) in complete confidence ASAP.  Parallel Consulting is a leading Analytics Recruitment Consultancy with many live Contract and Permanent job opportunities. We deal with Clients throughout the UK, Europe and USA. Parallel Consulting is acting as an Employment Agency in relation to this vacancy."	"London, UK"	"IT"	NA	"£100k per annum + Company Benefits"	"Parallel Consulting"	"Andrew Poxton "	"JS-4585 AP"	"27/11/2018 18:34:25"	"http://www.jobserve.com/GkRem"	NA	"Executive"	NA
"CTO/Head of Data Science"	"Up to £80K"	"London"	"Permanent"	"CTO/Head of Data Science"	"London - Up to £80K"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"CTOData Science Start-Up Tech firmJoin and lead a growing Data Science and Software Engineering teamExcellent opportunity to join a forward thinking and innovative firm and help shape it moving forwardWork remotely with 2-3 days per month in LondonThis is an excellent opportunity to join a growing start-up firm and to help shape the business moving forward, get involved in new projects for the company and make a real impact to support the growth of the business. The company have a strong product that has had a great deal of praise by the companies that they work with and they are winning repeat business to support these companies with their data science challenges. What you'll be doing You will be coming into the business at a critical time, they are about to move from a product company to also adding on data science services for current and new clients. Your role will be to lead the Data Science and Software Engineering teams and have a big input into technology and commercial strategies. Their product has use cases across eCommerce, Financial Services, Healthcare, Content Discovery, Competitor Monitoring, Compliance and more. What experience you'll need to applyExperience of leading a Data Science or Analytics functionHands on python data science skillsClient facing experienceWorked on multiple data science projectsAn interest in business strategy and technology managementWhat you'll get in return for your experience A salary of up to £80K + benefitsFully remote workingEquity - % to be discussedWhat's next?Please get in touch with Alex with an up to date CV today. Don't hesitate to call/email to discuss the finer details."	"London, UK"	"IT"	NA	"Up to £80K"	"AD LIB"	"Alex Cosgrove "	"JSREMOTE DATA SCIENCE TECH FIRM"	"03/12/2018 09:44:07"	"http://www.jobserve.com/GlMXL"	NA	NA	NA
"Technical Trainer - Data Science"	"£55k - £80k per annum"	"London"	"Permanent"	"Technical Trainer - Data Science"	"London - £55k - £80k per annum"	"Permanent"	"Posted: Thursday, 29 November 2018"	""	"Job Title: Technical Trainer - Data ScienceLocation: LondonType: Full time permanentSalary: £55,000 pa - £80,000 paCapita are looking for enthusiastic Technical Trainers to educate people in Data Science. The Technical Trainer will join a successful Development and Implementation training programme that will train high calibre graduate level individuals who will then be placed on client site.The Technical Trainer role would be ideal for someone with experience in training graduate level people in Data Science technologies.This would also suit someone that is coming from a commercial background as a Data Scientist or data related field looking to make a move in to training.The role will require:Creation, development and delivery of a programme of courses/workshops intended to develop graduates and professionals into introductory IT professionals within roles such as: Software Developers and Business Analysts.You will deliver all forms of training (one-to-one, small groups) and carry out training needs analysis, as well as identifying new training areas.Technical trainers must be extremely knowledgeable in their field of expertise and possess solid technical aptitude. Additionally, we expect you to be an excellent communicator, able to explain complex subjects in a clear and interesting way.Technical Trainer/Data Science/LondonCapita IT Resourcing is acting as an Employment Agency in relation to this vacancy."	"London, UK"	"IT, Education"	"ASAP"	"£55k - £80k per annum"	"Capita Resourcing IT"	"Waqar Zaidi "	"JS-BBBH16043"	"29/11/2018 16:50:27"	"http://www.jobserve.com/GkjpA"	"Permanent"	"Graduate"	NA
"Full Stack Developer - Data Science - Node, London"	"70k-90k"	"London"	"Permanent"	"Full Stack Developer - Data Science - Node, London"	"London - 70k-90k"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Full Stack Developer- Data Science - Node, London Full Stack Developer, who is skilled in Node & Elasticsearch, to join a Team that focus on data and search projects. The role sits closely working with SEO, analysing patterns in their traffic data using Elasticsearch, Google Bigquery, and working with REST API's of 3rd party services etc. Main technical skills - NodeJS - Elasticsearch - BigQuery, Google Cloud, AWS, REST API's, Google Analytics, NLP, Machine Learning, web scraping/headless browsing, automated testing, SEO - Excellent opportunity to join a leading Market leading company and gain exposure working on Data, Machine Learning and SEO."	"London, UK"	"IT"	"ASAP"	"70k-90k"	"Digitech Resourcing"	"sandeep mangat "	"JS_NODEPERM2_SM"	"30/11/2018 16:36:54"	"http://www.jobserve.com/GkqiO"	NA	NA	NA
