"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"start_date"	"company_summary"	"duration"	"category"
"Data Science/Big Data Business Analyst - Contract"	"£450.00 per day"	"London"	"Contract"	"Data Science/Big Data Business Analyst - Contract"	"London - £450.00 per day"	"Contract"	"Posted: Monday, 10 December 2018"	""	"Data Science/Big Data Business Analyst - Contract - 6-12 months - London - up to 450 p/dWe are looking for an experienced Business Analyst with a good understanding of Data Science/Big Data, Excellent communication and interpersonal skills to join one of the worlds most successful and fastest growing companies.Key skills/attributes:Experience with User story requirementsWorking with Data Scientist/AI/Machine learning Engineer/Big Data specialists is essentialAgile working environmentUnderstanding of ScrumRequirement capturing JiraUnderstanding of Data Science and Big DataData Science/Big Data Business Analyst - Contract - 6-12 months - London - up to 450 p/d"	"London, UK"	"IT"	"£450.00 per day"	"Gravitas Recruitment Group Ltd"	"Tim Bunn "	"JS-BBBH54913"	"10/12/2018 15:26:07"	"http://www.jobserve.com/GmjBN"	NA	NA	NA	NA
"Data Science Software Engineer"	"£40k - £70k per annum + Bonus and benefits package"	"Southampton, Hampshire"	"Permanent"	"Data Science Software Engineer"	"Southampton, Hampshire - £40k - £70k per annum + Bonus and benefits package"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Data Science Software EngineerSouthampton - £40-70k + benefits and bonusA number of excellent opportunities have arisen in Southampton for strong Data Science Software Engineers in Southampton. You'll be working on a range of state of the art analytics projects, which are highly varied - including structured and unstructured data- to develop data science solutions using a range of software. Projects include big data, data streaming, machine learning and data visualisation.Please note, due to the nature of the role you will be required to undergo SC or DV clearance if you don't already have it. Please ensure you are familiar with the process and requirements before applying.Key Experience for the Data Science Software Engineer:*Ideally you'll hold a degree qualification in computer science or relevant field*4+ years' experience in software delivery. You will also have experience of multiple programming languages with a passion for high-quality, eligible and maintainable code.*Data science expertise- any of the following:-Large scale ('big data') data ecosystems, cloud infrastructure and analytic frameworks.-Machine learning and Deep Neural Net technologies-Techniques and toolkits for data cleansing, data preparation, data processing, fusion and analysis-Techniques and toolkits for combining data or analysing data streams in Real Time-Data visualisationIf you are a Software Engineer with lots of data science experience then please apply now for consideration. The role could offer flexible or reduced work hours if necessary.People Source Consulting Ltd is acting as an Employment Agency in relation to this vacancy.People Source specialise in technology recruitment across niche markets including Information Technology, Digital TV, Digital Marketing, Project and Programme Management, SAP, Digital and Consumer Electronics, Air Traffic Management, Management Consultancy, Business Intelligence, Manufacturing, Telecoms, Public Sector, Healthcare, Finance and Oil & Gas."	"Southampton, Hampshire, UK"	"IT"	"£40k - £70k per annum + Bonus and benefits package"	"People Source Consulting Ltd"	"lucy davey "	"JS-LD/DATASCIENCESE"	"11/12/2018 16:26:42"	"http://www.jobserve.com/GmvH9"	NA	NA	NA	NA
"Python Developer for Data Science Ecommerce Platform"	"Up to 70K "	"London"	"Permanent"	"Python Developer for Data Science Ecommerce Platform"	"London - Up to 70K "	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Python Developer | Data Science E-commerce Platfrom | Up to 70K + Major Equity | Central London | Start ASAP | Python | Systems integration | REST API | SOAP API | HTTP API | Data | Big Data | AI | Backend Web systems development | Microservices | Microservices Architecture | Data Science | NumPy | SciPy | Pandas | A start up looking to revolutionise the retail space are looking for a talented Python developer that is interested in complex 3rd party integration challanges, strong Microservices experience and an interest in furhter developing their 'AI' features and Data Science capabilities. You are joining the business at a crucial and exiting time in their life cycle and will be rewarded with equity, a range of opporunities and experience and the possibility in developing into a Head of or CTO role. Must have skills and experience:- Strong Python development expertise- Extensive API integration experience - Experience of integrating with 3rd party Legacy systems as well as those with a Microservices architecture. Bonus skills and experience:- Any E-commerce or retail experiene would be preferred. - Frontend development experience - Strong educational background Python Developer | Data Science E-commerce Platfrom | Up to 70K + Major Equity | Central London | Start ASAP | Python | Systems integration | REST API | SOAP API | HTTP API | Data | Big Data | AI | Backend Web systems development | Microservices | Microservices Architecture | Data Science | NumPy | SciPy | Pandas | "	"London, UK"	"IT"	"Up to 70K "	"Mortimer Spinks a trading division of Harvey Nash Plc"	"Toby MacFarlane "	"JS-24796/001"	"11/12/2018 19:50:28"	"http://www.jobserve.com/GmvlO"	"ASAP"	"About Mortimer Spinks a trading division of Harvey Nash Plcwww.mortimerspinks.comWe're Mortimer Spinks, and we're one of the UK's leading innovator in technology recruitment. We work with the most innovative companies in the world. The majority of our customers are defined as entrepreneurial technology organisations, where technology is core to the growth of their business.Technology experts. Delivered by the experts.You can find us in London, Birmingham and Manchester.Our consultants are true experts in what they do. Which means when it comes to technology, we can give you advice on just about anything (go on - try us)."	NA	NA
"Big Data & Data Science Solution Architect"	"Excellent rates or salary + profit share + benefits"	"Southampton, Hampshire"	"Contract/Permanent"	"Big Data & Data Science Solution Architect"	"Southampton, Hampshire - Excellent rates or salary + profit share + benefits"	"Contract/Permanent"	"Posted: Thursday, 13 December 2018"	""	" Southampton, UK  Full-time or contract Company Description We pledge \"to prove IT can make a real difference to our customer's businesses\". We work hard to ensure we understand what our customers need from their technology solutions and then we deliver.We are an award-winning company who provide world class customer service; we think big and we hire great people. Version 1 are more than just another IT services company - we are leaders in implementing and supporting Oracle, Microsoft and AWS technologies.Invest in us and we'll invest in you; if you are driven, committed and up for a challenge, we want to meet you.pec to Follow Job Description With increasingly vast seas of digital information, smart organisations can today do things that were up to now impossible; spot unseen business trends, prevent diseases, make our roads safer and so on. At Version 1 our Mission is to prove IT can make a real difference. We prove this every day and due to continued expansion we're searching for like-minded individuals to help us take it to the next level'. This is an exciting opportunity for an experienced Big data/Data Science Solutions Architect. A permanent position initially based on site in Southampton but primarily in our London office, you will join a growing team within our Data Analytics team, a part of Version 1's Digital Transformation Practice.  The ideal candidate will have a proven track record in leading and delivering Azure Data Analytics solutions with Enterprise level organisations. We are seeking someone who can create and deliver a BI vision with customers across many sectors. You will be highly proficient working with business stakeholders and directing project teams and will have direct experience of a range of BI Tools and Platforms. Able to work independently you will be responsible for generating new business, working with our sales team, writing technical specifications for tenders and overseeing the delivery of BI team leads. You will ideally have at least 7 years' BI experience and a proven track record architecting enterprise level Business Intelligence Solutions. You will manage your own and your team's performance to deliver agreed outcomes and work with Sales to generate new offerings and propositions. Your main responsibilities will be: Designing and delivering Azure Data Analytics solutions Delivering and presenting Proofs of Concept to prospective customers. Requirements Analysis and Solution Architecture Design. Datamodelling and data architecture design. ETL, data integration and data migration design. Master data management system and process design and implementation. Data quality system and process design. Analysis of requirements and production of specifications. Documentation of solutions (eg data models, configurations, and setup). Working within a project management/agile delivery methodology in a leading role as part of a wider team. Supporting pre-sales discussions. Deal with other stakeholders/end users in the software development life cycle - PMs, BAs, testing etc Qualifications You will have: Direct experience of solution shaping and architecture development during pre-sales including excellent documentation skills. Microsoft Azure Big Data Architecture certification. Hands on experience designing and delivering solutions using the Azure Data Analytics platform (Cortana Intelligence Platform) including Azure Storage, Azure SQL Data Warehouse, Azure Data Lake, Azure Cosmos DB, Azure Search, Azure Databricks Recent experience with Open Surce technologies such Apache Spark, Hadoop, NoSQL, Kafka, Solr Experience with best practice design principles and approaches for a range of application styles and technologies to help guide and steer decisions. Experience working with structured and unstructured data including imaging & geospatial data. Experience working in a Dev/Ops environment with tools such as Chef, Puppet or Terraform Experience of motivating and managing team performance in delivering to agreed timelines  and you'll be able to provide evidence and examples of where you have demonstrated these skills in the past. If so, we'd love to speak with you. Additional Information Open to contract or permanent applications. This is an opportunity to join one of the biggest Big-Data Projects in the UK and join a growing Microsoft Azure Capability team  Suzanne Whelan,Version 1 Talent Acquisition Team Manager We are an equal opportunities employer. Please refer to our Diversity & Inclusion statement on the website."	"Southampton, Hampshire, UK"	"IT"	"Excellent rates or salary + profit share + benefits"	"Version1"	"Suzanne Whelan "	"JSSWBIGDATAARCHITECT1118"	"13/12/2018 13:50:34"	"http://www.jobserve.com/GjhLK"	"ASAP"	NA	"6mnths or perm"	NA
"Tableau Consultant - London - Data Science/Machine Learning"	"Up to £60k"	"London"	"Permanent"	"Tableau Consultant - London - Data Science/Machine Learning"	"London - Up to £60k"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Caspian one are currently looking for a Tableau Consultant for a large Data Science/Machine Learning/AI organisation based in Central London. The Client: Our Client captures data on projects - such as daily tasks, meeting notes, team sentiment, resource information and project progress - and use it to guide better decision-making. They do this by using machine learning, this enables them to predict the path of a project, helping teams to foresee issues, improve productivity and deliver efficiently. They are building a unique software package which integrates project management tooling with data science and analytics to support teams working on large change programmes to make better project decisions and predict upcoming issues through data insight, visualisation, predictive analytics and Real Time reporting. The Role: Our client is looking for a number of Tableau Consultants with at least 3 years of relevant experience to work their client teams to drive out analytical requirements through prototyping and visualization. The ideal candidate must have a passion for beautiful visualisation and data storytelling, and will have experience in the following: Developing reporting and data visualisations for clients in the form of advanced dashboards and workbooks. Understanding infrastructure requirements and best practices to support a Tableau deployment. Developing and documenting technical architecture, system design and other technical aspects. Be able to provide examples of producing impactful visualisations. Essential Skills: 3+ years of experience creating static and interactive visualizations, reports, and workbooks in Tableau. Ability to write SQL in order to pull, join, and aggregate data in order to create views for Tableau. Ability to work closely with users to understand the business purpose the report serves and identify/fix bugs. Self-starter and self-directed with some level of inquisitiveness to query and test results. Beneficial to have previous experience with QlikView. "	"London, UK"	"IT"	"Up to £60k"	"Caspian One Ltd"	"Nathan Keighley "	"JSNK8604"	"10/12/2018 08:03:40"	"http://www.jobserve.com/Gj84b"	"ASAP"	NA	NA	NA
"Product Owner HR People Data Science Manager Finance London"	"£70k - £95k per annum + 25% Bonus + 10% Pension"	"London"	"Permanent"	"Product Owner HR People Data Science Manager Finance London"	"London - £70k - £95k per annum + 25% Bonus + 10% Pension"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Product Manager (HR People Data Analytics MI Management Information BI Business Intelligence Product Manager Business Analyst Owner Finance Banking Data Science Artificial Intelligence Contract) required by our banking client in London.You MUST have the following experience:Product Owner/Product Manager/Lead Business Analyst for HR People Data Analytics in a corporate organisationExtensive experience gathering requirements for and dictating the strategy for HR Analytics tools, dashboards and reporting applicationsA thorough understanding of data science techniques and capabilitiesA keen interest and demonstrable activity in keeping up to date with the data science and artificial intelligence communityThe following is DESIRABLE, not essential:Delivery of HR data/MI/BI solutions to more than one corporate institutionBanking or financeRole: Product Manager (HR People Data Analytics MI Management Information BI Business Intelligence Product Manager Business Analyst Owner Finance Banking Data Science Artificial Intelligence Contract) required by our banking client in London. You will be assigned to a team of 11 Data Analysts and Engineers that create HR/People metrics for 2000 staff. The team has already created a series of dashboards and data science solutions to report on diversity, headcount and attrition. You will join the team to engage with senior stakeholders from the business and HR executive committee to generate a road map for the solutions in this area. You will bring your own experience in HR/People Analytics and knowledge of data science and artificial intelligence (AI).Experience in banking is not required, making this an excellent opportunity to enter into the sector. The ideal candidate would have delivered comparable solutions to a number of different corporate organisations.This role is not technical, however, you will have strong experience working with Business Intelligence developers, MI and data analysts. Of fundamental importance, is the ability to collaborate and work with the business to understand their needs and educate them on the capabilities of the data science space.Salary: £70k - £95k + 25% Bonus + 10% Pension"	"London, UK"	"IT, Finance, HR"	"£70k - £95k per annum + 25% Bonus + 10% Pension"	"Joseph Harry Ltd"	"Anthony Russell "	"JS-HRPO"	"10/12/2018 09:47:09"	"http://www.jobserve.com/Gmgmy"	"ASAP"	NA	NA	NA
"Data Science Engineer"	"£350.00 - £500.00 per Day"	"Glasgow, Scotland"	"Contract"	"Data Science Engineer"	"Glasgow, Scotland - £350.00 - £500.00 per Day"	"Contract"	"Posted: Wednesday, 12 December 2018"	""	"Data Scientist - 6 month contract - Glasgow Your new role  The organisation is looking for a Data Scientist to work closely alongside the executives, developers and other data experts to solve complex business matters for its clients. The successful candidate will be working with raw data to discover hidden information to deliver smarter decisions and better services to the users. You will have effective communication and presentation skills as you will be delivering results to internal and external stakeholders. The successful candidate must have strong statistical programming experienceWhat you'll need to succeed  A successful Data Scientist candidate will have the following skills and experience:Experience with Python or R4 years + experienceDegree in Computer science, Mathematics, Physics or equivalentExperience in statistical modelling, machine learning, data miningPresenting findings to a non-technical audience What you need to do now If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now.Hays Specialist Recruitment Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the T&C's, Privacy Policy and Disclaimers which can be found on our website."	"Glasgow, Scotland, UK"	"IT"	"£350.00 - £500.00 per Day"	"Hays Specialist Recruitment"	"Hannah Cromwell "	"JS-3488897"	"12/12/2018 11:53:00"	"http://www.jobserve.com/Gm6Hf"	NA	NA	NA	NA
"Advanced Analytics AI Engineer - Computer Vision - Data Science"	""	"London"	"Contract"	"Advanced Analytics AI Engineer - Computer Vision - Data Science"	"London"	"Contract"	"Posted: Monday, 10 December 2018"	""	"World Leading Global Energy Company has an exciting opportunity for an AI Engineer to support the Data engineer team lead in building a platform to train and fine tune deep learning algorithms developed by the data scientist team.The role is focused on building AR/VR applications to use in computer vision projects, within the Advanced Analytics Centre of Excellence.The environment is similar to a start-up, with rapid and agile development of POCs, scaled-up when appropriate. About the Role:- Build and Develop platforms based on Deep learning- Leverage Big Data skills such as Spark in building a data platform- Assure the quality of the delivery of advanced analytics PoCs - Develop products that can be easily scaled, replicated and reused- Understand current state-of-the-art, developments and practical applications of latest technology in the industry, technology vendors, academia and open source libraries to ensure that POCs are both leveraging the best algorithms and technology solutions and are grounded in what is realistically achievable.- Partner and instill learnings and best practice across the Digital organisationAbout You:- Hands on developer with a strong Java/Scala background- .NET/C# experience is highly preferred- An appreciation of Computer/Machine Vision - Able to write clean, elegant and maintainable production-level code- Support Requirement Definition enhancements- Deep experience in developing Big Data solution, using standard open source frameworks, toolkits and libraries - Developing solution using Spark and Databricks- Developing solution deployed on edge devices/Servers - Developing AR application using unity3d for Hololens- Solid experience in developing cloud solutions using AWS - Able to learn new skills and nurture new capabilities in your project teams to take advantage of emerging Big Data technologies- Lead proof-of-concept activities to demonstrate new technologies and approaches- Work with the ecosystem of partners and academics to derive the most value for the organisation and specific learning for your team- You will proactively set-up meetings, one-on-one sessions and events that help create change and improvement- You will transfer your knowledge and enthuse team members to try new approaches and techniquesMust have Skills:- Hadoop based big data frameworks- Spark- One of Programming Languages - Scala, Python- RDBMS with SQL Server preferred- No SQL and in-memory databasesDesirable Skills:- Machine Vision experience - Visualization tools (Spotfire, PowerBI)- OpenCV- Understanding of CNN in deep learning - Source control using GIT/VSTS- Cloud tech (AWS/Azure)- Rest API using Python/Scala - Alteryx- MatlabWe believe in equality of opportunity for all job applicants regardless of gender, marital status, race, colour, nationality, ethnic origin, creed or religion, disability, sexual orientation or age.Specialising within Energy Trading, Oil & Gas, Financial Markets and TV & Entertainment, Eaglecliff Recruitment is ISO accredited, a Member of REC and listed within the top 4% for Financial stability by Dun & Bradstreet. Please telephone for an immediate response or email your CV for a reply within one hour. Eaglecliff Ltd is acting in the capacity of an employment agency for permanent recruitment and an employment business for contractor resourcing."	"London, UK"	"IT"	NA	"Eaglecliff Recruitment"	"Hannah Kelly "	"JS-17774"	"10/12/2018 20:37:27"	"http://www.jobserve.com/GmmnK"	NA	NA	"9 months"	NA
"Lead Data Analyst"	"up to £75k"	"London"	"Permanent"	"Lead Data Analyst"	"London - up to £75k"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Data Analyst/Data Science/Python/SQL  My client, a well known organisation based in London is currently looking for a Lead Data Analyst to join them ASAP.  The role will develop into leading a small team of Data Analysts, as well as provide great exposure into the world of Data Science, ML and AI. As a Lead DA you will be responsible for providing the information and insight to enable data led decisions within the organisation.  The successful candidate must have solid experience in: - Senior stakeholder management - SQL  - knowledge of relational and non-relational data sources - basic data visualisation skills  - exposure to Python - exposure to cloud infrastructure including AWS Please respond with an up to date CV for further information."	"London, UK"	"IT, Consulting"	"up to £75k"	"Amery Chase"	"Marta Smith "	"JS1093LDA"	"10/12/2018 09:17:58"	"http://www.jobserve.com/GmgWp"	"ASAP"	NA	NA	"Graduate"
"Computer Vision Engineer"	"£40k - £55k per annum + Benefits"	"Oxford, Oxfordshire"	"Permanent"	"Computer Vision Engineer"	"Oxford, Oxfordshire - £40k - £55k per annum + Benefits"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"Computer Vision Engineer - Data Science, Machine Learning, MatlabOxfordshire - Oxford£40,000 - £55,000 per annum + benefits Our client are seeking a Computer Vision Engineer to join the team based in Oxford. Due to the successful growth and investment in the business the company is looking to expand its Computer Vision team which plays an integral part in developing machine vision algorithms. As part of the Data Scinece team you will be working with cutting edge computer vision technologies in an established team who pride themselves working at the forefront of technology.The successful Data Scientist is likely have a relevant PHD in Computer Vision, Data Science, Physics or equivalent and have experience working in with data, software or mathematical modelling in the following areas;Key ExperienceComputer visionData ScienceMachine Vision/LearningAlgorithm developmentBig DataMatlabExperience in the following areas would be advantageous;Experience with neural networks or deep learningDevelopment experience with C++ or C#Version control software ie Git, SVN etc.If you are looking to work for an exciting high-tech company working where you will pay a pivotal part in contributing to technically demanding projects then please send your CV for immediate consideration to (see below) or call.Keywords: Data Scientist, Data Science, Data Analysis, Matlab, R, Image Processing, Computer Vision, Octave, Big Data, PHD, Algorithm Development, Machine Learning, Machine vision, AI, Oxford, Oxfordshire."	"Oxford, Oxfordshire, UK"	"IT"	"£40k - £55k per annum + Benefits"	"Spectrum IT Recruitment (South) Ltd"	"Philip Meehan "	"JS-PM.CV.OX2"	"12/12/2018 16:42:51"	"http://www.jobserve.com/Gm9aV"	NA	NA	NA	NA
