"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"duration"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"company_summary"	"start_date"	"category"
"Data Scientist - Datamodelling/Supply Chain/Cloud"	"Market rates"	"Surrey"	"Contract"	"Data Scientist - Datamodelling/Supply Chain/Cloud"	"Surrey - Market rates"	"Contract"	"Posted: Wednesday, 12 December 2018"	""	"Data Scientist - Datamodelling/Supply Chain/CloudMy London based client is looking for an accomplished Data Scientist to join their Data Science Centre of Excellence team. You will be responsible for building data science and analytics as a core capability to help the business become data intelligent and drive the business and organization performance. The Data Scientist will deliver advanced products at scale and work closely with the market teams to ensure that decisions are augmented with insight. This is an exciting new role in the Data Science Centre of Excellence team, which is tasked to deliver Intelligent systems at scale. *Powering Business (cross functional) and Customer Development area through data and analytics. Building out the right applications to enable business teams to move faster, with more accuracy*Work with leading geographies to create analytics products that make a significant impact on the business *Drive assisted and predictive decision-making. The future is about assisted decision-making with machines (AI/Cognitive Computing/Machine Learning) unlocking the insights from the vast deluge of consumer, customer & internal data, and presenting this in a way that is simple to understand. *Gather data and build machine learning models to solve advanced forecasting problems requiring predictive and/or prescriptive analytics Essential:*Machine learning forecasting/Statistical modelling *Supply chain Optimisation *Optimisation tools*Manipulating multi-source data *Python/R coding *Cloud architecture (preferably MS Azure) *Simulation packages eg Anylogic *Distributed computing (Hadoop, Spark) Working Knowledge *Project Management/Experience managing projects from start to finish*Prior work experience in a data science role with significant focus on Supply Chain applications *Experience working with software development teams to convert modelling approaches into scalable tools *A Passion for empirical research and for answering hard questions with data *Ability to apply an agile analytic approach that allows for results at varying levels of precision*Ability to communicate complex quantitative insights in a precise, and actionable manner to business leadersClick Apply now/Contact Lianne to be considered for the Data Scientist role "	"Surrey, UK"	"IT"	"6 months"	"Market rates"	"Gibbs Hybrid"	"Lianne Rouissi "	"JS-LRRDS"	"12/12/2018 18:04:52"	"http://www.jobserve.com/GnAsm"	"About Gibbs Hybridwww.gibbshybrid.comGibbs Hybrid Gibbs Hybrid is an International people-powered business, providing Programme Technology Solutions, Total Talent Management Services and Outsourcing as a Service. We offer our innovative blended models to help improve our clients’ People, Technology, Process and Delivery Challenges.Headquartered in the UK, Gibbs Hybrid has offices across Ireland, Poland, Luxembourg, US and Canada.  We are a tier one partner, privately held and a globally certified Woman-owned Business Enterprise (WBE) & Ethnic Minority Owned Business (EMB). Our passion is to be the most respected and trusted partner and our philosophy is centred round Innovation, Customer Centricity, Expert Execution.Passionate about people and passionate about making a difference. "	NA	NA
"Data Scientist - £80,000 - Shoreditch"	"£70k - £80k per annum"	"London"	"Permanent"	"Data Scientist - £80,000 - Shoreditch"	"London - £70k - £80k per annum"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Data Scientist - £80,000 - ShoreditchAre you an experienced data scientist looking to join an innovative, fully finded start-up that are making real changes to a growing industry? Do you want to work with next generation software using leading cutting edge techniques?You will be:Helping them become a data driven organisation! The work will be a mixture of research and data mining through to implementing and continuously improving their algorithms with the Engineering team. You will be able to see real business benefit and growth from each initiative/delivery.You will need:Previous practical experience training machine learning models using a framework such as SciKitLearn, Tensorflow or similarProven delivery and deployment of ML framework and implementation in a production environment, including building pipelinesStrong working experience in Python (SciPy)SQL and not being afraid of analysing real-world messy data.Knowledge of visualisation toolsExperience using a range of Statistical Modelling and/or Machine learning techniques (Regression, Clustering, Decision Trees) and Model Selection (eg Cross validation, AIC)"	"London, UK"	"IT"	NA	"£70k - £80k per annum"	"Harvey Nash IT Recruitment UK"	"Evie Orros "	"JS-349404/001"	"10/12/2018 18:39:42"	"http://www.jobserve.com/GmlNH"	"About Harvey Nash IT Recruitment UKwww.harveynash.comWelcome to Harvey Nash, a global professional recruitment consultancy and IT outsourcing service provider.We cover roles that include .net, Java, PHP, Perl, Business Analysts, Project Managers, HR, development, infrastructure, risk, support, software engineers, C# and C++ amongst others.We operate from over 40 offices covering the USA, Europe and Asia. Our talented professionals pursue the highest levels of integrity and quality in providing a unique portfolio of services: executive search, interim management, IT and finance recruitment and IT outsourcing."	NA	NA
"Data Scientist"	"£50k - £70k per annum"	"London"	"Permanent"	"Data Scientist"	"London - £50k - £70k per annum"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Data Scientist sought by innovative delivery firm working with next generation software.Essential experience required:Strong working experience in Python Experience using a range of Statistical Modelling and/or Machine learning techniques (Regression, Clustering, Decision Trees) and Model Selection (eg Cross validation, AIC)Practical experience training machine learning models using framework such as TensorFlow.Proven delivery and deployment of ML framework and implementation in a production environment.Key Responsibilities:Combining route planning, mapping, capacity management and prediction to make Real Time decisions that will maximise profit and functionality. Helping the company become a data driven organisation. Data mining, research and implementing and growing the algorithms with the Engineering team.Please apply within for further details or call.Jack NelsonHarvey Nash - Finance and Banking"	"London, UK"	"IT"	NA	"£50k - £70k per annum"	"Harvey Nash IT Recruitment UK"	"Jack Nelson "	"JS-353179/001"	"11/12/2018 12:15:11"	"http://www.jobserve.com/GmuAN"	"About Harvey Nash IT Recruitment UKwww.harveynash.comWelcome to Harvey Nash, a global professional recruitment consultancy and IT outsourcing service provider.We cover roles that include .net, Java, PHP, Perl, Business Analysts, Project Managers, HR, development, infrastructure, risk, support, software engineers, C# and C++ amongst others.We operate from over 40 offices covering the USA, Europe and Asia. Our talented professionals pursue the highest levels of integrity and quality in providing a unique portfolio of services: executive search, interim management, IT and finance recruitment and IT outsourcing."	NA	NA
"Data Scientist - World class team in Manchester"	"£30k - £45k per annum + Share Options & Bonus"	"Manchester"	"Permanent"	"Data Scientist - World class team in Manchester"	"Manchester - £30k - £45k per annum + Share Options & Bonus"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Data Scientist needed by a genuinely world class team in the heart of Manchester, building a first of its kind AI product. This is a unique opportunity to join a growing organisation who have been one of Manchester's biggest success stories in the last few years. They are constantly striving to improve, hiring some of the best people in the UK across the business, whilst fiercely guarding their culture.You: You will ideally be either a Data Scientist at the moment or someone coming from a highly numerical background doing something an MSc or PhD.The team appreciate that if you can solve complex problems, deal with complex data sets and turn that information into something actionable - you can become a top Data Scientist. From a technical perspective, ideally you will have experience (commercial or academic) of most of the following: * Machine Learning/Data Mining/Natural Language Processing (NLP)/Neural Networks/Deep Learning* Statistical Packages or Languages such as: R, SPSS, SAS, S-Plus, Python, MATLAB and STATA* RDBMS - Open Source, NoSQL and any knowledge of SQL Server* Any understanding or previous knowledge of: Markov Models, Cluster Analysis, Statistics and Reliability Models* Big Data tools such as: Hadoop/Pig/Hive/HBase/Cassandra/Spark/SplunkThe Role:As you will be working for a Data Analytics company, technical & mathematical problems are par for the course. You will be dealing with a mix of clients from global FTSE 100 organisations to local companies so will need to be able to communicate with them at both a technical and non-technical level. One of the reasons they have been so successful is the attention to detail and understanding of their customers exact problem.One of the biggest areas for our client is the desire to continue your professional development, keeping abreast of the ever-changing world of data, attending meet-ups, experimenting with new techniques/technologies and generally immersing yourself in all things data science.If you're on the lookout for a big pay day, or to work in a behemoth organisation where you'll be a small cog in a big wheel, this is definitely not the role for you.However, if you are ambitious and up for a challenge - it could be perfect.The Company:A genuine North West success story, you will be joining an organisation who have really exploded onto the scene in the last couple of years and have helped solidify Manchester as a genuine tech Powerhouse.With a stellar leadership team, who are constantly pushing the boundaries and striving to achieve more, you will be working for an organisation that is trying to be one of the very best on the planet. With the way they are going - this will become a reality!They provide various data analytics solutions to customers across the country, from models for forecasting and sales pipelines, to entire end to end data science solutions - this team can do it all.Having already out-grown two offices, they have moved into a custom fit space in the heart of Manchester, which is easily one of the best spaces in Manchester (if not the whole country). Application & Interview Process:To apply for this role, click on the link below and feel free to get in touch with Liam at Cathcart Associates for a more detailed chat.The interview process for this role is an informal chat with one of the Lead Data Scientists, followed by a more in-depth technical chat with the Director of Data Science and a final cultural chat with the CEO, who is still very much hands on when it comes to building the team."	"Manchester, UK"	"IT"	NA	"£30k - £45k per annum + Share Options & Bonus"	"Cathcart Associates Limited"	"Liam Wilson "	"JS-VR/20250"	"07/12/2018 16:14:26"	"http://www.jobserve.com/Gl6ZW"	"About Cathcart Associates Limitedwww.cathcartassociates.comCathcart Associates is a market leading, independent IT / Technology consultancy offering permanent and contract services across Scotland and the North of England for all technical disciplines."	"ASAP"	NA
"Data Scientist"	"£50k - £65k per annum + Amazing benefits package!"	"City of London"	"Permanent"	"Data Scientist"	"City of London - £50k - £65k per annum + Amazing benefits package!"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"Data ScientistAbout The Private Equity CompanyFounded almost 20 years ago, this award-winning PE firm is one of the world's leading investors in private equity's secondary market. They provide liquidity solutions to PE investors worldwide and their most recent fund was closed with capital commitments of $7.15 billion and backing from 170 of the world's leading institutional investors.To stay ahead of the curve, the company has developed an advanced analytics platform that uses data insights to drive better investment decisions. They now need an additional Data Scientist to harness the latest research in Machine Learning and Data Science and build new analytical solutions to be actioned by the internal investment team.About The Data Scientist RoleAs a Data Scientist, you will have an exciting opportunity to develop both your technical and client servicing skills in an established financial services environment.Key Responsibilities for the Data Scientist:* Harnessing novel research and developing it into tools for the investment team* Using advanced statistical techniques to build forecasting, risk management and portfolio selection tools* Extracting trends and patterns from the data and discovering key automation opportunities from large noisy datasets* Communicating actionable insights to the investment team and senior management in an easily inferable way, able to explain complex concepts in layman termsAbout The Successful Data Scientist:If you have recently completed a PhD or MSc with a focus upon advanced statistics or quantitative finance etc, this could be the ideal next step in your career within an exciting, disruptive PE company.Desired Skills and Competencies of the Machine Learning specialist:* Expertise in Python and SQL* PhD/MSc in Mathematics/Statistics/Quantitative Finance/Economics/Econometrics/Computer Science* Commercial experience constructing statistical models and working with large datasets* Outstanding communication skillsThe successful Data Scientist will be offered a highly competitive salary paying £50,000-£65,000 depending on experience, along with excellent company benefits."	"City of London, UK"	"IT"	NA	"£50k - £65k per annum + Amazing benefits package!"	"Reuben Sinclair"	"James Dance "	"JS-JDDS"	"12/12/2018 16:55:50"	"http://www.jobserve.com/Gm9o2"	NA	"ASAP"	NA
"Data Scientist, Machine Learning Analyst, Advanced Analytics, Python, Data Engineering, AWS, London"	"£45k-£70k"	"London or Suffolk"	"Permanent"	"Data Scientist, Machine Learning Analyst, Advanced Analytics, Python, Data Engineering, AWS, London"	"London or Suffolk - £45k-£70k"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Data Scientist, Machine Learning Analyst, Advanced Analytics, Python, Data Engineering, AWS, London or Suffolk  Marshall Wolfe are putting together a first-class Data Team for one of our fastest growing clients within AI. The team encompasses a Data Architect, Data Engineer and Data Scientist. This opportunity is for an enthusiastic Data Scientist, predominantly a consultancy role, you'll be working across customers and multiple projects, therefore you will not be stuck on client sites all the time. You will be working with multiple sources of data within a really exciting, fast moving environment. Selection of Skills required: (you do not need all of the below but some exposure and keenness to learn is essential): Some exposure to Python, eg Jupyter notebooks (R skills can compensate here) Data ingestion/wrangling/engineering experience Able to communicate results clearly to clients - internally and externally Production ML model support Experience of recommender systems Experience of creating visualisations to explore the structure of datasets, eg t-SNE, PCA, using Matplotlib or equivalent Data mining experience Neural network experience NLP experience, eg word2vec Machine learning experience on client projects highly desirable but not essential, eg Use of scikit-learn or equivalent Using a number of algorithms for regression and classification and being able to explain the pros/cons of each approach Hyper-parameter tuning Model accuracy and comparison metrics "	"London or Suffolk, UK"	"IT"	NA	"£45k-£70k"	"Marshall Wolfe"	"Amber Hunt "	"JS/DATASCIENTIST/AH"	"11/12/2018 10:06:49"	"http://www.jobserve.com/GmtFQ"	NA	NA	NA
"Data Scientist - NLP/email categorisation - London"	"£500 to £600 per Day"	"London"	"Contract"	"Data Scientist - NLP/email categorisation - London"	"London - £500 to £600 per Day"	"Contract"	"Posted: Tuesday, 11 December 2018"	""	"Data Scientist - NLP/email categorisation - London My client a market leader in their field requires a Data Scientist with strong experience on NLP and email categorisation. You must have strong Python skills, with exposure to Hadoop, and AWS."	"London, UK"	"IT"	"1 month"	"£500 to £600 per Day"	"Technology Boutique Ltd"	"Paul Coppin "	"JSPC PLP"	"11/12/2018 12:03:08"	"http://www.jobserve.com/Gmt2j"	""	"ASAP"	NA
"Data Scientist"	"£450 - £600 per Day"	"Manchester"	"Contract"	"Data Scientist"	"Manchester - £450 - £600 per Day"	"Contract"	"Posted: Friday, 7 December 2018"	""	"Data Scientist TensorFlow | SQL | Python | R | MATLAB | SAS | AI | Machine Learning | Hadoop | Spark The Role A Data Scientist with experience with TensorFlow, SQL, Python, R, MATLAB, SAS, AI, Machine Learning, Hadoop and Spark environment experience is required for a 3 month contract (high chance of extension) in Manchester. The Successful candidate will be Analysing data patterns and identifying the statistical model as well as designing algorithms and systems to model the business problem. Data Scientist Requirements Experience working with different programming languages (Python, R and SQL) Big Data technologies Hadoop/Spark/Hive Experience with data science toolkits such as R, Weka, NumPy, MatLab or equivalent Experienced in statistical analysis environments such as R, MATLAB, SPSS or SAS Experienced in the use of TensorFlow and familiar with SQL, Python, Java and/or C/C++ Detailed understanding of machine learning (statistics and visualization) Understanding of algorithm design, development, optimization, scaling and application Ability to deliver actionable insights The Company The successful Data Scientist will be contracting in Manchester working with a digital Marketing Agency. Apply Now! If you are a Data Scientist with an excellent understanding of P TensorFlow, SQL, Python, R, MATLAB, SAS, AI, Machine Learning, Hadoop and Spark environment then apply now to avoid missing out. Interviews for this role will be commencing ASAP. To register your interest in time, please send your CV and apply now. Data Scientist Oscar Technology Limited is acting as an Employment Agency in relation to this vacancy. To understand more about what we do with your data please review our privacy policy."	"Manchester, UK"	"IT"	NA	"£450 - £600 per Day"	"Oscar Associates Ltd"	"Thomas Briggs "	"JS-TB 398DS"	"07/12/2018 15:54:18"	"http://www.jobserve.com/Gl6PX"	NA	NA	NA
"Data Scientist - BVD, World-Check, Legal Key"	"£400/£450 a day"	"East London"	"Contract"	"Data Scientist - BVD, World-Check, Legal Key"	"East London - £400/£450 a day"	"Contract"	"Posted: Tuesday, 11 December 2018"	""	"Data Scientist - BVD, World-Check, Legal Key - 12 month contract -London - £400/£450 a dayA new long term contract opportunity for data scientist to play an major role in the overall delivery and assessment of several key projects. Ideally you will have the following skill and experience in the following areas:*Our expectation is that the sanctions monitoring workstream will require data analysis/data science, statistics and record matching skills:*Experience with compliance databases such as BVD, Worldcheck, LegalKey, etc.*Experience with PEPs, sanctions and negative media screening.*Data matching: entity resolution, fuzzy matching, duplicate detection, etc.*Cloud computingIt would be great if you had aSolid understanding of UK and European money laundering regulations, initiatives and directives and exposure to anti financial-crime work within a UK-regulated bank and proven experience of AML/KYC requirements.Please apply with latest CV or call for more details. People Source Consulting Ltd is acting as an Employment Business in relation to this vacancy.People Source specialise in technology recruitment across niche markets including Information Technology, Digital TV, Digital Marketing, Project and Programme Management, SAP, Digital and Consumer Electronics, Air Traffic Management, Management Consultancy, Business Intelligence, Manufacturing, Telecoms, Public Sector, Healthcare, Finance and Oil & Gas."	"East London, UK"	"IT"	"12 months"	"£400/£450 a day"	"People Source Consulting Ltd"	"Andrew Pryce Jones "	"JS-APJ DSS"	"11/12/2018 16:22:02"	"http://www.jobserve.com/GmvGm"	NA	"Feb 2019"	"Public Sector"
"Data Scientist"	"Up to £535/Day"	"London"	"Contract"	"Data Scientist"	"London - Up to £535/Day"	"Contract"	"Posted: Tuesday, 11 December 2018"	""	"DATA SCIENTIST, FINANCIAL CONDUCT AUTHORITY, UP TO £535/DAY Role/Reference: Data Scientist/DOS8536 Client: Financial Conduct Authority Assignment Location: London E20 1JN Rate: £535/day Contract Length: 12-24 months (initially 3 months) Deadline for submissions: 24/12/2018 at 12:00 Security Clearance Required: You must be willing to undergo BPSS Disclosure Scotland - Basic Check clearance Required Start Date: 07/02/2019 Working Arrangements: Team will be expected to work on-site using FCA IT with occasional visits to third party collaborators where required. FCA work day is 7 hours (excluding 1 hour lunch break) no weekend work is required. The FCA does not pay expenses unless in exceptional circumstances and only in so far as it aligns with the FCA employee expenses policy. Role SummaryPhase 1 = 3 pilot projects relating to financial crime: Support Pilot/POC build of a customizable transactions data simulator, initially for creating a specific type of transaction. Create taxonomy & database of data (internal and external) to identify firm risk. Customisation tool to generate data, testing sanction screening tools. The FCA is running a number of pilots on the use of data science focused on assessing firm effectiveness at detecting financial crime. This role is for a Data Scientist to create a customisable tool to generate data with which to test sanctions screening tools Essential Skills & Experience Our expectation is that the sanctions monitoring workstream will require data analysis/data science, statistics and record matching skills: Experience with compliance databases such as BVD, Worldcheck, LegalKey, etc. Experience with PEPs, sanctions and negative media screening. Data matching: entity resolution, fuzzy matching, duplicate detection, etc. Cloud computing Desirable Skills & Experience Our expectation is that the sanctions monitoring workstream will require data analysis/data science, statistics and record matching skills: Solid understanding of UK and European money laundering regulations, initiatives and directives Exposure to anti financial-crime work within a UK-regulated bank and proven experience of AML/KYC requirements. Experience collaborating with 3rd party vendors "	"London, UK"	"IT"	"12-24 months"	"Up to £535/Day"	"Quast Ltd"	"Tony Burton"	"JSDOS8536"	"11/12/2018 11:15:06"	"http://www.jobserve.com/GmtkE"	NA	"ASAP"	"Public Sector"
