"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"category"	"duration"
"Digital Project Manager - Events"	"£50k - £60k per annum"	"West Sussex"	"Permanent"	"Digital Project Manager - Events"	"West Sussex - £50k - £60k per annum"	"Permanent"	"Posted: Wednesday, 5 December 2018"	""	"Digital Project Manager - EventsMy Sussex based client are currently looking for a Digital project Manager.Their business is one of the most established within the UK and they have been running successful business events such as award shows, conferences and gala dinners for many years now.Ideally they are looking for a Digital Project Manager who has experience within the events industry. You should have knowledge of various events platforms so you will preferably come from an events agency or publisher.You should have experience of managing the digital side of events, for example setting up the software needed for event ticket sales. Also developing sites to promote these events.On top of this you will be creating business cases, requirement specifications and complex project plans.Another aspect of the role will be to look at the current platforms they have in place and making sure that they are still fit for purpose and if not implement new software with the help of the development team.If you feel you have the right skills and background please apply. In accordance with the Employment Agencies and Employment Businesses Regulations 2003, this position is advertised based upon DGH Recruitment Limited having first sought approval of its client to find candidates for this position.DGH Recruitment Limited acts as both an Employment Agency and Employment Business"	"West Sussex, UK"	"IT"	"ASAP"	"£50k - £60k per annum"	"DGH Recruitment Ltd."	"Andy Briault "	"JS-AB-13231"	"05/12/2018 13:46:16"	"http://www.jobserve.com/GlnrH"	NA	NA
"Digital Project Manager - eCommerce"	"£50k + bonus & benefits"	"Chertsey Surrey"	"Permanent"	"Digital Project Manager - eCommerce"	"Chertsey Surrey - £50k + bonus & benefits"	"Permanent"	"Posted: Thursday, 29 November 2018"	""	"Digital Project Manager - eCommerce Our client a global leading technology organisation is currently looking for a Digital Project Manager. The Project Manager a key member of the PMO team will work closely with the Online Experience team, E-commerce platform partners, internal support teams and relevant third parties, to deliver projects that are part of the Online Experience strategy. Reporting to the Digital Programme Manager, the Digital Project Manager will work with the Business Analysts and the Support team to deliver key projects prioritised on the roadmap, and will be involved in various different work streams. Essential - Project management experience in an digital or E-commerce environment A high level of Business Intelligence and strong project management skills. Ability to organize project work effectively, reprioritize as new demands/changes arise Exceptionally detail-oriented with strong organisational and communication skills Proven experience across a range of E-commerce technologies and platforms (Hybris experience desirable) - 3rd party integrations Understanding and experience in E-commerce, web technology, and infrastructure Knowledge of corporate global ERP systems (SAP experience desirable) Knowledge of MS Office Tools (Visio, Outlook, Word, PowerPoint, Excel) Experience of software development tools, such as Jira and Confluence "	"Chertsey Surrey, UK"	"IT"	NA	"£50k + bonus & benefits"	"MLR Associates"	"Scott Marcoons "	"JS/ECOMM/002"	"29/11/2018 14:56:15"	"http://www.jobserve.com/GkQzM"	NA	NA
"Digital Project Manager"	""	"Leeds"	"Permanent"	"Digital Project Manager"	"Leeds"	"Permanent"	"Posted: Thursday, 29 November 2018"	""	"Digital Project Manager LeedsThis Digital Consultancy based in Leeds City Centre are looking to hire a Project Manager to deliver customer facing software application projects for its customer base. Working in a Digital Agency environment you will be a key liaison between the company and its customers, where you will manage projects through the full life cycle.Key responsibilities of the Project Manager:*Delivery deadlines and milestone management - time and resource.*Task management and prioritisation - JIRA and other internal software packages.*Scope change management - client and internal team requests.*Budget Management - associated project and delivery costs.*Primary customer communications contact - support for project duration and beyond.*Attend meetings to support the sales teams - scope and delivery detail.*Customer needs analysis management - keeping to the original project specificationsKey skills and experience:*Project management experience with Jira familiarity.*Experience of project managing complex software or Digital projects.*Demonstrable knowledge of programme and project management techniques and governance processes.*Experience of stakeholder management and managing on-going customer communication.*Knowledge of website and mobile app development.As a Project Manager you will play a key role in increasing the companies output and maintaining their excellent reputation for delivery. If you have the skills and experience required then please apply.Project Manager - Software Applications, DigitalSpring acts as an employment agency for permanent recruitment and an employment business for the supply of temporary workers. The Spring Group UK is an Equal Opportunities Employer.By applying for this role your details will be submitted to Spring. Our Candidate Privacy Information Statement explains how we will use your information "	"Leeds, UK"	"IT"	"ASAP"	NA	"Spring Technology"	"James Holmes "	"JS-7457/L"	"29/11/2018 14:13:22"	"http://www.jobserve.com/GkjDu"	NA	NA
"Digital Project Manager - B2B, eCommerce, Agile"	"£65k-£70k"	"London"	"Permanent"	"Digital Project Manager - B2B, eCommerce, Agile"	"London - £65k-£70k"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Digital Project Manager - B2B, eCommerce, Agile A leading Financial Service client of mine is currently looking for a Digital Project manager to manage a number of Greenfield Digital Initiatives. We are ideally looking for a Digital Project manager who has managed Business to Business eCommerce projects end-to-end, preferably within the Insurance industry. Key Skills: Digital/eCommerce Project Management Full Project Lifecycle experience Agile Delivery experience eCommerce Delivery Online Business-to-Business platforms Insurance experience - preferable If you have all of the required skills, please apply. Successful candidates will be contacted within 3 working days. Digital Project Manager - B2B, eCommerce, Agile"	"London, UK"	"IT"	"ASAP"	"£65k-£70k"	"William Alexander Recruitment Ltd"	"Jamie Bevan"	"JSJBDIGITALPM4725"	"30/11/2018 17:25:22"	"http://www.jobserve.com/GkkAj"	NA	NA
"Digital Project Manager Agile Marketing Web Finance London"	"£75k - £95k per annum + 20% Bonus + 10% Pension"	"London"	"Permanent"	"Digital Project Manager Agile Marketing Web Finance London"	"London - £75k - £95k per annum + 20% Bonus + 10% Pension"	"Permanent"	"Posted: Thursday, 29 November 2018"	""	"Digital Project Manager (Scrum Master Digital Distribution Sales Marketing eMarketing SEO Campaign Project Manager AWS Agile Adobe Cloud Asset Management Finance Banking) required by our asset management client in London.You MUST have the following:Current experience as a digital project manager or scum master within a highly regulated environment (ideally financial services such as banking, asset management or wealth management)Experience coordinating the delivery of digital projects from inception to delivery/go-liveGood knowledge of digital marketing- such as delivery of client-facing websites, contribution to marketing campaigns, email marketing, social media, SEO, digital asset managementExperience delivering technical projects with cross-functional development Scrum teamsExcellent ability to collaborate with the business, provide status reports and manage stakeholders on corporate-scale, complex projectsExcellent understanding of Agile methodologiesThe following is DESIRABLE, not essential:PRINCE2 certificationBanking, wealth management or asset managementExperience delivering Adobe AEM, Apigee, client reporting, sales technology related projectsAgile Scrum Master certifiedDelivery of AWS projectsRole: Digital Project Manager (Scrum Master Digital Distribution Sales Marketing eMarketing Agile Adobe AWS Cloud Finance Banking) required by our asset management client London. This role sits in the Digital team which looks after the company's client facing technology over web, tablet, mobile and email. You will be assigned to a number of the following over the next 12 months- implementation of a Client Reporting System, extracting the Legacy system and integrating the new reporting system with the rest of the application infrastructure; and an Adobe AEM upgrade from v5 to the cloud on v6; the transformation of a number of websites globally; Apigee implementation; and client data work. Delivery of complex corporate digital marketing projects, therefore, is essential. Exposure to website delivery, digital marketing campaigns (emarketing), email marketing, social media, SEO, digital asset management is all highly desirable.In this role, you will be working with Scrum teams of 3-7, comprising developers and business analysts. You will manage the projects from inception to completion, often with several projects running simultaneously. An excellent understanding of Agile methodologies is essential. This will mean you are working with the team daily to drive delivery whilst keeping in sight the longer term strategy. You will have full responsibility of the project's budget and time management; this may extend further to application management where you develop the strategy budgeting of the applications, reporting on this to senior management. You will have an excellent technical understanding and be able to communicate effectively with developers and stakeholders. This is an excellent opportunity to gain experience in a financial institution as financial experience is not essential. The company are investing heavily into their London tech department and are one year into an ambitious three year AWS migration initiative. Working hours are 9am-5pm.Salary: £75k - 95k + 20% Bonus + 10% Pension For information about what Personal Data we hold and your rights, please refer to our Privacy Policy."	"London, UK"	"IT, Finance, Sales and Marketing"	"ASAP"	"£75k - £95k per annum + 20% Bonus + 10% Pension"	"Joseph Harry Ltd"	"Anthony Russell "	"JS-DIGPM"	"29/11/2018 09:15:31"	"http://www.jobserve.com/GkgYm"	"Executive"	NA
"Digital Project Manager - eCommerce"	"£400-£450 pd"	"Chertsey Surrey"	"Contract/Permanent"	"Digital Project Manager - eCommerce"	"Chertsey Surrey - £400-£450 pd"	"Contract/Permanent"	"Posted: Thursday, 29 November 2018"	""	"Digital Project Manager - eCommerce Our client a global leading technology organisation is currently looking for a Digital Project Manager. The Project Manager a key member of the PMO team will work closely with the Online Experience team, E-commerce platform partners, internal support teams and relevant third parties, to deliver projects that are part of the Online Experience strategy. Reporting to the Digital Programme Manager, the Digital Project Manager will work with the Business Analysts and the Support team to deliver key projects prioritised on the roadmap, and will be involved in various different work streams. Essential - Project management experience in an digital or E-commerce environment A high level of Business Intelligence and strong project management skills. Ability to organize project work effectively, reprioritize as new demands/changes arise Exceptionally detail-oriented with strong organisational and communication skills Proven experience across a range of E-commerce technologies and platforms (Hybris experience desirable) - 3rd party integrations Understanding and experience in E-commerce, web technology, and infrastructure Knowledge of corporate global ERP systems (SAP experience desirable) Knowledge of MS Office Tools (Visio, Outlook, Word, PowerPoint, Excel) Experience of software development tools, such as Jira and Confluence "	"Chertsey Surrey, UK"	"IT"	"1-4 weeks flexible"	"£400-£450 pd"	"MLR Associates"	"Scott Marcoons "	"JS/ECOMM/002"	"29/11/2018 14:56:08"	"http://www.jobserve.com/GjfaJ"	NA	"9 month initial contract"
"Digital Project Manager - eCommerce"	"£400-£450 pd"	"Chertsey Surrey"	"Contract"	"Digital Project Manager - eCommerce"	"Chertsey Surrey - £400-£450 pd"	"Contract"	"Posted: Monday, 3 December 2018"	""	"Digital Project Manager - eCommerce Our client a global leading technology organisation is currently looking for a Digital Project Manager. The Project Manager a key member of the PMO team will work closely with the Online Experience team, E-commerce platform partners, internal support teams and relevant third parties, to deliver projects that are part of the Online Experience strategy. Reporting to the Digital Programme Manager, the Digital Project Manager will work with the Business Analysts and the Support team to deliver key projects prioritised on the roadmap, and will be involved in various different work streams. Essential - Project management experience in an digital or E-commerce environment A high level of Business Intelligence and strong project management skills. Ability to organize project work effectively, reprioritize as new demands/changes arise Exceptionally detail-oriented with strong organisational and communication skills Proven experience across a range of E-commerce technologies and platforms (Hybris experience desirable) - 3rd party integrations Understanding and experience in E-commerce, web technology, and infrastructure Knowledge of corporate global ERP systems (SAP experience desirable) Knowledge of MS Office Tools (Visio, Outlook, Word, PowerPoint, Excel) Experience of software development tools, such as Jira and Confluence "	"Chertsey Surrey, UK"	"IT"	NA	"£400-£450 pd"	"MLR Associates"	"Scott Marcoons "	"JS/ECOMM/002"	"03/12/2018 13:17:19"	"http://www.jobserve.com/GlPJW"	NA	"9 month initial contract"
"Digital Project Manager"	"DOE"	"Crawley"	"Permanent"	"Digital Project Manager"	"Crawley - DOE"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"Digital Project Manager William Reed are recruiting for a Digital Project Manager to work across a range of projects in the events area of our business. We host award ceremonies, conferences, exhibitions and more in the UK and internationally. We're now looking for a talented Project Manager to join us who can manage the digital elements of these events - such as setting up software for event ticket sales/event entries and helping with developing marketing sites to promote events. You will work on a range of projects including our event expansion into the Asian market and review of our current ticketing platform. Key Skills: Extensive digital project management experience with knowledge of event software/systems Analytical and logical thinker Exceptional organisational skills Ability to work effectively with numerous teams and manage stakeholder relationships Why should you apply? Our Digital Delivery team work on business critical projects and you'll be joining a team of highly knowledgeable individuals. You will also have the opportunity to work on international projects and work with a diverse cross section of stakeholders. Hours We are happy to consider someone on a full time basis or someone working 3-4 days per week. We will assess this on a candidate by candidate basis. If you're interested in applying please send your CV through to (see below) "	"Crawley, UK"	"Sales and Marketing, Media"	"ASAP"	"DOE"	"William Reed Business Media"	"Helen Murdoch "	"JS"	"04/12/2018 09:16:37"	"http://www.jobserve.com/GlYaj"	NA	NA
"Digital Project Manager: B2B Services: Off-Highway/Mining"	""	"West End, London"	"Contract"	"Digital Project Manager: B2B Services: Off-Highway/Mining"	"West End, London"	"Contract"	"Posted: Monday, 3 December 2018"	""	"Digital Project Manager: B2B Services: Off-Highway/Mining/ConstructionStart Date: ASAPDuration: 6 months InitiallyRate: Competitive/Dependent on ExperienceWorld Leading Global Energy Oil Company has an exciting opportunity for a Project Manager to work on a brand new greenfield product, which is part of a B2B Digital services hub, to manage a certain industrial workstream, responsible for developing new digital services in the off-highway sector (Mining/Construction/Agriculture).About you:- Certified Prince 2 Project Manager - ideally 6-8 years of experience- Ideally experienced in managing digital projects in Big Data/Data Analytics/IoT and/or in the B2B/Industrial automation/Automotive space- Used Agile methodology (very important) and running scrums- Understanding an industrial customer's operations is preferred- Strong communicator- Excellent writing skills- Stakeholder management, able to synthesise complex sets of data, motivate the team and keep them on taskThis needs combining with a positive attitude and an ability to work within a large, globally dispersed project team in a multi-cultural environment. You also need to be a self-starter, a logical thinker and a quick learner, with strong initiative and excellent communication, interpersonal and presentation skills, able to write clearly and concisely.We believe in equality of opportunity for all job applicants regardless of gender, marital status, race, colour, nationality, ethnic origin, creed or religion, disability, sexual orientation or age.Specialising within Energy Trading, Oil & Gas, Financial Markets and TV & Entertainment, Eaglecliff Recruitment is ISO accredited, a Member of REC and listed within the top 4% for Financial stability by Dun & Bradstreet. Please telephone for an immediate response or email your CV for a reply within one hour. Eaglecliff Ltd is acting in the capacity of an employment agency for permanent recruitment and an employment business for contractor resourcing."	"West End, London, UK"	"IT, Energy"	"ASAP"	NA	"Eaglecliff Recruitment"	"Chris Luche "	"JS-C2/17707"	"03/12/2018 08:00:24"	"http://www.jobserve.com/GlKqQ"	NA	"6 months"
"Digital Project Manager/Scrum Master - Website"	"£500 - £540 Per day"	"London"	"Contract"	"Digital Project Manager/Scrum Master - Website"	"London - £500 - £540 Per day"	"Contract"	"Posted: Thursday, 29 November 2018"	""	"Digital Project Manager/Scrum Master - Website6 months contractGBP 500 - GBP 540 per dayLondon basedThe role:To proactively lead the delivery of the strategic client Website Replacement project. Providing skilled project management controls including acting as the Scrum Master and Delivery Manager ensuring quality and a consistent delivery pace whilst owning, recording and escalating risk and issues in delivery to the Product Owner and senior stakeholders.Main duties & Responsibilities:Project ManagerManages the strategic client Website Replacement project, ensuring successful end-to-end delivery in terms of time, cost, quality and benefitsDevelops relationships with the project sponsor, product owner and stakeholders updating them of progress on a regular basis and ensuring delivery of the Product RoadmapWorks with internal stakeholders and third-party suppliers to influence and shape project delivery whilst maximising benefit to the organisation, ensuring alignment on scope, deliverables and measures of successBuilding and managing a multidisciplinary team, guiding them to produce timely work of a high standard, developing team members and their performance whilst managing conflict to support delivery of a successful projectIdentifies and uses innovative methods and approaches to resolve project and business issuesApplies the agreed project management standards, processes and tools to ensure a methodical and consistent approach, including assumptions, risk and issue registers, dependency and lessons learned logs, stakeholder communication plans, change registers, programme and project plans, and stage and financial control documentsManages project budgets and resources effectively to deliver value and quality whilst meeting deadlinesFacilitates and documents lessons learned reviews for the delivered project and makes recommendations to drive continuous improvementDelivers project documents to the required quality (clear, concise, complete, accurate, well written and with all relevant stakeholders demonstrably engaged), using approved guidelines and templatesCompletes project/programme status reporting in line with agreed standards, ensuring transparency and consistency across the portfolioEstablishes effective working relationships with colleagues at all levels including other transformation programme teams to ensure effective delivery of project tasks and productsScrum MasterAgile coaching: guiding the delivery team and organisation on how to use Agile/Scrum practices and values to delight customersOwnership of Agile Principles: coaching the team on agile principles: and helping to put these into practice, for example by suggesting trying hard stories first to fail fast, or by thinking ahead to what will be shown at Sprint Planning and ensuring working software is available for this by planning the Sprint effectivelyPlanning and Ceremonies: facilitating the ceremonies of Scrum (daily scrums, sprint planning, show-and-tell and retrospectives) and ensuring sprint plans and backlogs are reliable, practical, and achievable for the teamDaily planning and roles and responsibilities: guiding the team on how to get the most out of self-organisation and daily planning of roles and responsibilitiesDelivery management and planning: working with the Product Owner to ensure deliverability of the Product Roadmap, and advising on the technology best-practice approaches and methods to achieve the outcomes desired by the business. The Scrum Master will own the delivery of this on time and above customer expectation.Assessing and improving Delivery Maturity: Assessing the Scrum Maturity of the team and organisation and coaching the team to higher levels of maturity and thus efficiency, at a pace that is sustainable and comfortable for the team and organisationRisk and issue management: removing impediments or guiding the team to remove impediments by finding the right personnel and escalations; this will include being the owner of the RAID log for the Scrum, working closely with the Product Owner on thisOwning team building: building a trusting and safe environment where problems can be raised without fear of blame, retribution, or being judged, with an emphasis on healing and problem solvingProduct Owner support and education: supporting and educating the Product Owner, especially with respect to grooming and maintaining the product backlog; also supporting the Product Owner in roadmap development, ensuring that release management is effective, properly resourced and costed, and thus doesn't over-promise to the businessDelivery Efficiency: facilitating discussion, decision making, and conflict resolution around improving delivery efficiency and team working, especially through owning sprint retrospectives and ownership of improvement actions from the retrospectives. The Scrum Master will also measure delivery efficiency through managing and recording story points and burndown velocity, and will be in charge of making the work of the delivery team predictable and sustainable.Communications: assisting the Product Owner with internal and external communication, improving transparency, and radiating information to the business. The Scrum Master will be responsible for writing sprint and monthly reports, and for organising and facilitating show-and-tells and other communications ceremonies as necessary in collaboration with the Product Owner.Credibility as Servant Leader: providing all support to the team using a servant leadership style whenever possible, and leading by example, being seen by the business and development team as a credible person in respect to efficient product developmentBacklog maturity and fitness for purpose: while the backlog is formally owned by the Product Owner, the Scrum Master will facilitate Backlog Grooming sessions and help to \"translate\" the business backlog into technical delivery terms.Experience required: Essential Extensive experience in leading multifaceted website project deliveries within complex organisations, with budgets GBP 2MAn in-depth understanding of all aspects of website deployment and configuration, including content and UX workstreamsConfident in providing advice on website functionality (and associated products) and likely delivery limitations or risksComplex website integration/interface delivery experienceExperience of managing Matrix teamsStrong communication and stakeholder management skills (listening, influencing and persuasiveness), capable of dealing effectively with all levels of staffScrum Qualification, and/or experience of managing products in Agile Scrum, or Scrum-related agile methodologies, as a scrum master or equivalent development team coachTalented facilitator and coach, with wide experience of methodological implementation in traditional IT departments or waterfall businesses.Knowledge of agile metrics and objects, such as tasks, backlog tracking, burndown metrics, velocity, user storiesKnowledge of MS Office suite to intermediate level including M"	"London, UK"	"IT"	"ASAP"	"£500 - £540 Per day"	"Juice Resource Solutions Limited"	"Nick White "	"JSNW/DPM/29112018"	"29/11/2018 18:08:33"	"http://www.jobserve.com/GkkCk"	NA	"6 months"
