"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"category"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"duration"
"Digital Project Manager"	"£30k - £37k per annum"	"London"	"Permanent"	"Digital Project Manager"	"London - £30k - £37k per annum"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Digital Project Manager - Central London My client is seeking a talented Project Manager to work on some exciting projects at their central London office. The successful candidate will ensure the delivery of the projects to the agreed schedule and help ensure the highest quality of solutions. This role will involve developing trustworthy relationships with the clients. Any experience working within a digital agency (or similar) environment is desirable. As well as having a passion for all thing's web, you must also be well versed in SCRUM techniques and Agile methodology and development. Knowledge of CMS is a must (Sitecore and/or Umbraco CMS is again desirable as many of the websites they build are powered by these Content Management Systems). Your responsibilities will include: Ensuring that you, together with the project team, deliver projects on time to client expectations and to our internal quality requirements Ensuring the prompt remediation of clients' issues and concerns Project and team management and client liaison Participation in client meetings and managing expectations Always striving to improve how we do things To be considered for this position, you must: Have current and valid eligibility to work in the UK Speak fluent English Be passionate about the web Be a good communicator "	"London, UK"	"IT"	"Executive"	"ASAP"	"£30k - £37k per annum"	"RBW Consulting"	"Andrew Spence "	"JSAS - DIGITAL PROJECT MANAGER - CENTRAL LONDON"	"06/12/2018 11:56:38"	"http://www.jobserve.com/GlxRG"	NA
"Digital Project Manager - Events"	"£50k - £60k per annum"	"West Sussex"	"Permanent"	"Digital Project Manager - Events"	"West Sussex - £50k - £60k per annum"	"Permanent"	"Posted: Wednesday, 5 December 2018"	""	"Digital Project Manager - EventsMy Sussex based client are currently looking for a Digital project Manager.Their business is one of the most established within the UK and they have been running successful business events such as award shows, conferences and gala dinners for many years now.Ideally they are looking for a Digital Project Manager who has experience within the events industry. You should have knowledge of various events platforms so you will preferably come from an events agency or publisher.You should have experience of managing the digital side of events, for example setting up the software needed for event ticket sales. Also developing sites to promote these events.On top of this you will be creating business cases, requirement specifications and complex project plans.Another aspect of the role will be to look at the current platforms they have in place and making sure that they are still fit for purpose and if not implement new software with the help of the development team.If you feel you have the right skills and background please apply. In accordance with the Employment Agencies and Employment Businesses Regulations 2003, this position is advertised based upon DGH Recruitment Limited having first sought approval of its client to find candidates for this position.DGH Recruitment Limited acts as both an Employment Agency and Employment Business"	"West Sussex, UK"	"IT"	NA	"ASAP"	"£50k - £60k per annum"	"DGH Recruitment Ltd."	"Andy Briault "	"JS-AB-13231"	"05/12/2018 13:46:16"	"http://www.jobserve.com/GlnrH"	NA
"Digital Project Manager Agile Marketing Web Finance London"	"£60k-£80k per annum + 20% Bonus + 10% Pension"	"London"	"Permanent"	"Digital Project Manager Agile Marketing Web Finance London"	"London - £60k-£80k per annum + 20% Bonus + 10% Pension"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Digital Project Manager (Scrum Master Digital Distribution Sales Marketing eMarketing SEO Campaign Project Manager AWS Agile Adobe Cloud Asset Management Finance Banking) required by our asset management client in London.You MUST have the following:Current experience as a digital project manager or scum master within a highly regulated environment (ideally financial services such as banking, asset management or wealth management)Experience coordinating the delivery of digital projects from inception to delivery/go-liveGood knowledge of digital marketing- such as delivery of client-facing websites, contribution to marketing campaigns, email marketing, social media, SEO, digital asset managementExperience delivering technical projects with cross-functional development Scrum teamsExcellent ability to collaborate with the business, provide status reports and manage stakeholders on corporate-scale, complex projectsExcellent understanding of Agile methodologiesThe following is DESIRABLE, not essential:PRINCE2 certificationBanking, wealth management or asset managementExperience delivering Adobe AEM, Apigee, client reporting, sales technology related projectsAgile Scrum Master certifiedDelivery of AWS projectsRole: Digital Project Manager (Scrum Master Digital Distribution Sales Marketing eMarketing Agile Adobe AWS Cloud Finance Banking) required by our asset management client London. This role sits in the Digital team which looks after the company's client facing technology over web, tablet, mobile and email. You will be assigned to a number of the following over the next 12 months- implementation of a Client Reporting System, extracting the Legacy system and integrating the new reporting system with the rest of the application infrastructure; and an Adobe AEM upgrade from v5 to the cloud on v6; the transformation of a number of websites globally; Apigee implementation; and client data work. Delivery of complex corporate digital marketing projects, therefore, is essential. Exposure to website delivery, digital marketing campaigns (emarketing), email marketing, social media, SEO, digital asset management is all highly desirable.In this role, you will be working with Scrum teams of 3-7, comprising developers and business analysts. You will manage the projects from inception to completion, often with several projects running simultaneously. An excellent understanding of Agile methodologies is essential. This will mean you are working with the team daily to drive delivery whilst keeping in sight the longer term strategy. You will have full responsibility of the project's budget and time management; this may extend further to application management where you develop the strategy budgeting of the applications, reporting on this to senior management. You will have an excellent technical understanding and be able to communicate effectively with developers and stakeholders. This is an excellent opportunity to gain experience in a financial institution as financial experience is not essential. The company are investing heavily into their London tech department and are one year into an ambitious three year AWS migration initiative. Working hours are 9am-5pm.Salary: £75k - 95k + 20% Bonus + 10% Pension For information about what Personal Data we hold and your rights, please refer to our Privacy Policy."	"London, UK"	"IT, Finance, Sales and Marketing"	NA	NA	"£60k-£80k per annum + 20% Bonus + 10% Pension"	"Joseph Harry Ltd"	"Anthony Russell "	"JS-DIGPM"	"06/12/2018 08:57:06"	"http://www.jobserve.com/GlwVA"	NA
"Digital Project Manager - B2B, eCommerce, Agile"	"£65k-£70k"	"London"	"Permanent"	"Digital Project Manager - B2B, eCommerce, Agile"	"London - £65k-£70k"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Digital Project Manager - B2B, eCommerce, Agile A leading Financial Service client of mine is currently looking for a Digital Project manager to manage a number of Greenfield Digital Initiatives. We are ideally looking for a Digital Project manager who has managed Business to Business eCommerce projects end-to-end, preferably within the Insurance industry. Key Skills: Digital/eCommerce Project Management Full Project Lifecycle experience Agile Delivery experience eCommerce Delivery Online Business-to-Business platforms Insurance experience - preferable If you have all of the required skills, please apply. Successful candidates will be contacted within 3 working days. Digital Project Manager - B2B, eCommerce, Agile"	"London, UK"	"IT"	NA	"ASAP"	"£65k-£70k"	"William Alexander Recruitment Ltd"	"Jamie Bevan"	"JSJBDIGITALPM4725"	"30/11/2018 17:25:22"	"http://www.jobserve.com/GkkAj"	NA
"Digital Project Manager Agile Marketing Web Finance London"	"£80k-£95k per annum + 20% Bonus + 10% Pension"	"London"	"Permanent"	"Digital Project Manager Agile Marketing Web Finance London"	"London - £80k-£95k per annum + 20% Bonus + 10% Pension"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Digital Project Manager (Scrum Master Digital Distribution Sales Marketing eMarketing SEO Campaign Project Manager AWS Agile Adobe Cloud Asset Management Finance Banking) required by our asset management client in London.You MUST have the following:Current experience as a digital project manager or scum master within a highly regulated environment (ideally financial services such as banking, asset management or wealth management)Experience coordinating the delivery of digital projects from inception to delivery/go-liveGood knowledge of digital marketing- such as delivery of client-facing websites, contribution to marketing campaigns, email marketing, social media, SEO, digital asset managementExperience delivering technical projects with cross-functional development Scrum teamsExcellent ability to collaborate with the business, provide status reports and manage stakeholders on corporate-scale, complex projectsExcellent understanding of Agile methodologiesThe following is DESIRABLE, not essential:PRINCE2 certificationBanking, wealth management or asset managementExperience delivering Adobe AEM, Apigee, client reporting, sales technology related projectsAgile Scrum Master certifiedDelivery of AWS projectsRole: Digital Project Manager (Scrum Master Digital Distribution Sales Marketing eMarketing Agile Adobe AWS Cloud Finance Banking) required by our asset management client London. This role sits in the Digital team which looks after the company's client facing technology over web, tablet, mobile and email. You will be assigned to a number of the following over the next 12 months- implementation of a Client Reporting System, extracting the Legacy system and integrating the new reporting system with the rest of the application infrastructure; and an Adobe AEM upgrade from v5 to the cloud on v6; the transformation of a number of websites globally; Apigee implementation; and client data work. Delivery of complex corporate digital marketing projects, therefore, is essential. Exposure to website delivery, digital marketing campaigns (emarketing), email marketing, social media, SEO, digital asset management is all highly desirable.In this role, you will be working with Scrum teams of 3-7, comprising developers and business analysts. You will manage the projects from inception to completion, often with several projects running simultaneously. An excellent understanding of Agile methodologies is essential. This will mean you are working with the team daily to drive delivery whilst keeping in sight the longer term strategy. You will have full responsibility of the project's budget and time management; this may extend further to application management where you develop the strategy budgeting of the applications, reporting on this to senior management. You will have an excellent technical understanding and be able to communicate effectively with developers and stakeholders. This is an excellent opportunity to gain experience in a financial institution as financial experience is not essential. The company are investing heavily into their London tech department and are one year into an ambitious three year AWS migration initiative. Working hours are 9am-5pm.Salary: £80k - 95k + 20% Bonus + 10% Pension For information about what Personal Data we hold and your rights, please refer to our Privacy Policy."	"London, UK"	"IT, Finance, Sales and Marketing"	"Executive"	"ASAP"	"£80k-£95k per annum + 20% Bonus + 10% Pension"	"Joseph Harry Ltd"	"Anthony Russell "	"JS-DIGPM"	"06/12/2018 08:55:15"	"http://www.jobserve.com/GlwT1"	NA
"Digital Project Manager - eCommerce"	"£400-£450 pd"	"Chertsey Surrey"	"Contract"	"Digital Project Manager - eCommerce"	"Chertsey Surrey - £400-£450 pd"	"Contract"	"Posted: Monday, 3 December 2018"	""	"Digital Project Manager - eCommerce Our client a global leading technology organisation is currently looking for a Digital Project Manager. The Project Manager a key member of the PMO team will work closely with the Online Experience team, E-commerce platform partners, internal support teams and relevant third parties, to deliver projects that are part of the Online Experience strategy. Reporting to the Digital Programme Manager, the Digital Project Manager will work with the Business Analysts and the Support team to deliver key projects prioritised on the roadmap, and will be involved in various different work streams. Essential - Project management experience in an digital or E-commerce environment A high level of Business Intelligence and strong project management skills. Ability to organize project work effectively, reprioritize as new demands/changes arise Exceptionally detail-oriented with strong organisational and communication skills Proven experience across a range of E-commerce technologies and platforms (Hybris experience desirable) - 3rd party integrations Understanding and experience in E-commerce, web technology, and infrastructure Knowledge of corporate global ERP systems (SAP experience desirable) Knowledge of MS Office Tools (Visio, Outlook, Word, PowerPoint, Excel) Experience of software development tools, such as Jira and Confluence "	"Chertsey Surrey, UK"	"IT"	NA	NA	"£400-£450 pd"	"MLR Associates"	"Scott Marcoons "	"JS/ECOMM/002"	"03/12/2018 13:17:19"	"http://www.jobserve.com/GlPJW"	"9 month initial contract"
"Digital Project Manager"	"DOE"	"Crawley"	"Permanent"	"Digital Project Manager"	"Crawley - DOE"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"Digital Project Manager William Reed are recruiting for a Digital Project Manager to work across a range of projects in the events area of our business. We host award ceremonies, conferences, exhibitions and more in the UK and internationally. We're now looking for a talented Project Manager to join us who can manage the digital elements of these events - such as setting up software for event ticket sales/event entries and helping with developing marketing sites to promote events. You will work on a range of projects including our event expansion into the Asian market and review of our current ticketing platform. Key Skills: Extensive digital project management experience with knowledge of event software/systems Analytical and logical thinker Exceptional organisational skills Ability to work effectively with numerous teams and manage stakeholder relationships Why should you apply? Our Digital Delivery team work on business critical projects and you'll be joining a team of highly knowledgeable individuals. You will also have the opportunity to work on international projects and work with a diverse cross section of stakeholders. Hours We are happy to consider someone on a full time basis or someone working 3-4 days per week. We will assess this on a candidate by candidate basis. If you're interested in applying please send your CV through to (see below) "	"Crawley, UK"	"Sales and Marketing, Media"	NA	"ASAP"	"DOE"	"William Reed Business Media"	"Helen Murdoch "	"JS"	"04/12/2018 09:16:37"	"http://www.jobserve.com/GlYaj"	NA
"Digital Project Manager: B2B Services: Off-Highway/Mining"	""	"West End, London"	"Contract"	"Digital Project Manager: B2B Services: Off-Highway/Mining"	"West End, London"	"Contract"	"Posted: Monday, 3 December 2018"	""	"Digital Project Manager: B2B Services: Off-Highway/Mining/ConstructionStart Date: ASAPDuration: 6 months InitiallyRate: Competitive/Dependent on ExperienceWorld Leading Global Energy Oil Company has an exciting opportunity for a Project Manager to work on a brand new greenfield product, which is part of a B2B Digital services hub, to manage a certain industrial workstream, responsible for developing new digital services in the off-highway sector (Mining/Construction/Agriculture).About you:- Certified Prince 2 Project Manager - ideally 6-8 years of experience- Ideally experienced in managing digital projects in Big Data/Data Analytics/IoT and/or in the B2B/Industrial automation/Automotive space- Used Agile methodology (very important) and running scrums- Understanding an industrial customer's operations is preferred- Strong communicator- Excellent writing skills- Stakeholder management, able to synthesise complex sets of data, motivate the team and keep them on taskThis needs combining with a positive attitude and an ability to work within a large, globally dispersed project team in a multi-cultural environment. You also need to be a self-starter, a logical thinker and a quick learner, with strong initiative and excellent communication, interpersonal and presentation skills, able to write clearly and concisely.We believe in equality of opportunity for all job applicants regardless of gender, marital status, race, colour, nationality, ethnic origin, creed or religion, disability, sexual orientation or age.Specialising within Energy Trading, Oil & Gas, Financial Markets and TV & Entertainment, Eaglecliff Recruitment is ISO accredited, a Member of REC and listed within the top 4% for Financial stability by Dun & Bradstreet. Please telephone for an immediate response or email your CV for a reply within one hour. Eaglecliff Ltd is acting in the capacity of an employment agency for permanent recruitment and an employment business for contractor resourcing."	"West End, London, UK"	"IT, Energy"	NA	"ASAP"	NA	"Eaglecliff Recruitment"	"Chris Luche "	"JS-C2/17707"	"03/12/2018 08:00:24"	"http://www.jobserve.com/GlKqQ"	"6 months"
"Digital Project Manager"	"£350.00 - £400.00 per Day"	"London"	"Contract"	"Digital Project Manager"	"London - £350.00 - £400.00 per Day"	"Contract"	"Posted: Tuesday, 4 December 2018"	""	"Contract - Digital Project Manager - Immediate Start - London - Contract Our client is looking for a Digital Project Manager with a well-rounded technical knowledge of E-commerce processes and systems to effectively drive implementation of technical projects that deliver commercial objectives. You will be managing multiple development projects from scoping, stakeholder alignment to execution and QA. Key Skills:Ability to translate commercial/marketing ideas into technical solutionsMagento experience/knowledge essentialExperience working with Amazon E-commerceDemonstrable experience in Agile Testing end to end and Quality assurancePlease forward a copy of your uodated CV to (see below) Contract - Digital Project Manager - Immediate Start - London - Contract This job ad was posted by Salt. To find out more about Salt's Privacy Policy and how your application is processed, please visit our website "	"London, UK"	"IT"	NA	"10/12/2018"	"£350.00 - £400.00 per Day"	"Salt"	"Kiran Jabbal "	"JS-JO-1812-143180"	"04/12/2018 14:54:20"	"http://www.jobserve.com/Glblb"	"6 months"
"Senior Digital Project Manager - Media/Broadcasting"	"£45k - £65k per annum + Benefits + Bonus"	"London"	"Permanent"	"Senior Digital Project Manager - Media/Broadcasting"	"London - £45k - £65k per annum + Benefits + Bonus"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Digital Project Manager - Media/BroadcastingOne of the UK's biggest, most reputable and most award winning media broadcast companies are looking for a Lead Digital Project Manager to join their Digital division. You'll be working alongside some of the most talented digital minds in the industry across a portfolio of platforms. You'll be an important part of the planning, scoping and management of the project roadmap, and for the coordination of the rest of the team. You'll keep BAU work flowing through the team and keep stakeholders in touch with what's going on. A proactive nature and keen eye for detail is essential.Digital Project Manager - Media/Broadcasting Requirements:Help establish and refine working practices within the team, particularly the agile process and product managementAbility to multi-task and work a combination of BAU and Project driven work across web, social, mobile apps and consumer devicesManage the day to day production requirements of specific projectsManage stakeholder's requirements, keeping them informed throughoutContribute to daily stand-ups together with the other PMs to ensure the team is clear on their tasksBreak projects down into stories that clearly state the story requirements, test cases, size and any further informationContribute to the sprint planning process to accurately size stories, establish team velocityContribute to sprint showcases to inform the wider business of progressLead Digital Project Manager - Media/Broadcasting Requirements:3+ years in Digital Project Management, and a thirst to get your teeth stuck into some high profile digital projects for the businessExperience in leading and coaching other junior Project Manager's would be a plusProven ability to construct web builds and have the ability to drive project deliveryExperience driving teams to meet tight deadlines, maintaining momentum and quality of workExperience and understanding of Agile Project Management Methodologies Ideally will have worked on a VOD project but not essentialExperience within the broadcasting/tv/media industries is a huge plusHave experience working on projects from start to finish This job ad was posted by Salt. To find out more about Salt's Privacy Policy and how your application is processed, please visit our website "	"London, UK"	"IT, Media"	NA	"ASAP"	"£45k - £65k per annum + Benefits + Bonus"	"Salt"	"Fabio Calvente "	"JS-JO-1811-142616"	"03/12/2018 10:29:53"	"http://www.jobserve.com/GlNHc"	NA
