"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"company_summary"	"start_date"	"category"	"duration"
"Digital Project Manager"	"£25k - £30k per annum"	"Kidderminster"	"Permanent"	"Digital Project Manager"	"Kidderminster - £25k - £30k per annum"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Digital Project Manager(Project Manager, Media, Digital)I am currently working with an award winning communications agency based in Kidderminster. The company itself works with world leading brands and delivers excellent service stretching from consultancy to media services. The company are now looking for a Digital Project Manager to add to their world leading organisation. Within the role you will be working with the internal digital team to produce high quality service to your clients. While gaining experience through having the opportunity to lead, you will also get the opportunity to progress while continuously receiving support from the digital team around you. Each individual brings something unique to the office environment and in doing so creates a fantastic working culture which has become the driving force behind the company's success. Skills and experience required:. Highly proficient using Microsoft Office. Good knowledge of Windows. Experience with project management tools such as/or similar to Redmine, BaseCamp, etc. Can demonstrate excellent communication and leadership skills The company is looking for a vibrant, motivated and enthusiastic individual who wants to work in a dynamic and co-operative team environment. On a day to day basis it is a casual yet productive environment, everyone works to the best of their ability while enjoying themselves in the process. If you are interested in this role then please apply now for immediate consideration."	"Kidderminster, UK"	"Media"	"£25k - £30k per annum"	"Mortimer Spinks a trading division of Harvey Nash Plc"	"Casey Barrow "	"JS-24605/005"	"07/12/2018 10:19:49"	"http://www.jobserve.com/Gl3Wq"	"About Mortimer Spinks a trading division of Harvey Nash Plcwww.mortimerspinks.comWe're Mortimer Spinks, and we're one of the UK's leading innovator in technology recruitment. We work with the most innovative companies in the world. The majority of our customers are defined as entrepreneurial technology organisations, where technology is core to the growth of their business.Technology experts. Delivered by the experts.You can find us in London, Birmingham and Manchester.Our consultants are true experts in what they do. Which means when it comes to technology, we can give you advice on just about anything (go on - try us)."	NA	NA	NA
"Digital Project Manager"	"£25k - £32k per annum + Excellent + Bonus"	"Kidderminster"	"Permanent"	"Digital Project Manager"	"Kidderminster - £25k - £32k per annum + Excellent + Bonus"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Digital Project Manager I am working with a fantastic communication agency based just outside of Kidderminster. They work with fantastic brands all over the world and are growing from strength to strength. They are now looking to add a Digital Project Manager to their growing team. In this role you will be working with internal digital teams to produce fantastic work for your clients, you will also be client facing and working through the full project life cycle. In this role you will quickly get the opportunity to take the lead for specific projects with the support from the rest of the digital team.The office environment and team are genuinely second to none with this business. Everybody works in a collaborative team environment where you can always get your ideas across. On a daily basis it is a casual environment, everyone works hard but has fun whilst they do it.General Skills Needed for the roleGood knowledge of WindowsGood knowledge of Microsoft OfficeExperience with project management tools such as Redmine etcFantastic communication skillsThe most important thing for this organisation is to find passionate and motivated people who want to work in a collaborative environment. If you are interested then please apply now for immediate consideration. "	"Kidderminster, UK"	"IT"	"£25k - £32k per annum + Excellent + Bonus"	"Mortimer Spinks a trading division of Harvey Nash Plc"	"Jack Capel "	"JS-24602/004"	"07/12/2018 10:18:35"	"http://www.jobserve.com/Gl3Uj"	"About Mortimer Spinks a trading division of Harvey Nash Plcwww.mortimerspinks.comWe're Mortimer Spinks, and we're one of the UK's leading innovator in technology recruitment. We work with the most innovative companies in the world. The majority of our customers are defined as entrepreneurial technology organisations, where technology is core to the growth of their business.Technology experts. Delivered by the experts.You can find us in London, Birmingham and Manchester.Our consultants are true experts in what they do. Which means when it comes to technology, we can give you advice on just about anything (go on - try us)."	NA	NA	NA
"Digital Project Manager"	"DOE"	"Crawley"	"Permanent"	"Digital Project Manager"	"Crawley - DOE"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Digital Project Manager William Reed are recruiting for a Digital Project Manager to work across a range of projects in the events area of our business. We host award ceremonies, conferences, exhibitions and more in the UK and internationally. We're now looking for a talented Project Manager to join us who can manage the digital elements of these events - such as setting up software for event ticket sales/event entries and helping with developing marketing sites to promote events. You will work on a range of projects including our event expansion into the Asian market and review of our current ticketing platform. Key Skills: Extensive digital project management experience with knowledge of event software/systems Analytical and logical thinker Exceptional organisational skills Ability to work effectively with numerous teams and manage stakeholder relationships Why should you apply? Our Digital Delivery team work on business critical projects and you'll be joining a team of highly knowledgeable individuals. You will also have the opportunity to work on international projects and work with a diverse cross section of stakeholders. Hours We are happy to consider someone on a full time basis or someone working 3-4 days per week. We will assess this on a candidate by candidate basis. If you're interested in applying please send your CV through to (see below) "	"Crawley, UK"	"Sales and Marketing, Media"	"DOE"	"William Reed Business Media"	"Helen Murdoch "	"JS"	"11/12/2018 07:03:30"	"http://www.jobserve.com/GlYaj"	NA	"ASAP"	NA	NA
"Digital Project Manager"	"£30k - £40k per annum"	"Bristol"	"Permanent"	"Digital Project Manager"	"Bristol - £30k - £40k per annum"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Digital Project Manager sought for leading digital agency undergoing rapid growth in Bristol. I'm looking for a creative and passionate Digital Project Manager capable of enthusiastically championing our clients projects, although hopefully you'll find that most of them don't need championing too much!Digital Project Manager:- Proven track record in leading Digital Projects- Must be a focal point between creative and development teams- Ideally will have experience of CMS- Will understand Agile and Scrum We think that we're different from other employers in Bristol, we firmly believe that our staff should always be learning and that we should give opportunities for that to happen. last year we we grew by over 30% and we'll exceed that this year.You'll get the opportunity to work on some incredibly interesting clients with us, including some massive household brands to charities that transform people's lives.We look after our team with paid gym membership, subsidized parking in Bristol, professional training and certifications and some great team days. Our office is loud and energetic and we seek like minded people to help deliver even more growth in 2019.Please apply now or call Tom Clarke for more details.Lawrence Harvey is acting as an employment agency in regards to this position."	"Bristol, UK"	"IT, Media"	"£30k - £40k per annum"	"Lawrence Harvey"	"Tom Clarke "	"JS-TPM"	"10/12/2018 15:01:44"	"http://www.jobserve.com/GmipK"	NA	"01/01/19"	NA	NA
"Digital Project Manager - eCommerce"	"£50k + bonus & benefits"	"Chertsey Surrey"	"Permanent"	"Digital Project Manager - eCommerce"	"Chertsey Surrey - £50k + bonus & benefits"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Digital Project Manager - eCommerce Our client a global leading technology organisation is currently looking for a Digital Project Manager. The Project Manager a key member of the PMO team will work closely with the Online Experience team, E-commerce platform partners, internal support teams and relevant third parties, to deliver projects that are part of the Online Experience strategy. Reporting to the Digital Programme Manager, the Digital Project Manager will work with the Business Analysts and the Support team to deliver key projects prioritised on the roadmap, and will be involved in various different work streams. Essential - Project management experience in an digital or E-commerce environment A high level of Business Intelligence and strong project management skills. Ability to organize project work effectively, reprioritize as new demands/changes arise Exceptionally detail-oriented with strong organisational and communication skills Proven experience across a range of E-commerce technologies and platforms (Hybris experience desirable) - 3rd party integrations Understanding and experience in E-commerce, web technology, and infrastructure Knowledge of corporate global ERP systems (SAP experience desirable) Knowledge of MS Office Tools (Visio, Outlook, Word, PowerPoint, Excel) Experience of software development tools, such as Jira and Confluence "	"Chertsey Surrey, UK"	"IT"	"£50k + bonus & benefits"	"MLR Associates"	"Scott Marcoons "	"JS/ECOMM/002"	"10/12/2018 16:43:51"	"http://www.jobserve.com/GkQzM"	NA	NA	NA	NA
"Digital Project Manager"	"£30k - £37k per annum"	"London"	"Permanent"	"Digital Project Manager"	"London - £30k - £37k per annum"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Digital Project Manager - Central London My client is seeking a talented Project Manager to work on some exciting projects at their central London office. The successful candidate will ensure the delivery of the projects to the agreed schedule and help ensure the highest quality of solutions. This role will involve developing trustworthy relationships with the clients. Any experience working within a digital agency (or similar) environment is desirable. As well as having a passion for all thing's web, you must also be well versed in SCRUM techniques and Agile methodology and development. Knowledge of CMS is a must (Sitecore and/or Umbraco CMS is again desirable as many of the websites they build are powered by these Content Management Systems). Your responsibilities will include: Ensuring that you, together with the project team, deliver projects on time to client expectations and to our internal quality requirements Ensuring the prompt remediation of clients' issues and concerns Project and team management and client liaison Participation in client meetings and managing expectations Always striving to improve how we do things To be considered for this position, you must: Have current and valid eligibility to work in the UK Speak fluent English Be passionate about the web Be a good communicator "	"London, UK"	"IT"	"£30k - £37k per annum"	"RBW Consulting"	"Andrew Spence "	"JSAS - DIGITAL PROJECT MANAGER - CENTRAL LONDON"	"06/12/2018 11:56:38"	"http://www.jobserve.com/GlxRG"	NA	"ASAP"	"Executive"	NA
"Digital Project Manager - Events"	"£50k - £60k per annum"	"West Sussex"	"Permanent"	"Digital Project Manager - Events"	"West Sussex - £50k - £60k per annum"	"Permanent"	"Posted: Wednesday, 5 December 2018"	""	"Digital Project Manager - EventsMy Sussex based client are currently looking for a Digital project Manager.Their business is one of the most established within the UK and they have been running successful business events such as award shows, conferences and gala dinners for many years now.Ideally they are looking for a Digital Project Manager who has experience within the events industry. You should have knowledge of various events platforms so you will preferably come from an events agency or publisher.You should have experience of managing the digital side of events, for example setting up the software needed for event ticket sales. Also developing sites to promote these events.On top of this you will be creating business cases, requirement specifications and complex project plans.Another aspect of the role will be to look at the current platforms they have in place and making sure that they are still fit for purpose and if not implement new software with the help of the development team.If you feel you have the right skills and background please apply. In accordance with the Employment Agencies and Employment Businesses Regulations 2003, this position is advertised based upon DGH Recruitment Limited having first sought approval of its client to find candidates for this position.DGH Recruitment Limited acts as both an Employment Agency and Employment Business"	"West Sussex, UK"	"IT"	"£50k - £60k per annum"	"DGH Recruitment Ltd."	"Andy Briault "	"JS-AB-13231"	"05/12/2018 13:46:16"	"http://www.jobserve.com/GlnrH"	NA	"ASAP"	NA	NA
"Digital Project Manager - B2B, eCommerce, Agile"	"£65k-£70k"	"London"	"Permanent"	"Digital Project Manager - B2B, eCommerce, Agile"	"London - £65k-£70k"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Digital Project Manager - B2B, eCommerce, Agile A leading Financial Service client of mine is currently looking for a Digital Project manager to manage a number of Greenfield Digital Initiatives. We are ideally looking for a Digital Project manager who has managed Business to Business eCommerce projects end-to-end, preferably within the Insurance industry. Key Skills: Digital/eCommerce Project Management Full Project Lifecycle experience Agile Delivery experience eCommerce Delivery Online Business-to-Business platforms Insurance experience - preferable If you have all of the required skills, please apply. Successful candidates will be contacted within 3 working days. Digital Project Manager - B2B, eCommerce, Agile"	"London, UK"	"IT"	"£65k-£70k"	"William Alexander Recruitment Ltd"	"Jamie Bevan"	"JSJBDIGITALPM4725"	"07/12/2018 17:19:19"	"http://www.jobserve.com/GkkAj"	NA	"ASAP"	NA	NA
"Digital Project Manager Agile Marketing Web Finance London"	"£60k-£80k per annum + 20% Bonus + 10% Pension"	"London"	"Permanent"	"Digital Project Manager Agile Marketing Web Finance London"	"London - £60k-£80k per annum + 20% Bonus + 10% Pension"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Digital Project Manager (Scrum Master Digital Distribution Sales Marketing eMarketing SEO Campaign Project Manager AWS Agile Adobe Cloud Asset Management Finance Banking) required by our asset management client in London.You MUST have the following:Current experience as a digital project manager or scum master within a highly regulated environment (ideally financial services such as banking, asset management or wealth management)Experience coordinating the delivery of digital projects from inception to delivery/go-liveGood knowledge of digital marketing- such as delivery of client-facing websites, contribution to marketing campaigns, email marketing, social media, SEO, digital asset managementExperience delivering technical projects with cross-functional development Scrum teamsExcellent ability to collaborate with the business, provide status reports and manage stakeholders on corporate-scale, complex projectsExcellent understanding of Agile methodologiesThe following is DESIRABLE, not essential:PRINCE2 certificationBanking, wealth management or asset managementExperience delivering Adobe AEM, Apigee, client reporting, sales technology related projectsAgile Scrum Master certifiedDelivery of AWS projectsRole: Digital Project Manager (Scrum Master Digital Distribution Sales Marketing eMarketing Agile Adobe AWS Cloud Finance Banking) required by our asset management client London. This role sits in the Digital team which looks after the company's client facing technology over web, tablet, mobile and email. You will be assigned to a number of the following over the next 12 months- implementation of a Client Reporting System, extracting the Legacy system and integrating the new reporting system with the rest of the application infrastructure; and an Adobe AEM upgrade from v5 to the cloud on v6; the transformation of a number of websites globally; Apigee implementation; and client data work. Delivery of complex corporate digital marketing projects, therefore, is essential. Exposure to website delivery, digital marketing campaigns (emarketing), email marketing, social media, SEO, digital asset management is all highly desirable.In this role, you will be working with Scrum teams of 3-7, comprising developers and business analysts. You will manage the projects from inception to completion, often with several projects running simultaneously. An excellent understanding of Agile methodologies is essential. This will mean you are working with the team daily to drive delivery whilst keeping in sight the longer term strategy. You will have full responsibility of the project's budget and time management; this may extend further to application management where you develop the strategy budgeting of the applications, reporting on this to senior management. You will have an excellent technical understanding and be able to communicate effectively with developers and stakeholders. This is an excellent opportunity to gain experience in a financial institution as financial experience is not essential. The company are investing heavily into their London tech department and are one year into an ambitious three year AWS migration initiative. Working hours are 9am-5pm.Salary: £75k - 95k + 20% Bonus + 10% Pension For information about what Personal Data we hold and your rights, please refer to our Privacy Policy."	"London, UK"	"IT, Finance, Sales and Marketing"	"£60k-£80k per annum + 20% Bonus + 10% Pension"	"Joseph Harry Ltd"	"Anthony Russell "	"JS-DIGPM"	"06/12/2018 08:57:06"	"http://www.jobserve.com/GlwVA"	NA	NA	NA	NA
"Digital Project Manager, Must have agency experience."	"£475.00- £500.00 per day"	"London"	"Contract"	"Digital Project Manager, Must have agency experience."	"London - £475.00- £500.00 per day"	"Contract"	"Posted: Tuesday, 11 December 2018"	""	"Digital Project Manager, Agency, London, ASAP, 6months+, £475.00- £500.00 per day all in. Norton Blake are currently looking for a new Project Manager to begin working with one of our agency clients in Central London. This candidate will be working on a large Digital project and be expected to manage a large Digital team. You will be expected to contribute to various Digital and Technical campaigns and creative planning, prior to assisting on digital elements of the project. You must have experience working with multiple stakeholders and end clients. Digital Project Manager, Agency- Essential skills:  Project Management   Agency experience   Ideally UX/UI experience.   Digital project management   Excellent communication  Digital Project Manager, Agency - You will be contacted if your CV is relevant."	"London, UK"	"IT"	"£475.00- £500.00 per day"	"Norton Blake"	"Theo Schooling "	"JSDIGITALAGENCY"	"11/12/2018 16:08:25"	"http://www.jobserve.com/Gmu5P"	""	"ASAP"	"Executive"	"6 Months Initially"
