"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"category"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"company_summary"	"duration"
"Machine Learning Researcher (Graphical Models,Gaussian Process)"	"£75k - £110k per annum"	"London"	"Permanent"	"Machine Learning Researcher (Graphical Models,Gaussian Process)"	"London - £75k - £110k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Machine Learning Researcher (Graphical Models, Gaussian Process)We are seeking a Machine Learning Researcher (Graphical Models, Gaussian Process) for our globally acting company; we are currently looking to build a Team of Researchers with experience in Bayesian Inference or Probabilistic Programming. We are a best known for revolutionising the Gaming Industry and developing virtual worlds.As a Machine Learning Researcher you will join a newly formed team of Learning Researchers with the aim of bringing a Research product to a niche market. Our long term goal is a general purpose probabilistic model. As a Machine Learning Researcher you will be working within Bayesian Inference, Probabilistic Programming, Probabilistic Programming Libraries, Big Data Analysis and Bayesian Nets.We are looking for someone who is passionate and motivated to work on our mission. You don't have to have a background in Machine Learning for this position as a Machine Learning Researcher, but you should be ambitious, motivated and able to think out the box.What we can offer a Machine Learning Researcher A chance to be a part of some exciting work whilst being part of a company with more job security than a startup.A relaxed and informal working environment with very little bureaucracy.The chance of publishing your work at leading conferences worldwide (NIPS, ICRA, ICML etc.)A role really close to academia, with strong links to top universities.Key Skills Include: Machine Learning Engineer/Machine Learning Researcher, Researcher, Research, PhD, Publications, Times-Series Forecasting, Gaussian Mixture Models, Machine Learning, ML, AI, Deep Learning, Deep Neural Nets, Natural Language Processing, NLP, Bayesian inference, Bayesian Data, Probabilistic Modelling, Complex Data, Matlab, Python, C++, R, SQL, Mathematics, Statistics, Engineering, Computer Science, Physics, Machine Learning Engineer, Software Engineer"	"London, UK"	"IT"	"Executive"	"ASAP"	"£75k - £110k per annum"	"Understanding Recruitment"	"Thomas Attwell "	"JS-BBBH4930"	"03/12/2018 05:00:56"	"http://www.jobserve.com/GlHh8"	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	NA
"Machine Learning Researcher (NLP, Times series forecasting)"	"£100k - £150k per annum + bonuses"	"London"	"Permanent"	"Machine Learning Researcher (NLP, Times series forecasting)"	"London - £100k - £150k per annum + bonuses"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Machine Learning Researcher/Quantitative Researcher (NLP, Times series forecasting)We are looking for a Machine Learning Researcher/Quantitative Researcher (NLP, Times series forecasting) to join our dedicated Machine Learning Research team; helping us to cQreate some of the most advanced predictive Machine Learning models in the world and implement them within the financial markets.Culturally, we would describe ourselves as a startup within a larger organisation. The way we operate is very similar to academia, so as a Machine Learning Researcher/Quantitative Researcher you will be asked to go away and read the latest publications within the fields of Deep Learning/Reinforcement Learning/Bayesian Inference/Gaussian Process/Times Series Forecasting and look at new and innovative ways you could implement this within our business. As a Machine Learning Researcher/Quantitative Researcher if you enjoyed the style in which you conducted your postdoctoral research or your PhD - though felt a frustration with no 'real-world impact' - this could be a good move for you. Our fund manages nearing thirty billion dollars; a growing number year on year. What we can offer a Machine Learning Researcher/Quantitative Researcher (Deep Learning, Predictive Models)A place in a leading hedge fund working with the some of the brightest minds in the ML-for-finance industryNon-hierarchical structure, startup culture, hack rooms + music roomsTo be a part of something bigger with the ML community; we host ML meetups attending by leading academics/industry leadersA chance to publish your own papersTo join a dedicated team of 7 ML Researchers, as we grow to ten people in 2018.Key Skills: Machine Learning Researcher/Quantitative Researcher, Quantitative Researcher, ML, Artificial Intelligence, AI, Hedge Fund, Neural Networks, Python, Gaussian Process, Bayesian Inference, Time-Series, Multi-Agent Systems, Deep Learning, Reinforcement Learning, Probabilistic Models, Neural Networks, Natural Language Processing, Markov Models, Signal Processing, Computational Statistics, Econometrics"	"London, UK"	"IT"	"Executive"	"ASAP"	"£100k - £150k per annum + bonuses"	"Understanding Recruitment"	"Mat Ferdenzi "	"JS-SM-4011"	"03/12/2018 05:00:46"	"http://www.jobserve.com/GlHhz"	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	NA
"Machine Learning Software Engineer (Image Recognition)"	"£35k - £100k per annum"	"Portsmouth, Hampshire"	"Permanent"	"Machine Learning Software Engineer (Image Recognition)"	"Portsmouth, Hampshire - £35k - £100k per annum"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Machine Learning Software Engineer - Portsmouth - Salary based on experience Your new company  A innovative company specialising in the development, integration and sustainment of advanced technology systems.Your new role  You will be working on an exciting new project involving advanced image recognition software products. Using machine learning techniques you will also be exploring new products and creating prototypes to be used by the companies customers.What you'll need to succeed Experience of working with Machine Learning in a commercial settingExperience with 1 or more Machine Learning frameworks, including: TensorFlow, Caffe, CNTK, Torch/Pytorch, MXNET, Chainer, Keras and Deeplearning4j.Skilled in C/C++ codingExperience with Java/J2EE or Ada95 would be advantageousExperience in an Agile environment What you'll get in return A very competitive salaryGreat career progression opportunities What you need to do now If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now.Hays Specialist Recruitment Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the T&C's, Privacy Policy and Disclaimers which can be found on our website."	"Portsmouth, Hampshire, UK"	"IT"	"Executive"	NA	"£35k - £100k per annum"	"Hays DT - South Coast"	"Toby Ambrose"	"JS-3414390"	"30/11/2018 14:49:04"	"http://www.jobserve.com/GkqIy"	NA	NA
"Machine Learning Engineer"	"Very Generous Salaries Offered + Benefits "	"London"	"Permanent"	"Machine Learning Engineer"	"London - Very Generous Salaries Offered + Benefits "	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Machine Learning Engineer London Very Generous Salaries Offered + Benefits A competent and experienced Machine Learning Engineer is required for an exciting Fintech startup based in Central London. This Machine Learning Engineer role will see you join the team during the early stages of their ventures and will see you help assist with a number of interesting Natural Language Processing projects. Skills Required - The ideal candidate will have a Natural Language Processing PhD or similar A minimum of 2 years commercial experience within an industry leading engineering environment. This is an excellent opportunity for a forward thinking candidate to jump onboard a really exciting startup at a key time for their development - They have enjoyed an excellent start the year and are on course to becoming real heavyweight in the tech market. To apply for Machine Learning Engineer role please send your CV and Portfolio/work examples to Ellis McWilton at Arc IT Recruitment. Machine Learning, Engineer, AI, Natural Language Processing, Development, London. "	"London, UK"	"IT"	NA	NA	"Very Generous Salaries Offered + Benefits "	"ARC IT Recruitment"	"Ellis McWilton "	"JS-5933"	"30/11/2018 15:53:54"	"http://www.jobserve.com/GkqPc"	NA	NA
"Machine Learning Engineer"	"GBP"	"Belfast"	"Permanent"	"Machine Learning Engineer"	"Belfast - GBP"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"Job Description:Innovative Belfast organisation seek a machine learning engineer to work with their exclusive product range Your new company This organisation is a highly-innovative R&D house with a unique product that is patented and they feel it's going to change the world of mobile technology. The company was born in Belfast and now they span a few countries worldwide. They have ambitions to get their core engineering team up to a number of around 30 people by the close of the year - and you can be part of their success! Your new role Working within the organisation's Algorithms R&D team, you'll support the scientific functions of the company including Algorithm Research & Development. Daily, you can expect to perform complex data analysis, algorithm design, validation, and performance evaluation and work with software coded in MATLAB and Embedded C. You'll progress your management experience by overseeing the work of less experienced research scientists and development engineers in algorithm research and development. Your new role will progress with the exciting development of the company of course! What you'll need to succeed For this job, you should have an MSc or PhD in Mathematics, Physics, Electrical Engineering, Biomedical Engineering, Computer Science or related technology field. You'll have hands-on practical experience in classification models and pattern recognition and have performed data analysis using MATLAB. A passion for engineering and the willingness to continually learn new skills will lead to your success! What you'll get in return You'll be rewarded with a competitive starting package and flexible company benefits. Your remuneration will grow with the success of the team and you'll enjoy the relaxed yet research-orientated environment that comes with a small but growing company in a highly developing sector. What you need to do now If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call Jason Brownlee at Hays Digital Technology now. If this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career. "	"Belfast, UK"	"Engineering"	NA	NA	"GBP"	"Hays"	"Hays"	"JS138A70D52C68C02F/598071350"	"04/12/2018 16:47:40"	"http://www.jobserve.com/GlcI8"	NA	NA
"Machine Learning Research Engineer"	"£60k - 90k per year + Equity"	"Greater London, England"	"Permanent"	"Machine Learning Research Engineer"	"Greater London, England - £60k - 90k per year + Equity"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"An extremely exciting and award winnig London based machine learning start-up are looking for a Machine Learning Research Engineer to join their team on a permanent basis. The company specialises in making sense of unstructured data, using cutting edge machine learning, NLP and deep learning techniques. This Machine Learning Research Engineer position is ideal for someone who comes from a strong software development background having more recently transitioned into a machine learning engineer role or a software engineer with a passion for machine learning and a number of relevant personal projects.This is an opportunity to join a very exciting company as they begin growing exponentially, working with researchers from the worlds top universities.Essential Requirements:MSc or PhD in Computer Science, Machine Learning or similar field from a top universityExtensive software development experience in a variety of languages (Rust or Golang are preferred)In depth knowledge of statistics, probability and linear algebraPython proficiencyExperience with deep learning frameworksNLP processing experienceUnfortunately sponsorship cannot be provided for this position, therefore you must be eligible to work in the UK without sponsorship to be considered. The salary bracket for this role is £60,000 to £90,000 per annum plus equity Dependent on your experience level and they are looking to get the successful candidate started ASAP with interviews starting on Monday 10th December. If this role seems like it is of interest to you and you fit the requirements for the role please apply today by sending your CV to (see below) or call Luke on 020 7812 7700 for further details."	"Greater London, England, UK"	"IT"	NA	NA	"£60k - 90k per year + Equity"	"X4 Group"	"Luke Tomaszko"	"JSMCHLRENG"	"04/12/2018 16:55:39"	"http://www.jobserve.com/GlcMQ"	"About X4 Groupwww.x4technology.co.ukX4 Technology is an industry leading specialist recruitment business for the tech sector. We are part of the X4 Group, one of the fastest growing and most successful recruitment businesses, with over 10 years of experience in successfully placing mid to senior level contract and permanent professionals across the globe.Cyber Security Big Data Machine Learning & Data Science Business IntelligenceDevOps & Infrastructure Embedded Software Engineering Hardware & Electronics Java Development .Net Technologies Senior IT AppointmentsTestingPHP, Opensource & Ruby on RailsFront End TechnologiesSpecialist JavaScriptBusiness Development SEO, PPC & Analytics Marketing Fintech, Banking & Finance"	NA
"Python - Machine Learning & AI"	"£60k - 90k per annum"	"London"	"Permanent"	"Python - Machine Learning & AI"	"London - £60k - 90k per annum"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"Python - Machine Learning - AI - Django - AWSI am working with an exciting start-up in central London who are looking for an experienced and talented perm python developer to join their team. This company place significant emphasis on employee culture and work life balance and are keen to find like-minded ambitious and motivated individuals to join their team. Working with this company, you will have the opportunity to work with some of the latest tech in the industry as you gain exposure to Machine Learning and AI and will have the opportunity to work closely with the DevOps team and continue to grow your skill set. This is an excellent opportunity for someone that is looking for secure solid career progression and continue to learn and develop alongside the more senior developers in the company.  You will have several of the following skills:PythonDjango FlaskAWS Nice to haves:Experience working with JavaScript, Machine Learning or Artificial Intelligence What's in it for you? You will benefit from a generous remuneration of £60,000-£90,000 and will receive a generous benefits package including; bonus', share options, extensive holidays. You will also have the option to work one or two days a week from home as this company place significant emphasis on work-life balance. I am actively arranging interviews for this for this client, please send your CV or call me. Alternatively, if you know of someone better suited to this role, please don't hesitate to pass them on my details!Python - Machine Learning - AI - Django - AWS"	"London, UK"	"IT"	NA	"2018-12-10"	"£60k - 90k per annum"	"Opus Recruitment Solutions Ltd"	"Clare Killeen "	"JSPERM"	"04/12/2018 12:31:09"	"http://www.jobserve.com/GlaP1"	NA	NA
"Quantitative Researcher (Machine Learning, NLP, Stat Inference)"	"£125k - £150k per annum + bonus"	"London"	"Permanent"	"Quantitative Researcher (Machine Learning, NLP, Stat Inference)"	"London - £125k - £150k per annum + bonus"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Quantitative Researcher (Machine Learning, NLP, Stat Inference)We are looking for a Quantitative Researcher (Machine Learning, NLP, Stat Inference) to join our world leading research company; helping us to predict the future of financial markets.If you enjoyed the style of working in academia but also like the idea of working for one of the largest research companies in the world, this could be the right step for you. As a Quantitative Researcher, you would be working on a variety of different areas like Neural Networks, Deep Learning, Bayesian statistics, approximate inference, Time-Series forecasting and probabilistic models. You would be working in a small team of Quantitative Researchers on dedicated projects enjoying flexible working hours and a lot of freedom regarding you research.What we can offer a Quantitative Researcher the following:The chance to work for a leading research companyFlexible working hours, the freedom to work on your projects the way you prefer, a great company culture and exceptional team spiritThe chance to work on exciting real-world problems within Machine LearningA chance to visit the leading conferences in Machine Learning (NIPS, ICML) and the opportunity to publish your own papersBeing a part of a small team of Quantitative Researchers with the chance to enjoy an exceptional working environment including team events, team building activities and a dedicated open working spaceRelocation package and visa sponsorship supplied for the right candidateKey Skills: Quantitative Researcher, Quantitative Researcher, ML, Artificial Intelligence, AI, Finance, Neural Networks, Python, Gaussian Process, Bayesian Inference, Time-Series, Multi-Agent Systems, Deep Learning, Reinforcement Learning, Probabilistic Models, Approximate Inference, Neural Networks, Natural Language Processing, Markov Models, Signal Processing, Computational Statistics, Econometrics, Mathematical Modelling"	"London, UK"	"IT"	"Executive"	"ASAP"	"£125k - £150k per annum + bonus"	"Understanding Recruitment"	"Mat Ferdenzi "	"JS-BBBH1522"	"03/12/2018 05:00:51"	"http://www.jobserve.com/GlHh4"	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	NA
"DevOps Engineer (Machine Learning)"	"£60k - £70k per annum + Benefits"	"Uxbridge"	"Permanent"	"DevOps Engineer (Machine Learning)"	"Uxbridge - £60k - £70k per annum + Benefits"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"DevOps Engineer (Machine Learning), £60,000 - £70,000We are seeking a DevOps Engineer to join a hugely impressive tech team using modern container, infrastructure as code and cloud tools who are building machine learning driven security products, protecting individuals through to global companies from cybersecurity threats.As the DevOps Engineer you will join a highly intelligent group of Software and DevOps Engineers running huge scale production infrastructure using chaos engineering principles. You will take a broad role across ops tooling, working in an infrastructure as code environment using Terraform, enhancing the use of Kubernetes (the team are happy to train those who would like more container experience) and working with scalable AWS.We are looking for a DevOps Engineer with:Broad knowledge of infrastructure technologies which could include Terraform, Kubernetes or AnsibleExperience of cloud environments, AWS preferredSome form of Scripting/programming experience; Bash, Python or GoA technical Degree or strong academic background would be highly beneficialDevOps Engineer (Machine Learning) Salary: £60,000 - £70,000 plus BenefitsLocation: Uxbridge, West London"	"Uxbridge, UK"	"IT"	NA	NA	"£60k - £70k per annum + Benefits"	"Understanding Recruitment"	"Tom Parker "	"JS-TP-UDE8"	"02/12/2018 14:01:01"	"http://www.jobserve.com/GlFEq"	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	NA
"Python/Java Machine Learning/AI Developer - Finance - £55k-£85k"	"£55k - £85k per annum + bonus"	"City of London"	"Permanent"	"Python/Java Machine Learning/AI Developer - Finance - £55k-£85k"	"City of London - £55k - £85k per annum + bonus"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Python/Java Machine Learning/AI Developer - London based Brokerage - up to £85kPython/Java Developer required to work on the next generation of artificial intelligence(AI)/machine learning technology at a leading financial services brokerage in London. The team operate like a fintech within the organisation, focussing on creating cutting edge technical solutions within a collaborative and innovative environment, much of the work is greenfield.As a Python/Java Developer within this team you will also have extensive exposure to; Cloud AWS, JavaScript with react and openfin applications. This is an expanding team with a lot of investment being invested into their development with the AI/machine learning space too. The role will also give a strong Python/Java technologist exposure to the financial services market and provide an understanding of how large transactions are carried out and processed.The successful Python/Java Developer can look to receive between £55,000 and £85,000 base, plus a healthy package and bonus.Requirements:Commercial Python or Java development experienceExperience with Cloud platforms, ideally AWSExperience of working on the full software development life cycleIdeally experience or an interest in AI/Machine LearningFinancial Services experience desirable, but not essentialStrong academic profile (Computer Science preferred)Full job specification can be provided upon applicationMcGregor Boyall is an equal opportunity employer and do not discriminate on any grounds. "	"City of London, UK"	"IT"	NA	NA	"£55k - £85k per annum + bonus"	"McGregor Boyall"	"Luke Nutley "	"JS-LN1423398"	"30/11/2018 16:29:27"	"http://www.jobserve.com/Gkqhb"	"About McGregor Boyallwww.mcgregor-boyall.com/McGregor Boyall is one of the UK's leading financial services recruitment firms. We have been established for over a quarter of a century and have built an unrivalled reputation for helping organisations recruit the very best talent to ensure that they realise their business and operational objectives. We deliver recruitment solutions for contract, interim and permanent positions across the following areas: Accounting & Control | IT & Change | Compliance | Finance | Marketing & Communications |  Risk | HR and Talent Management | Business Intelligence |   "	NA
