"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"category"	"start_date"	"duration"	"company_summary"
"Machine Learning Engineer"	"GBP"	"Sheffield"	"Permanent"	"Machine Learning Engineer"	"Sheffield - GBP"	"Permanent"	"Posted: Thursday, 13 December 2018"	""	"Machine Learning Engineer (UK) Sheffield Salary - up to £60,000 + great benefits QA & Testing is often seen as an unexciting though necessary aspect of the software development process. We're here to change that. We're working hard to develop exciting new technologies, harnessing the power of machine learning and combining this with extensive domain expertise to enable testing to be performed fully autonomously. Something akin to self-driving cars of the testing world! We know this is no easy feat, but nothing worth doing ever is. If you're excited and inspired by the prospect of working with a team of highly educated, expert engineers from around the world to build ground-breaking, and dare we say game-changing, applications to make testing easier, more efficient and autonomous, then we'd like to talk with you. You'll have the freedom to make decisions quickly and execute them, to work collaboratively with colleagues in other countries, (advanced written and spoken English is a must), and you'll be able to apply your experience and education (degree or equivalent) to help us develop a robust and scalable enterprise product to allow organisations to test their software faster and more effectively than ever possible before. Here's a glimpse of some of the projects you'll work on and lead as a Machine Learning Engineer Building intelligent anomaly detection techniques Automatic summarisation of large-scale test results Automatic model inference Improve our existing models and classifiers and help us research/develop new ones Build ML algorithms and integrate, or support integration with our product Essential skills you'll need: Strong practical and theoretical experience with machine learning. Some understanding of Java in order to integrate ML algorithms into our codebase Strong abilities to wrangle and clean data High proficiency with the Linux command line Additional experience that is welcome: Strong programming skills in at least one major programming language (eg, Python, Java, C++) Conducted self-directed academic research and be comfortable setting a research agenda. Be a champion of quality - software design patterns and passion for writing clean code Have worked as part of a team to deliver high-quality software to a production environment Be comfortable reporting results to stakeholders and informing strategic decision-making Bonus Points for: A postgraduate degree (preferably PhD) in a relevant machine learning topic. Polyglot: can program effectively in a wide range of programming languages and frameworks. Experience with distributed systems (concurrency, consistency, partition tolerance) We know that as a Machine Learning Engineer you'll have a mix of different skills, technologies and experiences, so we've tried to keep our 'wants' to a minimum, and thought sharing details of our tech stack would be more interesting to you. Our Tech Stack: Java services (distributed architecture) Languages: Java, Javascript/Typescript/Node.js, Python PostgreSQL for relational database Vue/VueX for frontend Consul for discovery AWS (ECS, S3, CloudFront, ALB) Prometheus for metric monitoring ELK for logging Terraform for infrastructure management Github for source control CircleCI for CI/CD Hazelcast Your favourite technology that can help solve challenges BENEFITS What else is in it for you? The opportunity to bring your own ideas to reality (we love new solutions and ideas!) Team retreats every 6 months... somewhere nice because you've earned it! Full Jetbrains pack license (IntelliJ et al) Private health insurance Take your birthday as holiday every year! Sabbatical opportunities Flexible and remote work options A new laptop and/or use your own equipment  We have a simple two-step technical assessment process as part of the overall interview: We don't expect you to write code in an unrealistic interview setting. To take away the stress of whiteboard tests, you get a small take-home challenge and you have a week to complete it (in a Gitlab repository that you can freely develop your code on) that will take no more than a few hours. If we're happy with your submission in step 1, we schedule a one-to-one Skype session to first provide you with detailed feedback on your submission, ask you a few more questions related to the code and solution you submitted and then it's over to you to interview us. We make our decision after this stage, and you'll hear from us with our final decision within 48 hours. If you would like to hear more about this opportunity please feel free to contact Teo on or  "	"Sheffield, UK"	"IT"	"GBP"	"identifi global"	"identifi global"	"JSMACHINE-LEARNING-ENGINEER/605949672"	"13/12/2018 12:03:33"	"http://www.jobserve.com/GnJxo"	NA	NA	NA	NA
"Machine Learning Software Engineer (Image Recognition)"	"£35k - £100k per annum"	"Portsmouth, Hampshire"	"Permanent"	"Machine Learning Software Engineer (Image Recognition)"	"Portsmouth, Hampshire - £35k - £100k per annum"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Machine Learning Software Engineer - Portsmouth - Salary based on experience Your new company  A innovative company specialising in the development, integration and sustainment of advanced technology systems.Your new role  You will be working on an exciting new project involving advanced image recognition software products. Using machine learning techniques you will also be exploring new products and creating prototypes to be used by the companies customers.What you'll need to succeed Experience of working with Machine Learning in a commercial settingExperience with 1 or more Machine Learning frameworks, including: TensorFlow, Caffe, CNTK, Torch/Pytorch, MXNET, Chainer, Keras and Deeplearning4j.Skilled in C/C++ codingExperience with Java/J2EE or Ada95 would be advantageousExperience in an Agile environment What you'll get in return A very competitive salaryGreat career progression opportunities What you need to do now If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now.Hays Specialist Recruitment Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the T&C's, Privacy Policy and Disclaimers which can be found on our website."	"Portsmouth, Hampshire, UK"	"IT"	"£35k - £100k per annum"	"Hays DT - South Coast"	"Toby Ambrose"	"JS-3414390"	"07/12/2018 14:54:56"	"http://www.jobserve.com/GkqIy"	"Executive"	NA	NA	NA
"Machine Learning/AI Software Engineer: C++, Tensorflow"	"£30k - £55k per annum"	"Bristol"	"Permanent"	"Machine Learning/AI Software Engineer: C++, Tensorflow"	"Bristol - £30k - £55k per annum"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Machine Learning/AI Software Engineer: C++, Tensorflow. Working with a small, mixed discipline research team developing new Machine Learning and Data Science Techniques to be applied to other well established products.You will need a strong background in software development (most likely C++ and Python) and experience solving Non-Linear, optimisation based Machine learning and Data Science problems.You will be working with a team receiving plenty of support and resources from the wider business and will be able to act as a technologist, investigating and recommending new technologies and tools to truly influence and improve the projects you are working on, the growth potential in this role is exceptional.You will be working with a large, well established employer who develop their staff in the long term, provide exceptional training & development and work hard to facilitate their staff to realise their potential.Essential Skills:Experience developing software, most likely in C++ and PythonExperience working in Data Science, Machine learning or a relevant AI fieldExperience and understanding of working to solve optimisation problems using ML/AT techniques.Desirable Skills:Experience with the following is not essential but would be advantageousExperience with the Machine Learning (ML) tools such as TensorflowA strong background and interest in mathematics.Experience working with Geometrical mathematics and visualisation.An understanding of the principles of electronics (PCB) design.Benefits27 days annual leave per annum (plus all public holidays).Flexible Working Hours.Pension Scheme. (max 8% contribution from company matched at a ratio of 2:1)Extensive training and developmentMatchtech acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers and is part of Gattaca Plc. Gattaca Plc provides support services to Matchtech and may assist with processing your application."	"Bristol, UK"	"IT"	"£30k - £55k per annum"	"Matchtech"	"Elliott Doyle "	"JS-EMP426714"	"07/12/2018 16:31:27"	"http://www.jobserve.com/Gl6oI"	NA	"ASAP"	NA	NA
"Machine Learning Researcher | £ DOE | Relocation Expenses Paid"	"Benefits"	"Bristol"	"Permanent"	"Machine Learning Researcher | £ DOE | Relocation Expenses Paid"	"Bristol - Benefits"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Machine Learning Researchers Mobile App/Python/Ruby/Shell Scripts Salary: DOEBristol Based,.Potential for Home Working!**Relocation Expenses Paid*I am looking for multiple Machine Learning Researchers to join a hugely successful mobile app start-up company who are already established in one of the most culturally significant countries globally, and who are now growing an office in Central Bristol to enable a global rollout.This product is having a profound positive effect on health, social connections and environmental sustainability. If you would like to solve real world problems, and have the following skills, please get in touch today!  The role:* Work on developing scalable classifiers and tools using machine learning techniques* Research, code and deliver alongside the engineering team to test and release new features * Creatively enhance and adapt well know algorithms and methods to support and inform future roadmaps * Work closely with a team of high performing Machine Learning and Data Science engineers solving real world problems The skills: * Machine learning related work, or MSc or PhD degree in Computer Science or related field * Proven experience in machine learning and data mining* Track record translating product and feature requirements into production ready services * Experience with Python, Ruby, Shell Scripts You could be working on an app visited by over 3 million people p/day which is working to, and succeeding at, building a better world! Is this you? Ensure you email me with an updated CV today via (see below) and call me if you have any questions.People Source Consulting Ltd is acting as an Employment Agency in relation to this vacancy.People Source specialise in technology recruitment across niche markets including Information Technology, Digital TV, Digital Marketing, Project and Programme Management, SAP, Digital and Consumer Electronics, Air Traffic Management, Management Consultancy, Business Intelligence, Manufacturing, Telecoms, Public Sector, Healthcare, Finance and Oil & Gas."	"Bristol, UK"	"IT"	"Benefits"	"People Source Consulting Ltd"	"Glenn Dutton "	"JS-GD145276"	"07/12/2018 15:10:35"	"http://www.jobserve.com/Gl6Ia"	NA	NA	NA	NA
"Machine Learning Engineer"	"£30k - £70k per annum + Bonuses and holiday"	"Milton Keynes"	"Permanent"	"Machine Learning Engineer"	"Milton Keynes - £30k - £70k per annum + Bonuses and holiday"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Job Title: Machine Learning Engineer - Global B2B Software Firm Location: Milton KeynesSalary: £30,000 to £70,000 DOE plus bonuses and generous holidayAbout The Global B2B Software FirmAn opportunity for a talented Machine Learning Engineer to play a pivotal role in the development and evolution of Machine Learning processes at a global B2B management software firm. With an expert team of software developers, the Machine Learning Engineer will be joining a highly talented team to help revolutionise their product and develop a skilled Machine Learning team around them. By leveraging the power of machine learning, you will interrogate big data to ensure rapid advancement of their global product. A flexible and collaborative team, within a large and multinational business provides an ideal opportunity for a Machine Learning Engineer ready to take that step up into a leadership position.About The Machine Learning Engineer Role As a Machine Learning Engineer you will have the opportunity to develop your technical skills in a highly established software environment, supported by many talented software engineers and developers.Key Responsibilities for the Machine Learning Engineer:* Lead the team and harness your machine learning expertise to validate hypotheses across the business* Interrogate big data, building new and improving existing products and features* Design and build machine learning models to advance the product * Act as a leader, sharing your passion and knowledge of machine learning to help build a team around youAbout YouYou are a passionate and successful Machine Learning Engineer with a drive to implement your Machine Learning skills to make a tangible difference to this global company's software.Essential Skills and Competencies of the Machine Learning Engineer: * Advanced degree in Maths/Computer Science preferable * Expert in Python and ex* Excellent coding skills; Python ideal * Hands on experience with Cloud services* An inquisitive and analytical mindset, partnered with data profiling skillsThe Machine Learning Engineer receives a highly competitive salary paying from £30,000 to £70,000 depending on experience and excellent company benefits.For more information about the Machine Learning Engineer role or to apply send your CV now to (see below) I look forward to hearing from you!We specialise in delivering recruitment solutions for complete brand engagement: Sales, Marketing, PR & Digital and work with some of the most innovative, entrepreneurial and award winning agencies in the industry."	"Milton Keynes, UK"	"IT"	"£30k - £70k per annum + Bonuses and holiday"	"Reuben Sinclair"	"Joe Spragg "	"JS-JS - MLE - WS"	"07/12/2018 10:00:37"	"http://www.jobserve.com/Gl3BG"	NA	"ASAP"	NA	NA
"Machine Learning Engineer"	"£30k - £75k per annum + Bonuses and holiday"	"London"	"Permanent"	"Machine Learning Engineer"	"London - £30k - £75k per annum + Bonuses and holiday"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Job Title: Machine Learning Engineer - Global Advertising Firm Location: LondonSalary: £30,000 to £70,000 DOE plus bonuses and generous holidayAbout The Global Advertising FirmAn opportunity for a talented Machine Learning Engineer with experience in NLP to innovate solutions to complex problems on their advertising platform. Harnessing your machine learning expertise, you will be joining a highly talent technology team focussed on machine learning, NLP and software development to help advance their platform with provides a connectivity suite for the ad industry, globally. An opportunity to work on hugely exciting machine learning and NLP projects in a high growth, high learning and highly flexible culture.About The Machine Learning Engineer Role As a Machine Learning Engineer with experience in NLP, you will have the opportunity to develop your technical skills in a highly established marketing environment.Key Responsibilities for the Machine Learning Engineer:* Drive your machine learning knowledge to design and develop pipelines to create models for fast POC's* Test and identify best algorithms to evolving problems* Integrate your machine learning projects with existing services in the business* Keep up to date on research and industry advancements to promote best practiceAbout YouYou are a passionate and successful Machine Learning Engineer with a drive to implement your Machine Learning and NLP skills to make a tangible difference to this global company's advertising software.Essential Skills and Competencies of the Machine Learning Engineer: * Advanced degree in Maths/Computer Science preferable * Expert Machine Learning and NLP knowledge* Excellent coding skills; Python ideal * Hands on experience with Cloud services* An inquisitive and analytical mindset, partnered with data profiling skillsThe Machine Learning Engineer receives a highly competitive salary paying from £30,000 to £70,000 depending on experience and excellent company benefits.For more information about the Machine Learning Engineer role or to apply send your CV now to (see below) I look forward to hearing from you!We specialise in delivering recruitment solutions for complete brand engagement: Sales, Marketing, PR & Digital and work with some of the most innovative, entrepreneurial and award winning agencies in the industry."	"London, UK"	"IT"	"£30k - £75k per annum + Bonuses and holiday"	"Reuben Sinclair"	"Joe Spragg "	"JS-JS - MLE - AS"	"07/12/2018 09:57:24"	"http://www.jobserve.com/Gl3AA"	NA	"ASAP"	NA	NA
"Machine Learning Engineer"	"£70k + equity + benefits"	"London"	"Permanent"	"Machine Learning Engineer"	"London - £70k + equity + benefits"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"Our client is urgently looking for a Machine Learning Engineer to join this small but well-funded London based Electronics company. The project they are involved in is the automated design and production of circuit boards that will be used in Autonomous vehicle and the space exploration industry. We are looking for a Machine Learning Engineer that will contribute to the creation of the compiler that will automatically generate electronic designs. You will be responsible for developing algorithms that automatically choose, connect place and route the electronic components. You will work closely with the modelling engineer to create algorithms in accordance with customer requirements.  You will have a degree in Electronics, computer science or engineering, have experience of developing algorithms, and have a real passion for Augmented reality, space exploration, and autonomous vehicles. For more details please contact us"	"London, UK"	"Engineering"	"£70k + equity + benefits"	"Optimum IT"	"Stuart Ferguson "	"JSML/0123"	"12/12/2018 09:33:08"	"http://www.jobserve.com/Gm4ed"	NA	"Will Wait 4 weeks"	NA	NA
"Machine Learning Engineer"	"£350 - £400 per Day"	"London"	"Contract"	"Machine Learning Engineer"	"London - £350 - £400 per Day"	"Contract"	"Posted: Monday, 10 December 2018"	""	"About The AI Startup and how you will play your part as their first NLP Engineer This disruptive AI startup has an outstanding opportunity for an accomplished NLP Engineer to join the team as one of the company's first key hires. They have just raised a considerable amount of funding and are now focusing their attention on growth. As a company, their core purpose is to address the laborious bureaucracy associated with international supply trade documentation. They therefore see this NLP Engineer hire as someone who will help create AI-first solutions to automate document inspection through smart documentation analysis and NLP-centric technologies. With my client having recently set up a London base after kickstarting this project in the USA, as their first NLP Engineer you will have a great blank canvas upon which to make an impact.About The NLP Engineer Role:As an NLP Engineer, you will have an exciting opportunity to develop both your technical and client servicing skills in an established tech environment.Key Responsibilities for the NLP Engineer:Designing and developing data engineering pipelines to ingest new data and update existing algorithmsPerforming core NLP tasks, including text mining, classification, information extraction, entity recognition, text processing etc.Bringing NLP systems into production, collaborating with the engineering teamNavigating noisy labels, incomplete data-sets and multiple data formatsAbout The Successful NLP Engineer:If you are currently in a NLP Engineer, Machine Learning Engineer, Data Scientist or Data Engineer role this could be the ideal next step in your career with an exciting, disruptive tech company.Desired Skills and Competencies of the NLP Engineer:PhD/MSc in discipline related to Machine Learning, NLP, Computer Science etc.Ideally commercial experience putting academic theory into practiseStrong technical ability in Python as well as other technologies such as NLTK, Keras, Tensorflow, PyTorch etc.Knowledge of good software engineering practice and principles Expertise in NLP with emphasis on text classification, mining and clusteringBonus points for experience in applying Deep Learning for NLP, NLP on large datasetsAfter completing a contract period of work the successful NLP Engineer could also be offered a permanent position and with it a highly competitive salary depending on experience, along with excellent company benefits and stock options. However this is by no means an essential requirement and experienced contract-only applicants are very much encouraged to apply for the long term contract period, if you don't have a desire to move to a permanent role in the future.For more information about this Data Scientist role or to apply send your CV now to Steve. Please email (see below) Reuben Sinclair are a multi award winning recruitment company including: UK's Best Recruitment Consultant, UK's Best Specialist Recruitment Agency, UK's Best Agency Side Recruiter, One of only 30 UK Hyper Growth companies, UK's Most Innovative Recruitment Company, UK's Most Innovative Recruiter, UK's Best Agency Side Recruiter, UK's Best Agency Side RecruiterWe specialise in delivering recruitment solutions for complete brand engagement: Data, Digital, Sales, Marketing and PR working with some of the most innovative, entrepreneurial and award winning companies across industry.Keywords: Data Scientist, Senior Data Scientist, Lead Data Scientist, Head of Data Science, Data Analyst, Statistics, Programming, Machine Learning, Text Mining, Data Visualization, Big Data, Data Ingestion, Data Munging, Toolbox, Natural Language, Processing "	"London, UK"	"IT, Consulting"	"£350 - £400 per Day"	"Reuben Sinclair"	"Steve Woodward "	"JS-SW - 007 - 1207"	"10/12/2018 11:16:40"	"http://www.jobserve.com/GmhW9"	NA	"ASAP"	"6 months"	NA
"Graduate Machine Learning Developer C++ - Graduate"	"£25k - £30k per annum + Benefits"	"Cambridge"	"Permanent"	"Graduate Machine Learning Developer C++ - Graduate"	"Cambridge - £25k - £30k per annum + Benefits"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Graduate Machine Learning Developer C++, Computing, Science, Natural Sciences, Physics, Engineering, £25,000 - £30,000 (depending on experience) + benefits.Some early stage technology companies are a cut above the rest and this happens to be one of them. A well funded early stage software house originally created by some leading academics and pioneering entrepreneurs have taken the organisation to new heights in a rapidly growing area.They have an outstanding track record in tacking on bright graduates from all over the UK and giving them rewarding projects to work on not too mention they operate in a field that evolves minute by minute.The team is already made up of Post Doc's and graduates from the leading universities in the country therefore you will be joining an already elite team with backgrounds in physics, natural sciences, engineering and computer science.For this exceptional position we would like to speak to both Post Doc's and other graduates who have a 2.1 or above degree from a highly ranked university along with at least ABB at A-level, some comprehension of developing in C++, an understanding of machine learning would be beneficial but not essential, knowledge of Linux/Windows operating systems, able to analyse mathematical problems, some understanding of networks would be useful but again by no means essential.The company has a diverse team therefore we welcome people from all backgrounds, working on mathematical algorithms, creating some of the most intelligent technology out there and finally learning about a complex but engaging field.What do you think so far?If the above job sounds of interest please apply via the link or feel free to give us a call. Please note we are on the client's supplier list for this position.Modis are operating as an Employment Agency. Modis are an equal opportunities employer.Please be assured that your CV will be treated in the strictest confidence and we would always speak to you before discussing your CV with any potential employer.Keywords: C++, Post Doc, Computing, Science, Physics, Engineering, Graduate, Cambridge, Degree, Machine LearningModis International Ltd acts as an employment agency for permanent recruitment and an employment business for the supply of temporary workers. Modis International Ltd UK is an Equal Opportunities Employer.By applying for this role your details will be submitted to Modis. Our Candidate Privacy Information Statement explains how we will use your information "	"Cambridge, UK"	"IT"	"£25k - £30k per annum + Benefits"	"Modis"	"Mark Chapman "	"JS-1152572"	"10/12/2018 14:08:24"	"http://www.jobserve.com/Gmh09"	"Graduate"	"ASAP"	NA	NA
"DevOps Engineer (Machine Learning)"	"£60k - £70k per annum + Benefits"	"Uxbridge"	"Permanent"	"DevOps Engineer (Machine Learning)"	"Uxbridge - £60k - £70k per annum + Benefits"	"Permanent"	"Posted: Sunday, 9 December 2018"	""	"DevOps Engineer (Machine Learning), £60,000 - £70,000We are seeking a DevOps Engineer to join a hugely impressive tech team using modern container, infrastructure as code and cloud tools who are building machine learning driven security products, protecting individuals through to global companies from cybersecurity threats.As the DevOps Engineer you will join a highly intelligent group of Software and DevOps Engineers running huge scale production infrastructure using chaos engineering principles. You will take a broad role across ops tooling, working in an infrastructure as code environment using Terraform, enhancing the use of Kubernetes (the team are happy to train those who would like more container experience) and working with scalable AWS.We are looking for a DevOps Engineer with:Broad knowledge of infrastructure technologies which could include Terraform, Kubernetes or AnsibleExperience of cloud environments, AWS preferredSome form of Scripting/programming experience; Bash, Python or GoA technical Degree or strong academic background would be highly beneficialDevOps Engineer (Machine Learning) Salary: £60,000 - £70,000 plus BenefitsLocation: Uxbridge, West London"	"Uxbridge, UK"	"IT"	"£60k - £70k per annum + Benefits"	"Understanding Recruitment"	"Tom Parker "	"JS-TP-UDE8"	"09/12/2018 14:00:30"	"http://www.jobserve.com/GmT6A"	NA	NA	NA	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"
