"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"start_date"	"duration"	"company_summary"	"category"
"Data Scientist - Statistics, Probability, Algebra, Python-Media"	"£550 - £600 per Day"	"City of London"	"Contract"	"Data Scientist - Statistics, Probability, Algebra, Python-Media"	"City of London - £550 - £600 per Day"	"Contract"	"Posted: Wednesday, 28 November 2018"	""	"Data Scientist - Statistics, Probability, Algebra, Python - Media FirmA leading media firm are developing analytical solutions to their business concepts and have a fantastic opportunity for a Data Scientist to play a key role in strategic design and development approach to the analytical approach.As a Data Scientist you will work extensively with Python and pySpark, being responsible for statistical modelling, optimisation and/or machine learning/deep learning algorithmic development, to create data-driven, end-to-end solutions for marketers.You will require a strong rounding in genetic algorithms, linear algebra, probability theory and statistical models.You should apply for this role if you are/have:3+ years professional experience in quantitative data analysis/scienceStrong probability, statistics and linear algebra experienceExpert Python development skills including PySparkStatistical modelling skills (and ideal predictive analytics)Knowledge of optimisation and machine learningStrong understanding of Big Data environmentsCloudera, Hadoop, Hortonworks, AWS EMR, Map/Reduce, HivePerformance optimisation and scalability skillsRelational and non-relational data bases knowledgeMasters degree Minimum in a quantitative, technical or statistical subject£550-£600/day based London initial 12 month contract."	"City of London, UK"	"IT"	"£550 - £600 per Day"	"Alexander Ash Consulting Ltd"	"Toby Rees"	"JS-AA/TR/3134/DSPM"	"28/11/2018 11:10:18"	"http://www.jobserve.com/GkXJS"	NA	NA	NA	NA
"Finance Data Scientist"	"Negotiable"	"London"	"Permanent"	"Finance Data Scientist"	"London - Negotiable"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Finance Data Scientist Senior Consultant - Manager As a Data Scientist within the Digital Finance Enablement team, you will be at the forefront of innovative cloud enabled analytics solutions in response to the most significant challenges faced by the Finance functions of our strategic global clients.  Responsibilities will include: Identify opportunities, design and assess Finance analytics solutions, for example using machine learning to support cost categorisation, or predictive modelling and forecasting supported by Big Data and Elastic Compute Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations Develop comprehensive understanding of Finance data structures and metrics Define schemas to store the data in Cloud data warehouses for analytics, including Big Query and Redshift Interact cross-functionally with a wide variety of people and teams Make business recommendations (eg cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information Ability to effectively prioritise, estimate, plan and delegate workload to meet deadlines Being a strong team player Strong verbal, written and presentation skills Location: London with occasional domestic and international travel Suggested work pattern: Permanent full-time Your professional experience Minimum qualifications: Degree in a quantitative discipline (eg, statistics, operations research, bioinformatics, economics, computational biology, computer science, mathematics, physics, electrical engineering, industrial engineering) +2 years of relevant work experience in data analysis or related field. (eg, as a statistician/data scientist/computational biologist/bioinformatician) Experience with statistical software (eg, R, Julia, MATLAB, pandas) and database languages (eg, SQL) Preferred qualifications: +3 years of relevant work experience (eg, as a statistician/computational biologist/bioinformatician/data scientist), including deep expertise and experience with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods.  Recognised Professional Accounting qualification and/or experience working within a Finance function and Finance data role Applied experience with machine learning on large datasets. Experience articulating business questions and using mathematical techniques to arrive at an answer using available data. Experience translating analysis results into business recommendations. Demonstrated skills in selecting the right statistical tools given a data analysis problem. Demonstrated effective written and verbal communication skills. Demonstrated leadership and self-direction. Demonstrated willingness to both teach others and learn new techniques. Experience in consulting or professional services "	"London, UK"	"IT, Finance, Consulting"	"Negotiable"	"Next Ventures Ltd"	"Michael Kwakye "	"JS"	"30/11/2018 07:03:08"	"http://www.jobserve.com/Gjik1"	"ASAP"	NA	NA	NA
"Data Scientist"	"£60k - £65k per annum"	"London"	"Contract/Permanent"	"Data Scientist"	"London - £60k - £65k per annum"	"Contract/Permanent"	"Posted: Wednesday, 28 November 2018"	""	"Job Title: Data ScientistLocation: Central LondonSalary: £60,000 - 65,000Employment Type: FTCAbout The Data Science CompanyThe organisation is an established financial brand who operate deep within the investment markets and who are now on a journey to build out their Data Science team. This new Data Scientist hire will not only add commercial value to this market leader, but they will also help steer private equity clients investment decisions through the information they generate for the investment team. They are conveniently located in the heart of London and well placed for an all zone travel commute. Offering a modern business culture, they offer spacious open plan designed offices with a collaborative working approach with their 35 strong investment team. This company is investing Data Science staff and whilst a new team, the Data Scientists at this company will be well supported with additional resources, as they build the next generation of Machine Learning and Data Science models.About The Data Scientist RoleImmersing yourself in Data Science, you will be tasked with assisting this financial Powerhouse to build new quantitative models that determine important perceptions collected from both structured and unstructured data, mixed in with your own important research. At the heart of this Data Science role will be the building of strong analytical predictive programmes, capturing new analytics to develop new investment decisions and direction in addition to:Working collaboratively with relevant teams (including your colleague in the new Data Science team) to achieve the highest resultsUtilise your statistical techniques to their full potential.Be happy immersing yourself in big data where you will need to look for automation to speed up your processing of large data sets that have primary factors that you must unlock to build forecasting modelsUtilise and create Python tools whilst creating documents in LaTeX.Key Responsibilities for the Data Scientist:Collect a wide breath of big data, undertaking market based analysisUse your statistical knowledge to explore this data, clean it and transform it into structured usable dataBuild a model based on previous team examples interfaced with your own toolbox of skillsWork with other team members to test the data demonstrating a clear focus to improve the quality of the findingsCommunicate the findings that will dictate future company productAbout The Successful Data ScientistThe ideal candidate should have:Practical work experience or actual employment in an office setup, however this only needs to be a minimum of three monthsStatistical experience or be a competent general statisticianPost Doc experience or perhaps mentored experience in statistics or any mentored research in the Financial SectorExperience or exposure to the financial sector or investment sector in particular Bank or Clearing house general industry experience would be looked on favourablyShould be PhD qualified and have had their relevant research publishedGeneral strong Computer Science experience is neededA mindset where they can work to deadlines and be able to apply their learnt experience quickly and effectively in a work environmentThe ability and drive to work from a blank canvas, where you will be dealing in very large Big Data, and creating models to deal with itStrong Python programming skills are a must as you will be building models to support the investment team in their key future financial decisionsGood communication and presentation skills as you will form part of the investment team, engaging with them regularlyThe passion to learn from an accomplished Data Scientist in a team of two.The tenacity to hit the ground running picking up all hands-on and ad-hoc work tasks, applying and focusing on the application of mathematical and statistical methods to financial investment problemsEssential Skills and Competencies of the Data Scientist:Strong experience of using the Python programming languageA well rounded knowledge of SQLMSc or PhD Mathematics, Physics, Economics, Computer Science, Statistics or similar quantitative based degreeMinimum of 3 months practical work experience or proven interim experience.Strong and confident communication/presentation skillsThis role would ideally suit a recent PhD graduate looking for their first stepping stone into the Data Science industry.For more information about this Data Scientist role or to apply send your CV now to Steve. Please email (see below) Reuben Sinclair are a multi award winning recruitment company including: UK's Best Recruitment Consultant, UK's Best Specialist Recruitment Agency, UK's Best Agency Side Recruiter, One of only 30 UK Hyper Growth companies, UK's Most Innovative Recruitment Company, UK's Most Innovative Recruiter, UK's Best Agency Side Recruiter, UK's Best Agency Side RecruiterWe specialise in delivering recruitment solutions for complete brand engagement: Data, Digital, Sales, Marketing and PR working with some of the most innovative, entrepreneurial and award winning companies across industry.Keywords: Data Scientist, Senior Data Scientist, Lead Data Scientist, Head of Data Science, Data Analyst, Statistics, Programming, Machine Learning, Text Mining, Data Visualization, Big Data, Data Ingestion, Data Munging, Toolbox, Natural Language, Processing "	"London, UK"	"IT, Finance"	"£60k - £65k per annum"	"Reuben Sinclair"	"Steve Woodward "	"JS-SW - 007 - 1205"	"28/11/2018 17:28:46"	"http://www.jobserve.com/Gka2i"	"ASAP"	"FTC"	NA	NA
"Data Scientist"	"£230 - £280 per Day"	"Central London"	"Contract"	"Data Scientist"	"Central London - £230 - £280 per Day"	"Contract"	"Posted: Wednesday, 28 November 2018"	""	"Job Title: Data ScientistLocation: Central LondonSalary: £230 - £280Employment: Day rateAbout The Data Science Company:The organisation is an established financial brand who operate deep within the investment markets and who are now on a journey to build out their Data Science team. This new Data Scientist hire will not only add commercial value to this market leader, but they will also help steer private equity clients investment decisions through the information they generate for the investment team. They are conveniently located in the heart of London and well placed for an all zone travel commute. Offering a modern business culture, they offer spacious open plan designed offices with a collaborative working approach with their 35 strong investment team. This company is investing Data Science staff and whilst a new team, the Data Scientists at this company will be well supported with additional resources, as they build the next generation of Machine Learning and Data Science models.About The Data Scientist Role:Immersing yourself in Data Science, you will be tasked with assisting this financial Powerhouse to build new quantitative models that determine important perceptions collected from both structured and unstructured data, mixed in with your own important research. At the heart of this Data Science role will be the building of strong analytical predictive programmes, capturing new analytics to develop new investment decisions and direction in addition to:Working collaboratively with relevant teams (including your colleague in the new Data Science team) to achieve the highest resultsUtilise your statistical techniques to their full potentialBe happy immersing yourself in big data where you will need to look for automation to speed up your processing of large data sets that have primary factors that you must unlock to build forecasting modelsUtilise and create Python tools whilst creating documents in LaTeX.Key Responsibilities for the Data Scientist:Collect a wide breath of big data, undertaking market based analysisUse your statistical knowledge to explore this data, clean it and transform it into structured usable dataBuild a model based on previous team examples interfaced with your own toolbox of skillsWork with other team members to test the data demonstrating a clear focus to improve the quality of the findingsCommunicate the findings that will dictate future company productAbout The Successful Data Scientist:The ideal candidate should have:Practical work experience or actual employment in an office setup, however this only needs to be a minimum of three monthsStatistical experience or be a competent general statisticianPost Doc experience or perhaps mentored experience in statistics or any mentored research in the Financial SectorExperience or exposure to the financial sector or investment sector in particular Bank or Clearing house general industry experience would be looked on favourablyShould be PhD qualified and have had their relevant research publishedGeneral strong Computer Science experience is neededA mindset where they can work to deadlines and be able to apply their learnt experience quickly and effectively in a work environmentThe ability and drive to work from a blank canvas, where you will be dealing in very large Big Data, and creating models to deal with itStrong Python programming skills are a must as you will be building models to support the investment team in their key future financial decisionsGood communication and presentation skills as you will form part of the investment team, engaging with them regularlyThe passion to learn from an accomplished Data Scientist in a team of two.The tenacity to hit the ground running picking up all hands-on and ad-hoc work tasks, applying and focusing on the application of mathematical and statistical methods to financial investment problemsEssential Skills and Competencies of the Data Scientist:Strong experience of using the Python programming languageA well rounded knowledge of SQLMSc or PhD Mathematics, Physics, Economics, Computer Science, Statistics or similar quantitative based degreeMinimum of 3 months practical work experience or proven interim experience.Strong and confident communication/presentation skillsThis role would ideally suit a recent PhD graduate looking for their first stepping stone into the Data Science industry.For more information about this Data Scientist role or to apply send your CV now to Steve. Please email (see below) Reuben Sinclair are a multi award winning recruitment company including: UK's Best Recruitment Consultant, UK's Best Specialist Recruitment Agency, UK's Best Agency Side Recruiter, One of only 30 UK Hyper Growth companies, UK's Most Innovative Recruitment Company, UK's Most Innovative Recruiter, UK's Best Agency Side Recruiter, UK's Best Agency Side RecruiterWe specialise in delivering recruitment solutions for complete brand engagement: Data, Digital, Sales, Marketing and PR working with some of the most innovative, entrepreneurial and award winning companies across industry.Keywords: Data Scientist, Senior Data Scientist, Lead Data Scientist, Head of Data Science, Data Analyst, Statistics, Programming, Machine Learning, Text Mining, Data Visualization, Big Data, Data Ingestion, Data Munging, Toolbox, Natural Language, Processing "	"Central London, UK"	"IT"	"£230 - £280 per Day"	"Reuben Sinclair"	"Steve Woodward "	"JS-SW - 007 - 1204"	"28/11/2018 17:22:57"	"http://www.jobserve.com/Gkawr"	"ASAP"	"Temp-to-perm"	NA	NA
"Data Scientist"	"£60k - £70k per annum + Benefits"	"London"	"Permanent"	"Data Scientist"	"London - £60k - £70k per annum + Benefits"	"Permanent"	"Posted: Tuesday, 27 November 2018"	""	"Data Scientist, Machine Learning, Statistics, Research, Innovation, Data Management, Data Strategy, Predictive Modelling, Product Development, Algorithms, Python, RAn excellent opportunity has arisen for a Data Scientist (Research Scientist) to work for a market leading organisation within their industry, based in London. This is an incredible opportunity for someone who is passionate about innovation and Data Science. The successful candidate would be responsible for leading the new Data Science piece within a state of the art R&D lab, for the organisation's flagship IOT product. Key skills/Experience required:- Extensive programming skills - Python, R- Experience of machine learning algorithms and machine learning frameworks - A background of developing within a sophisticated technology platform, specifically within an IoT environment- Extensive product development experience with an innovative approach- Strong Data Management and Data Strategy experience- Predictive modelling specialist- Excellent communication and stakeholder management skills- A degree in a mathematical or scientific subject with industry experience afterwards Please respond with an up to date CV for further information - (see below) McGregor Boyall is an equal opportunity employer and do not discriminate on any grounds. "	"London, UK"	"IT"	"£60k - £70k per annum + Benefits"	"McGregor Boyall"	"Nathan Carolan "	"JS-39874508375"	"27/11/2018 09:07:11"	"http://www.jobserve.com/GkMjZ"	NA	NA	"About McGregor Boyallwww.mcgregor-boyall.com/McGregor Boyall is one of the UK's leading financial services recruitment firms. We have been established for over a quarter of a century and have built an unrivalled reputation for helping organisations recruit the very best talent to ensure that they realise their business and operational objectives. We deliver recruitment solutions for contract, interim and permanent positions across the following areas: Accounting & Control | IT & Change | Compliance | Finance | Marketing & Communications |  Risk | HR and Talent Management | Business Intelligence |   "	NA
"HR Administrator"	"£13.49 Per Hour"	"Surrey"	"Contract"	"HR Administrator"	"Surrey - £13.49 Per Hour"	"Contract"	"Posted: Wednesday, 28 November 2018"	""	"Analysis, Reporting & Documentation  Prepare reports/statistics/briefings to meet statutory/management information requirements.  Recommend improvements and support implementation to systems, processes and procedures, ensuring best practice is shared across the team.Customer Service & Support  Deliver a range of administrative and/or customer/consultancy services in support of existing systems or processes to agreed standards, to maximise service quality and continuity. May authorise transactions where appropriate.  Respond to and resolve enquiries and problems, judging when to pass on complex queries or involve others, to provide an effective service and clear advice to colleagues and customers.Planning & Organising  Provide comprehensive support to a group of senior staff, ensuring confidentiality, effectively organising internal and external activities/events to support the delivery of efficient services.  Plan and prioritise own work activities for the weeks ahead, to ensure operational efficiency. Respond effectively to changing demands, adjusting priorities as needed. Finance/Resource Management  Maintain financial, and/or stock records, and review data to contribute to resource planning.Work with others  Maintain a network of contacts, drawing on support and advice from others to resolve problems.  Communicate and liaise with service users and/or external contacts, representing the team/service as required.  Support, coordinate and undertake research into a variety of projects in the defined area of activity to support achievement of team's objectives. People Management  May guide and/or supervise junior staff in their duties to facilitate their development and ensure service quality standards are maintained. Duties for all Values: To uphold the values and behaviours of the organisation. Equality & Diversity: To work inclusively, with a diverse range of stakeholders and promote equality of opportunity. Health, Safety & Welfare: To maintain high standards of Health, Safety and Welfare at work and take reasonable care for the health and safety of themselves and others.  Educated to A level or equivalent, or able to evidence ability at an equivalent level.  Relevant HR, Management, business administration or financial qualification to NVQ Level 3, or able to evidence knowledge and understanding of relevant disciplines. Willingness to study for a relevant professional qualification if appropriate.  Good IT skills.  Ability to work with others to improve customer service.  Good written and oral communication skills with the ability to build sound relationships with customers to improve customer service.  High level administrative/organisational and analytical skills.  Able to prioritise and plan own workload in the context of conflicting priorities and work on own initiative.  A methodical approach to information gathering, recording and reporting.  Previous relevant work experience.  Experience of maintaining and improving business/database systems/secretarial processes and systems (as appropriate). The HR Advisor - Policy & Engagement role provides a key co-ordinating support to the wider HR & OD community in relation to the Council's HR committee. The role will be supporting the Lead Consultant in the delivery of employment policy and engagement projects. The key outputs of the job include: 1. Providing a forward plan for the council's HR committee. 2. Co-ordinating and formatting committee reports to ensure compliance with statutory deadlines. 3. Support the Lead Consultant with implementation of policy changes, this includes research and publishing on our website. 4. Providing support for People Performance and Development Committee submit ions ensuring that an efficient forward planning process is in place and follow up on actions and decisions to ensure they are implemented. 5. Providing wider administrative support to the policy and reward team as required. This may include diary management, managing meetings, sending invitations drafting agendas and taking notes. 6. Monitoring the council's internal discussion site and investigating and co-ordinating responses as appropriate. Roles at this level provide a comprehensive business support service in a defined service or functional area, or provide specialist support services. Many will possess technical rather than professional expertise in the main disciplines, or have substantial experience of administrative procedures to enable them to guide and advise others. There will be minimal day-to-day supervision, but clear guidance is available. The roles will plan for the weeks ahead and prioritise to accommodate non standard work. They often require understanding of complex procedures and support systems, and the ability to allocate workload and react to changing priorities. Although most work will follow established patterns, initiative is needed to handle processes and resolve problems and queries based on experience and judgement, mainly without reference to others. These roles may work alone instead of as part of a team, or the system or process used may require specialist knowledge or experience. Some roles involve supervision of staff, others involve undertaking specialist functions or the provision of a broad comprehensive business admin services. Graduate trainees start at this level If you match these requirements, please apply in the normal way. Elevate will send you an email, please open, click and action that email and your application will be visible to the hiring organisation directly."	"Surrey, UK"	"Office and Admin, HR"	"£13.49 Per Hour"	"Elevate Direct"	"Elevate Direct"	"JS-GC-SCC9384-281118"	"28/11/2018 11:16:42"	"http://www.jobserve.com/GkXL7"	"ASAP"	"3 months"	NA	NA
"Senior Software Engineer (Deep Learning, Mathematics, Python)"	"£75k - £90k per annum + company benefits, equity"	"London"	"Permanent"	"Senior Software Engineer (Deep Learning, Mathematics, Python)"	"London - £75k - £90k per annum + company benefits, equity"	"Permanent"	"Posted: Monday, 26 November 2018"	""	"Senior Software Engineer (Deep Learning, Mathematics, Python):We're looking for a passionate Senior Software Engineer (Deep Learning, Statistics, Python) who is willing to take on a hands-on approach and bring their own relevant experience to an organisation that are focusing their Machine Learning Research and development on building an advanced Machine Learning platforms for trading and analytics, specifically within sporting.As a Senior Software Engineer you will be a part of a very dynamic and collaborative team who are building a next generation platform, which will help turn prototype trading models into systems that are production-ready. You will be an integral part of their vision as they draw on their industry-leading machine learning research and development. You will be part of a small team, with opportunity to publish papers, work on own projects and colloborate on ML models and algorithms with your surrounding team members.As a Senior Software Engineer you will be working closely with the surrounding Machine Learning Engineers, Software Developers, as well as the Research team - programming in Python and C++ mainly. What we can offer a Senior Software Engineer (Deep Learning, Mathematics, Python):To work in a high profile startup who are self-funded and profitable alreadyStrong salary and package offeredFlexible working environment and hoursPublishing papers, time to work on own projects during the weekKey Skills: Senior Software Engineer (Deep Learning, Mathematics, Python); Tensorflow, C++, C, Java, Python, C#, Distributed Algorithms. Distributed systems, BSc, MSc, MPhil, PhD, Post-Doc, Research, R&D, startup, Multithreading. Machine Learning, AI, Artificial Intelligence, NLP, Natural Language Processing, Linguistics, Computational Biology, Computational Linguistics, Reinforcement Learning, Multi-Agent Systems, Deep Learning, Bayesian Inference, Probabilistic Models, Computer Vision, Machine Intelligence, Cython, Linux"	"London, UK"	"IT"	"£75k - £90k per annum + company benefits, equity"	"Understanding Recruitment"	"Anna Heneghan "	"JS-BBBH1522"	"26/11/2018 19:06:56"	"http://www.jobserve.com/GkABn"	"ASAP"	NA	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	NA
"Technician - Lloyd's Broker"	"£28k - £31k per annum"	"London"	"Permanent"	"Technician - Lloyd's Broker"	"London - £28k - £31k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Lloyd's Broker are seeking a Technician to join their city based team to with knowledge of Brokasure and experience in processing claims and premiums. You'll be producing statistics, entering data, releasing payments, handling bureau processing and account conciliation. The client is looking for strong communication skills, full understanding of Brokasure system and ideally control experience. "	"London, UK"	"Finance"	"£28k - £31k per annum"	"IPS"	"Clare Aldrich "	"JS-137950"	"03/12/2018 15:57:34"	"http://www.jobserve.com/GlQ5M"	NA	NA	NA	NA
"Senior Data Analyst/Consultant - SQL/Tableau"	"£40k - £50k per annum"	"London"	"Permanent"	"Senior Data Analyst/Consultant - SQL/Tableau"	"London - £40k - £50k per annum"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Senior Data Analyst/Consultant - SQL/Tableau This is a fantastic opportunity to join an innovative mobile technologies organisation, currently going through an exciting expansion period, working closely with some of their global clients and providing them with vital data statistics! Our client are looking for a talented individual to join their team and support numerous data and analytic solutions for clients, including world-renowned international mobile operators.The chosen candidate will perform a range of data and consultancy tasks, working closely with new and existing clients and relevant teams within the business to ensure clients achieve their business objectives. It will be your responsibility to manage the delivery of analytics and reporting solutions, covering database design and development, statistical analysis, customer analytics, predictive modelling, visualisation, reporting design and reporting production. Additionally you will manage deliverables  within timescales and budgets in areas such as segmentation, correlations, decision trees, churn predictions, propensity models and dashboards, as well as responding to any information, data or insight requests. You will also be tasked with coaching and mentoring a junior member of staff, as well as monitoring their performance level and ensuring they are producing efficient reporting and modelling services. As well as developing new techniques and models to increase effectiveness, you will also build dashboard solutions and data strategies, tests, experiments and marketing campaigns. Please note: this role may include some occasional travel between international sites. To be considered for the role, you will need the following skills and/or experience:  At least 5 years' experience in a similar role   Previous experience as a senior member of a data science/analytics team   Strong hands-on SQL and Tableau experience   Strong communication skills   Experience within the telecoms or communications sector would be very beneficial  Qualserv Consulting Ltd is acting as a Recruitment Consultancy/Employment Agency in relation to this vacancy and advert. Qualserv Consulting is an Equal Opportunities Employer. Key words: data, analytic, analytics, analyst, consultant, consulting, consultancy, solutions, strategies, services, mobile, technology, operators, telco, telecommunications, telecoms, data-driven, customer acquisition, segmentation, customer lifetime value, customer retention, propensity modelling, churn, purchasing, platform, database, design, development, statistical, visualisation, reporting, report, predictive modelling, correlations, decision trees, information, insight, info, initiatives, workstream, stakeholders, clients, telecom, SQL, Tableau, MSSQL"	"London, UK"	"IT, Sales and Marketing, Consulting"	"£40k - £50k per annum"	"Qualserv Consulting"	"Robert Pask"	"JSBIBB0043 ANALYST"	"30/11/2018 15:47:07"	"http://www.jobserve.com/GkqON"	NA	NA	NA	NA
"Quantitative Researcher (Machine Learning, NLP, Stat Inference)"	"£125k - £150k per annum + bonus"	"London"	"Permanent"	"Quantitative Researcher (Machine Learning, NLP, Stat Inference)"	"London - £125k - £150k per annum + bonus"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Quantitative Researcher (Machine Learning, NLP, Stat Inference)We are looking for a Quantitative Researcher (Machine Learning, NLP, Stat Inference) to join our world leading research company; helping us to predict the future of financial markets.If you enjoyed the style of working in academia but also like the idea of working for one of the largest research companies in the world, this could be the right step for you. As a Quantitative Researcher, you would be working on a variety of different areas like Neural Networks, Deep Learning, Bayesian statistics, approximate inference, Time-Series forecasting and probabilistic models. You would be working in a small team of Quantitative Researchers on dedicated projects enjoying flexible working hours and a lot of freedom regarding you research.What we can offer a Quantitative Researcher the following:The chance to work for a leading research companyFlexible working hours, the freedom to work on your projects the way you prefer, a great company culture and exceptional team spiritThe chance to work on exciting real-world problems within Machine LearningA chance to visit the leading conferences in Machine Learning (NIPS, ICML) and the opportunity to publish your own papersBeing a part of a small team of Quantitative Researchers with the chance to enjoy an exceptional working environment including team events, team building activities and a dedicated open working spaceRelocation package and visa sponsorship supplied for the right candidateKey Skills: Quantitative Researcher, Quantitative Researcher, ML, Artificial Intelligence, AI, Finance, Neural Networks, Python, Gaussian Process, Bayesian Inference, Time-Series, Multi-Agent Systems, Deep Learning, Reinforcement Learning, Probabilistic Models, Approximate Inference, Neural Networks, Natural Language Processing, Markov Models, Signal Processing, Computational Statistics, Econometrics, Mathematical Modelling"	"London, UK"	"IT"	"£125k - £150k per annum + bonus"	"Understanding Recruitment"	"Mat Ferdenzi "	"JS-BBBH1522"	"03/12/2018 05:00:51"	"http://www.jobserve.com/GlHh4"	"ASAP"	NA	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	"Executive"
