"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"category"	"company_summary"	"duration"
"Finance Data Scientist"	"Negotiable"	"London"	"Permanent"	"Finance Data Scientist"	"London - Negotiable"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Finance Data Scientist Senior Consultant - Manager As a Data Scientist within the Digital Finance Enablement team, you will be at the forefront of innovative cloud enabled analytics solutions in response to the most significant challenges faced by the Finance functions of our strategic global clients.  Responsibilities will include: Identify opportunities, design and assess Finance analytics solutions, for example using machine learning to support cost categorisation, or predictive modelling and forecasting supported by Big Data and Elastic Compute Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations Develop comprehensive understanding of Finance data structures and metrics Define schemas to store the data in Cloud data warehouses for analytics, including Big Query and Redshift Interact cross-functionally with a wide variety of people and teams Make business recommendations (eg cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information Ability to effectively prioritise, estimate, plan and delegate workload to meet deadlines Being a strong team player Strong verbal, written and presentation skills Location: London with occasional domestic and international travel Suggested work pattern: Permanent full-time Your professional experience Minimum qualifications: Degree in a quantitative discipline (eg, statistics, operations research, bioinformatics, economics, computational biology, computer science, mathematics, physics, electrical engineering, industrial engineering) +2 years of relevant work experience in data analysis or related field. (eg, as a statistician/data scientist/computational biologist/bioinformatician) Experience with statistical software (eg, R, Julia, MATLAB, pandas) and database languages (eg, SQL) Preferred qualifications: +3 years of relevant work experience (eg, as a statistician/computational biologist/bioinformatician/data scientist), including deep expertise and experience with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods.  Recognised Professional Accounting qualification and/or experience working within a Finance function and Finance data role Applied experience with machine learning on large datasets. Experience articulating business questions and using mathematical techniques to arrive at an answer using available data. Experience translating analysis results into business recommendations. Demonstrated skills in selecting the right statistical tools given a data analysis problem. Demonstrated effective written and verbal communication skills. Demonstrated leadership and self-direction. Demonstrated willingness to both teach others and learn new techniques. Experience in consulting or professional services "	"London, UK"	"IT, Finance, Consulting"	"ASAP"	"Negotiable"	"Next Ventures Ltd"	"Michael Kwakye "	"JS"	"07/12/2018 07:06:59"	"http://www.jobserve.com/Gjik1"	NA	NA	NA
"Data Scientist - London"	"75k"	"London"	"Permanent"	"Data Scientist - London"	"London - 75k"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Great opportunity to work for a new exiting start-up in the heart of London city Requirements Masters degree or equivalent experience in a quantitative field such as Statistics, Computer Science, or Applied Sciences Experience of Machine Learning  Some experience of using Python Experience of running scientific experiments Benefits Be part of a growing technology startup company Collaborative, flexible and friendly environment Competitive salary, share options and bonus 25 days holiday Flex working  Training budget, healthcare and a pension plan with employer contributions, childcare voucher scheme, cycle to work scheme "	"London, UK"	"IT"	"01/01/2019"	"75k"	"Tribal Solutions"	"Troy Woods "	"JSDATASCI_LONDON"	"06/12/2018 16:18:23"	"http://www.jobserve.com/GlyJp"	"Graduate, Executive"	NA	NA
"Technician - Lloyd's Broker"	"£28k - £31k per annum"	"London"	"Permanent"	"Technician - Lloyd's Broker"	"London - £28k - £31k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Lloyd's Broker are seeking a Technician to join their city based team to with knowledge of Brokasure and experience in processing claims and premiums. You'll be producing statistics, entering data, releasing payments, handling bureau processing and account conciliation. The client is looking for strong communication skills, full understanding of Brokasure system and ideally control experience. "	"London, UK"	"Finance"	NA	"£28k - £31k per annum"	"IPS"	"Clare Aldrich "	"JS-137950"	"03/12/2018 15:57:34"	"http://www.jobserve.com/GlQ5M"	NA	NA	NA
"Test Analyst"	"£350 - £400 per day"	"London"	"Contract"	"Test Analyst"	"London - £350 - £400 per day"	"Contract"	"Posted: Friday, 7 December 2018"	""	"Location: London (City)Role: Test Analyst, £400/dayMy client, one of the most renowned Investment Banks globally, just released a new Test Analyst contract, paying up to £400/day.Skills RequiredWorking knowledge of statistics and data analysis for testing purposesGood understanding of SQL server for interrogating databasesExperience in using QTP/UFT (Unified Functional Testing)MS SQL queriesHP ALM (Quality centre)Bonus Skill (Not Essential)Experience working with Basel regulationsMorgan McKinley is acting as an Employment Business in relation to this vacancy.Please note that any references to salary or pay rates in this advertisement and in the salary refinement section are indicative only and should only be used as a guide."	"London, UK"	"IT"	NA	"£350 - £400 per day"	"Morgan McKinley UK"	"Augustas Pavilionis "	"JS-BBBH716574"	"07/12/2018 16:49:40"	"http://www.jobserve.com/Gl6qL"	NA	NA	NA
"Quantitative Researcher (Machine Learning, NLP, Stat Inference)"	"£125k - £150k per annum + bonus"	"London"	"Permanent"	"Quantitative Researcher (Machine Learning, NLP, Stat Inference)"	"London - £125k - £150k per annum + bonus"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Quantitative Researcher (Machine Learning, NLP, Stat Inference)We are looking for a Quantitative Researcher (Machine Learning, NLP, Stat Inference) to join our world leading research company; helping us to predict the future of financial markets.If you enjoyed the style of working in academia but also like the idea of working for one of the largest research companies in the world, this could be the right step for you. As a Quantitative Researcher, you would be working on a variety of different areas like Neural Networks, Deep Learning, Bayesian statistics, approximate inference, Time-Series forecasting and probabilistic models. You would be working in a small team of Quantitative Researchers on dedicated projects enjoying flexible working hours and a lot of freedom regarding you research.What we can offer a Quantitative Researcher the following:The chance to work for a leading research companyFlexible working hours, the freedom to work on your projects the way you prefer, a great company culture and exceptional team spiritThe chance to work on exciting real-world problems within Machine LearningA chance to visit the leading conferences in Machine Learning (NIPS, ICML) and the opportunity to publish your own papersBeing a part of a small team of Quantitative Researchers with the chance to enjoy an exceptional working environment including team events, team building activities and a dedicated open working spaceRelocation package and visa sponsorship supplied for the right candidateKey Skills: Quantitative Researcher, Quantitative Researcher, ML, Artificial Intelligence, AI, Finance, Neural Networks, Python, Gaussian Process, Bayesian Inference, Time-Series, Multi-Agent Systems, Deep Learning, Reinforcement Learning, Probabilistic Models, Approximate Inference, Neural Networks, Natural Language Processing, Markov Models, Signal Processing, Computational Statistics, Econometrics, Mathematical Modelling"	"London, UK"	"IT"	"ASAP"	"£125k - £150k per annum + bonus"	"Understanding Recruitment"	"Mat Ferdenzi "	"JS-BBBH1522"	"03/12/2018 05:00:51"	"http://www.jobserve.com/GlHh4"	"Executive"	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	NA
"QA Test Engineer Android"	"£55k-£65k per annum"	"London"	"Permanent"	"QA Test Engineer Android"	"London - £55k-£65k per annum"	"Permanent"	"Posted: Wednesday, 5 December 2018"	""	"QA Test Engineer - Start UpQA Test Engineer! Working with a leading global games studio, who require a forward thinking, proactive engineer to work within their markting function, where you will be joining a collaborative agile team and working closely with the developers to deliver new features, in line with business requirements to increse growth across their online games.You will write, execute and maintain test cases using mainly manual techniques but with a view to automation; you will introduce more automation as the role progresses. You'll take ownership of testing desktop, mobile and APIs, working with developers to ensure that tests written provide good coverage and keep track of bug statistics. Requirements:Strong experience of writing, executing and maintaining test cases for both desktop and mobile devicesExperience with test case management tools such as TestRailAbility to understand the system architecture and identify the areas that needs to be testedISTQB certification in Software Testing or similarEager to further your test automation skillsExcellent communication skills and good collaboratorAs a QA Test Engineer you will be joingin a friendly environment, working from an excellent Central London offices with breakout areas, pool table, console games, fully stocked kitchen, flexible working hours, competitive salary plus bonus and benefits.QA Test Engineer"	"London, UK"	"IT"	NA	"£55k-£65k per annum"	"Oliver Bernard"	"Dilan Shrimpton "	"JS-2312"	"05/12/2018 16:02:11"	"http://www.jobserve.com/Gloy5"	NA	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."	NA
"QA Test Engineer (Start Up)"	"£55k - £65k per annum"	"London"	"Permanent"	"QA Test Engineer (Start Up)"	"London - £55k - £65k per annum"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"QA Test Engineer - Start UpQA Test Engineer! Working with a leading global games studio, who require a forward thinking, proactive engineer to work within their markting function, where you will be joining a collaborative agile team and working closely with the developers to deliver new features, in line with business requirements to increse growth across their online games.You will write, execute and maintain test cases using mainly manual techniques but with a view to automation; you will introduce more automation as the role progresses. You'll take ownership of testing desktop, mobile and APIs, working with developers to ensure that tests written provide good coverage and keep track of bug statistics. Requirements:Strong experience of writing, executing and maintaining test cases for both desktop and mobile devicesExperience with test case management tools such as TestRailAbility to understand the system architecture and identify the areas that needs to be testedISTQB certification in Software Testing or similarEager to further your test automation skillsExcellent communication skills and good collaboratorAs a QA Test Engineer you will be joingin a friendly environment, working from an excellent Central London offices with breakout areas, pool table, console games, fully stocked kitchen, flexible working hours, competitive salary plus bonus and benefits.QA Test Engineer"	"London, UK"	"IT"	NA	"£55k - £65k per annum"	"Oliver Bernard"	"Dilan Shrimpton "	"JS-2312"	"04/12/2018 11:34:41"	"http://www.jobserve.com/GlZpO"	NA	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."	NA
"Senior Data Engineer"	"£70k - £75k per annum"	"London"	"Permanent"	"Senior Data Engineer"	"London - £70k - £75k per annum"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"My client, a large Investment Bank in London are seeking a Senior Data Engineer to carry out various duties such as design, construct, test, install and maintain highly scalable data management systems eg, Big data, Spark, etc. You will also Create ETL script for sourcing and connecting data from structured and unstructured database.Please apply if you have the above skill set:Strong experience in any of the following: Python, C/C++ Java, Perl, MatLab, SAS, R relevant data visualisation tools.ETL Scripting for Hadoop-based technologies experience.Strong knowledge of Big Data stack such as Hadoop or Hortonworks, NoSQL.Banking/Financial services experience.Post Graduate qualifications (quantitative MSc/PhD) in Statistics, Applied Mathematics, Econometrics, Electronic Engineering or any other relevant quantitative discipline.Please apply if you have the above skill set.McGregor Boyall is an equal opportunity employer and do not discriminate on any grounds. "	"London, UK"	"IT"	"ASAP"	"£70k - £75k per annum"	"McGregor Boyall"	"Joshua Hart-Bayfield "	"JS-BBBH144310"	"07/12/2018 08:51:51"	"http://www.jobserve.com/Gl2hh"	NA	"About McGregor Boyallwww.mcgregor-boyall.com/McGregor Boyall is one of the UK's leading financial services recruitment firms. We have been established for over a quarter of a century and have built an unrivalled reputation for helping organisations recruit the very best talent to ensure that they realise their business and operational objectives. We deliver recruitment solutions for contract, interim and permanent positions across the following areas: Accounting & Control | IT & Change | Compliance | Finance | Marketing & Communications |  Risk | HR and Talent Management | Business Intelligence |   "	NA
"Data Scientist/Statistical Quant Mathematician - Contract"	"£450-£550 Per Day + Free Parking"	"High Wycombe, Buckinghamshire"	"Contract"	"Data Scientist/Statistical Quant Mathematician - Contract"	"High Wycombe, Buckinghamshire - £450-£550 Per Day + Free Parking"	"Contract"	"Posted: Monday, 3 December 2018"	""	"Data Scientist/Quant Mathematician - Statistical/Datamodelling | £450 - £550 Per Day High Wycombe. HP11 £450 - £550 per day + Free Parking (6 Month Contract ongoing) Experience using C++ or Python is highly regarded, although Matlab & R experience will also be considered. Company:  We are a leading producer of form and data related applications for the horse racing industry. With our head office based in Sydney, Australia, we are expanding our UK presence with a view to trading the global markets.Position Summary: Working with some of the best mathematics and stats minds in the industry in a small and focused team environment, you will work on challenging and rewarding modelling projects.To be considered for this role you will have the following: + A strong background in mathematical and statistical modelling + Previous experience working as a Quant Analyst, Data Analyst, Data Scientist or Big Data Analyst - desirable + Masters or PhD in maths/statistics/machine learning/econometrics essential. + Experience using C++ or Python is highly regarded, although Matlab & R experience will also be considered. + Strong algorithmic coding skill and solid knowledge of data structures + Experience with statistical forecasting essential.  + Understanding of machine/statistical learning techniques such as non-linear regression, Kernel regression, support vector machines (SVM), neural networks, classification trees and similar techniques very beneficial. + Experience working within the horse racing/wagering industry highly desirable This is a great opportunity for someone passionate about maths and stats to have their ideas put into practice. You may have worked in the following capacities:Data Modeller, Statistical Modelling, Big Data Analyst, Banking, Finance, Gambling/Gaming Sector, Statistical Modelling Application notice... We take your privacy seriously. When you apply, we shall process your details and pass your application to our client for review for this vacancy only. As you might expect we may contact you by email, text or telephone. Your data is processed on the basis of our legitimate interests in fulfilling the recruitment process. Please refer to our Data Privacy Policy & Notice on our website for further details.  If you have any pre-application questions please contact us first quoting the job title & ref. Good luck, Team RR."	"High Wycombe, Buckinghamshire, UK"	"IT"	NA	"£450-£550 Per Day + Free Parking"	"RecruitmentRevolution.com"	"Team RR "	"JS12061"	"03/12/2018 23:27:26"	"http://www.jobserve.com/GlUN0"	NA	"About RecruitmentRevolution.comwww.recruitmentrevolution.com/In 2005 our founders (two candidates just like you) had a crazy idea to challenge an industry stuck in its ways. They ripped up the rule book, stripped away the pushy sales, schmooze and high fees to deliver an agency experience that makes everyone feel just that little bit happier. Since then we have gone on to become the leading authority in our space and the go-to talent finders for over 2500 awesome Start-Ups to Global Brands.We work with clients across the spectrum of IT roles – ranging from Web Development, Software Engineering and Dev Ops to 1st Line Support, IT Managers right through to CTO level."	NA
"Machine Learning Research Engineer"	"£60k - 90k per year + Equity"	"Greater London, England"	"Permanent"	"Machine Learning Research Engineer"	"Greater London, England - £60k - 90k per year + Equity"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"An extremely exciting and award winnig London based machine learning start-up are looking for a Machine Learning Research Engineer to join their team on a permanent basis. The company specialises in making sense of unstructured data, using cutting edge machine learning, NLP and deep learning techniques. This Machine Learning Research Engineer position is ideal for someone who comes from a strong software development background having more recently transitioned into a machine learning engineer role or a software engineer with a passion for machine learning and a number of relevant personal projects.This is an opportunity to join a very exciting company as they begin growing exponentially, working with researchers from the worlds top universities.Essential Requirements:MSc or PhD in Computer Science, Machine Learning or similar field from a top universityExtensive software development experience in a variety of languages (Rust or Golang are preferred)In depth knowledge of statistics, probability and linear algebraPython proficiencyExperience with deep learning frameworksNLP processing experienceUnfortunately sponsorship cannot be provided for this position, therefore you must be eligible to work in the UK without sponsorship to be considered. The salary bracket for this role is £60,000 to £90,000 per annum plus equity Dependent on your experience level and they are looking to get the successful candidate started ASAP with interviews starting on Monday 10th December. If this role seems like it is of interest to you and you fit the requirements for the role please apply today by sending your CV to (see below) or call Luke for further details."	"Greater London, England, UK"	"IT"	NA	"£60k - 90k per year + Equity"	"X4 Group"	"Luke Tomaszko "	"JSMCHLRENG"	"04/12/2018 16:55:39"	"http://www.jobserve.com/GlcMQ"	NA	"About X4 Groupwww.x4technology.co.ukX4 Technology is an industry leading specialist recruitment business for the tech sector. We are part of the X4 Group, one of the fastest growing and most successful recruitment businesses, with over 10 years of experience in successfully placing mid to senior level contract and permanent professionals across the globe.Cyber Security Big Data Machine Learning & Data Science Business IntelligenceDevOps & Infrastructure Embedded Software Engineering Hardware & Electronics Java Development .Net Technologies Senior IT AppointmentsTestingPHP, Opensource & Ruby on RailsFront End TechnologiesSpecialist JavaScriptBusiness Development SEO, PPC & Analytics Marketing Fintech, Banking & Finance"	NA
