"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"duration"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"category"	"company_summary"
"Statistics Officer"	"Up to £21 per hour + INSIDE IR35"	"West London"	"Contract"	"Statistics Officer"	"West London - Up to £21 per hour + INSIDE IR35"	"Contract"	"Posted: Wednesday, 12 December 2018"	""	"ESSENTIALKNOWLEDGE, SKILLS & ABILITIES *Excellent IT skills across a range of database and statistical applications, including MS Excel, Business Objects and SQL (or similar).*Ability to review guidance and legislation and to develop appropriate systems to support the requirements/changes and deliver the associated performance reporting.*Ability to produce high quality and sophisticated charts, graphs and tables presenting the results of statistical analyses of data in a clear manner for a range of audiences.*Strong analytical skills, understanding of quantitative analysis techniques and the ability to research, understand and interpret written and statistical information.*Ability to communicate effectively both orally and in writing to a range of audiences, including some at a senior level*Ability to manage own workload and projects, organise and prioritise work, meet conflicting deadlines and targets and to work on own initiative*Ability to work as a member of a team and in close relationship with a wide range of colleagues*Capacity to learn new systems quickly and effectivelyEssential experience:*Experience of the following:*Using computer software to produce complex statistical analyses and high quality tables, graphs and reports - including MS Excel, MS Word, SQL, Business Objects (or similar)*Using computer software to automate the production of statistical reports*Applying complex statistics to manipulate and analyse large-scale data sets*Presenting the findings of research and analysis in reports and presentationsSpring acts as an employment agency for permanent recruitment and an employment business for the supply of temporary workers. The Spring Group UK is an Equal Opportunities Employer.By applying for this role your details will be submitted to Spring. Our Candidate Privacy Information Statement explains how we will use your information "	"West London, UK"	"IT"	"3 Month"	"ASAP"	"Up to £21 per hour + INSIDE IR35"	"Spring Technology"	"Alex Woodrow"	"JS-SO01"	"12/12/2018 11:48:17"	"http://www.jobserve.com/Gm6Gd"	NA	NA
"Data Analyst \ scientist \ Statistics \ Compliance; Bank, compliance, Anti Financial crime, AML, KYC"	"Up to £550 per Day"	"London"	"Contract"	"Data Analyst \ scientist \ Statistics \ Compliance; Bank, compliance, Anti Financial crime, AML, KYC"	"London - Up to £550 per Day"	"Contract"	"Posted: Monday, 10 December 2018"	""	"Data Analyst/scientist/Statistics/Compliance; Bank, compliance, Anti Financial crime, AML, KYC Essential skills and experience Our expectation is that the sanctions monitoring workstream will require data analysis/data science, statistics and record matching skills: Experience with compliance databases such as BVD, Worldcheck, LegalKey, etc. Experience with PEPs, sanctions and negative media screening. Data matching: entity resolution, fuzzy matching, duplicate detection, etc. Cloud computing  Nice-to-have skills and experience  Our expectation is that the sanctions monitoring workstream will require data analysis/data science, statistics and record matching skills: Solid understanding of UK and European money laundering regulations, initiatives and directives Exposure to anti financial-crime work within a UK-regulated bank and proven experience of AML/KYC requirements. Experience collaborating with 3rd party vendors "	"London, UK"	"IT"	"12 to 24 months"	"Jan 2019"	"Up to £550 per Day"	"Vesta Consulting Limited"	"Goutham Rajendran"	"JSDATACOMPLIANCE"	"10/12/2018 19:25:19"	"http://www.jobserve.com/GmmH6"	"Public Sector"	NA
"Data Scientist/Analyst ( statistics ) - London - 3-24 months"	"Up to £575 per Day"	"City of London"	"Contract"	"Data Scientist/Analyst ( statistics ) - London - 3-24 months"	"City of London - Up to £575 per Day"	"Contract"	"Posted: Wednesday, 12 December 2018"	""	"A government organisation based in London, E20 is looking for a Data Scientist/Analyst to be part of a number of pilots on the use of data science focused on assessing firm effectiveness at detecting financial crime. The successful candidate will support the Pilot/POC build of a customizable transactions data simulator, initially for creating a specific type of transaction, create taxononmy & database of data (internal and external) to identify firm risk and customisation tool to generate data as well as testing sanction screening toolsThis will be a contract role for initially 3 months with option to extend up to 24 months, is paying up to £575 per day and will require candidates to start no later than Thursday 7th February, however looking for applications to be processed immediately - deadline for applications: Monday 24th December.In order to be suitable for this role you must proven experience in a Data Scientist/Analyst role as well as the following essential criteria:*Willing to undertake SC clearance*Data analysis/data science, statistics and record matching skills*Experience with compliance databases such as BVD, Worldcheck, LegalKey, etc.*Experience with PEPs, sanctions and negative media screening.*Data matching: entity resolution, fuzzy matching, duplicate detection, etc.*Cloud computingAny experience of the following will be considered highly beneficial, but are not essential:*Solid understanding of UK and European money laundering regulations, initiatives and directives*Exposure to anti financial-crime work within a UK-regulated bank and proven experience of AML/KYC requirements.*Experience collaborating with 3rd party vendorsIf you would like to apply for this Data Analyst role please ensure that you include all relevant skills and experience to stand the best chance of securing an interview. Please send a WORD CV indicating reference number ASHD8536JH in the subject line of your email.The Ashdown Group Ltd acts as an employment agency in respect of permanent vacancies and as an employment business in respect of temporary vacancies."	"City of London, UK"	"IT"	"3-24 months"	"07/02/2019"	"Up to £575 per Day"	"Ashdown Group"	"Jon Heard "	"JS-ASHD8536JH"	"12/12/2018 13:33:18"	"http://www.jobserve.com/Gm6wS"	NA	NA
"Finance Data Scientist"	"Negotiable"	"London"	"Permanent"	"Finance Data Scientist"	"London - Negotiable"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Finance Data Scientist Senior Consultant - Manager As a Data Scientist within the Digital Finance Enablement team, you will be at the forefront of innovative cloud enabled analytics solutions in response to the most significant challenges faced by the Finance functions of our strategic global clients.  Responsibilities will include: Identify opportunities, design and assess Finance analytics solutions, for example using machine learning to support cost categorisation, or predictive modelling and forecasting supported by Big Data and Elastic Compute Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations Develop comprehensive understanding of Finance data structures and metrics Define schemas to store the data in Cloud data warehouses for analytics, including Big Query and Redshift Interact cross-functionally with a wide variety of people and teams Make business recommendations (eg cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information Ability to effectively prioritise, estimate, plan and delegate workload to meet deadlines Being a strong team player Strong verbal, written and presentation skills Location: London with occasional domestic and international travel Suggested work pattern: Permanent full-time Your professional experience Minimum qualifications: Degree in a quantitative discipline (eg, statistics, operations research, bioinformatics, economics, computational biology, computer science, mathematics, physics, electrical engineering, industrial engineering) +2 years of relevant work experience in data analysis or related field. (eg, as a statistician/data scientist/computational biologist/bioinformatician) Experience with statistical software (eg, R, Julia, MATLAB, pandas) and database languages (eg, SQL) Preferred qualifications: +3 years of relevant work experience (eg, as a statistician/computational biologist/bioinformatician/data scientist), including deep expertise and experience with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods.  Recognised Professional Accounting qualification and/or experience working within a Finance function and Finance data role Applied experience with machine learning on large datasets. Experience articulating business questions and using mathematical techniques to arrive at an answer using available data. Experience translating analysis results into business recommendations. Demonstrated skills in selecting the right statistical tools given a data analysis problem. Demonstrated effective written and verbal communication skills. Demonstrated leadership and self-direction. Demonstrated willingness to both teach others and learn new techniques. Experience in consulting or professional services "	"London, UK"	"IT, Finance, Consulting"	NA	"ASAP"	"Negotiable"	"Next Ventures Ltd"	"Michael Kwakye "	"JS"	"07/12/2018 07:06:59"	"http://www.jobserve.com/Gjik1"	NA	NA
"Data Scientist"	"£230 - £280 per Day"	"Central London"	"Contract/Permanent"	"Data Scientist"	"Central London - £230 - £280 per Day"	"Contract/Permanent"	"Posted: Monday, 10 December 2018"	""	"Job Title: Data ScientistLocation: Central LondonSalary: £230 - £280Employment: Day rateAbout The Data Science Company:The organisation is an established financial brand who operate deep within the investment markets and who are now on a journey to build out their Data Science team. This new Data Scientist hire will not only add commercial value to this market leader, but they will also help steer private equity clients investment decisions through the information they generate for the investment team. They are conveniently located in the heart of London and well placed for an all zone travel commute. Offering a modern business culture, they offer spacious open plan designed offices with a collaborative working approach with their 35 strong investment team. This company is investing Data Science staff and whilst a new team, the Data Scientists at this company will be well supported with additional resources, as they build the next generation of Machine Learning and Data Science models.About The Data Scientist Role:Immersing yourself in Data Science, you will be tasked with assisting this financial Powerhouse to build new quantitative models that determine important perceptions collected from both structured and unstructured data, mixed in with your own important research. At the heart of this Data Science role will be the building of strong analytical predictive programmes, capturing new analytics to develop new investment decisions and direction in addition to:Working collaboratively with relevant teams (including your colleague in the new Data Science team) to achieve the highest resultsUtilise your statistical techniques to their full potentialBe happy immersing yourself in big data where you will need to look for automation to speed up your processing of large data sets that have primary factors that you must unlock to build forecasting modelsUtilise and create Python tools whilst creating documents in LaTeX.Key Responsibilities for the Data Scientist:Collect a wide breath of big data, undertaking market based analysisUse your statistical knowledge to explore this data, clean it and transform it into structured usable dataBuild a model based on previous team examples interfaced with your own toolbox of skillsWork with other team members to test the data demonstrating a clear focus to improve the quality of the findingsCommunicate the findings that will dictate future company productAbout The Successful Data Scientist:The ideal candidate should have:Practical work experience or actual employment in an office setup, however this only needs to be a minimum of three monthsStatistical experience or be a competent general statisticianPost Doc experience or perhaps mentored experience in statistics or any mentored research in the Financial SectorExperience or exposure to the financial sector or investment sector in particular Bank or Clearing house general industry experience would be looked on favourablyShould be PhD qualified and have had their relevant research publishedGeneral strong Computer Science experience is neededA mindset where they can work to deadlines and be able to apply their learnt experience quickly and effectively in a work environmentThe ability and drive to work from a blank canvas, where you will be dealing in very large Big Data, and creating models to deal with itStrong Python programming skills are a must as you will be building models to support the investment team in their key future financial decisionsGood communication and presentation skills as you will form part of the investment team, engaging with them regularlyThe passion to learn from an accomplished Data Scientist in a team of two.The tenacity to hit the ground running picking up all hands-on and ad-hoc work tasks, applying and focusing on the application of mathematical and statistical methods to financial investment problemsEssential Skills and Competencies of the Data Scientist:Strong experience of using the Python programming languageA well rounded knowledge of SQLMSc or PhD Mathematics, Physics, Economics, Computer Science, Statistics or similar quantitative based degreeMinimum of 3 months practical work experience or proven interim experience.Strong and confident communication/presentation skillsThis role would ideally suit a recent PhD graduate looking for their first stepping stone into the Data Science industry.For more information about this Data Scientist role or to apply send your CV now to Steve. Please email (see below) Reuben Sinclair are a multi award winning recruitment company including: UK's Best Recruitment Consultant, UK's Best Specialist Recruitment Agency, UK's Best Agency Side Recruiter, One of only 30 UK Hyper Growth companies, UK's Most Innovative Recruitment Company, UK's Most Innovative Recruiter, UK's Best Agency Side Recruiter, UK's Best Agency Side RecruiterWe specialise in delivering recruitment solutions for complete brand engagement: Data, Digital, Sales, Marketing and PR working with some of the most innovative, entrepreneurial and award winning companies across industry.Keywords: Data Scientist, Senior Data Scientist, Lead Data Scientist, Head of Data Science, Data Analyst, Statistics, Programming, Machine Learning, Text Mining, Data Visualization, Big Data, Data Ingestion, Data Munging, Toolbox, Natural Language, Processing "	"Central London, UK"	"IT"	"Temp-to-perm"	NA	"£230 - £280 per Day"	"Reuben Sinclair"	"Steve Woodward "	"JS-SW - 007 - 1204"	"10/12/2018 10:54:44"	"http://www.jobserve.com/GmhQg"	NA	NA
"Senior Clinical Systems Analyst (SCISA)"	"£38k - £55k per annum"	"London"	"Permanent"	"Senior Clinical Systems Analyst (SCISA)"	"London - £38k - £55k per annum"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"Senior Clinical Systems Analyst/SCISA - IT Background - Medical Imaging Applications - ePR- PACS - CVIS - RIS - VNA - Project Management/Delivery - Full Project Lifecycle - System Workflow Statistics - London - Private Hospitals/ClinicsFor my Client, award-winning private hospitals, specialist clinics, outpatients and diagnostics centres and private GP services spread across London and Manchester, I am looking for experienced Senior Clinical Systems Analyst (SCISA) to work in their London business. The Senior Clinical Imaging Systems Analyst serves as a key resource for the delivery, implementation and support of clinical imaging applications within our facilities. This position ensures continuity and alignment of the organisations cardiovascular and radiology imaging systems and services direction and plans with facility needs.Keys skills of what we are looking for:* Min. 3-5 years of experience* Thorough understanding of department workflows* Experience in full project life cycle* Working knowledge of computer based medical imaging applications; integration of ePR, PACS, CVIS, RIS and VNA* Working knowledge of PACS fundamentals* Experience in project delivery and project management (ideally PRINCE2 or Agile)* Staying abreast of latest medical imaging application developments* Strong people skills* Strong written, verbal, and presentation skillsMain Responsibilities:* Ensuring service levels proactively meet or exceed corporate and division requirements and service level agreements with key stakeholders and vendors* Serving as a key remote and onsite IT resource for the implementation and support of medical imaging applications and devices across our facilities.* Administering and supports enterprise VNA, PACS, CVIS PACS, and technical medical imaging interfaces and related technologies (eg voice recognition).* Ensuring clinical imaging system design, interface functionality, and clinical processes are coordinated and functioning effectively.* Building strong relationships at the facility with core customer base for medical imaging applications.If you think you are the right Candidate for this role, and would like immediate feedback on your CV please don't hesitate to apply ASAP."	"London, UK"	"IT"	NA	"ASAP"	"£38k - £55k per annum"	"Harvey Nash IT Recruitment UK"	"Malgorzata Maywald "	"JS-353259/001"	"12/12/2018 14:30:27"	"http://www.jobserve.com/Gm7TU"	NA	"About Harvey Nash IT Recruitment UKwww.harveynash.comWelcome to Harvey Nash, a global professional recruitment consultancy and IT outsourcing service provider.We cover roles that include .net, Java, PHP, Perl, Business Analysts, Project Managers, HR, development, infrastructure, risk, support, software engineers, C# and C++ amongst others.We operate from over 40 offices covering the USA, Europe and Asia. Our talented professionals pursue the highest levels of integrity and quality in providing a unique portfolio of services: executive search, interim management, IT and finance recruitment and IT outsourcing."
"Spotfire Developer/Programmer"	""	"Uxbridge"	"Contract"	"Spotfire Developer/Programmer"	"Uxbridge"	"Contract"	"Posted: Tuesday, 11 December 2018"	""	"Spotfire Developer/Programmer - 12 months - UxbridgeGlobal FMCG is looking for an experienced Spotfire Developer/Programmer.Experience Required: - BA/BSc or higher in computer science, data science, natural science (eg chemistry), mathematics, statistics, or IT related discipline - Proven Data Visualisation Platform Experience: Spotfire (highly preferred), Tableau, Cognos, Business Objects or other relevant graphical platform - Proven Experience in an IT related area - Proven ability to manage conflicting demands and priorities and to negotiate successfully - Proven ability to translate business function needs into documentable, communicable, and programmable requirements - Knowledge of basic computer skills (MS Word, Excel, PowerPoint, Outlook). Excellent written and verbal communication skills - Demonstrated knowledge of and experience in the application of CDISC data and standards - Demonstrated ability to manage the outsourcing or externalisation of Data Visualisations/IT Deliverables in the clinical trials setting (eg, working with CROs, academic institutions) - Demonstrated direct interaction with clinical study team members of a consistently successful nature Spring acts as an employment agency for permanent recruitment and an employment business for the supply of temporary workers. The Spring Group UK is an Equal Opportunities Employer.By applying for this role your details will be submitted to Spring. Our Candidate Privacy Information Statement explains how we will use your information "	"Uxbridge, UK"	"IT"	"12 months"	"ASAP"	NA	"Spring Technology"	"Krupali Patel "	"JS-KP240118SP"	"11/12/2018 11:34:08"	"http://www.jobserve.com/Gmtr5"	NA	NA
"Data Scientist - London"	"75k"	"London"	"Permanent"	"Data Scientist - London"	"London - 75k"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Great opportunity to work for a new exiting start-up in the heart of London city Requirements Masters degree or equivalent experience in a quantitative field such as Statistics, Computer Science, or Applied Sciences Experience of Machine Learning  Some experience of using Python Experience of running scientific experiments Benefits Be part of a growing technology startup company Collaborative, flexible and friendly environment Competitive salary, share options and bonus 25 days holiday Flex working  Training budget, healthcare and a pension plan with employer contributions, childcare voucher scheme, cycle to work scheme "	"London, UK"	"IT"	NA	"01/01/2019"	"75k"	"Tribal Solutions"	"Troy Woods "	"JSDATASCI_LONDON"	"06/12/2018 16:18:23"	"http://www.jobserve.com/GlyJp"	"Graduate, Executive"	NA
"Junior Data Analyst"	"£20 - £21.50 per hour"	"Uxbridge"	"Contract"	"Junior Data Analyst"	"Uxbridge - £20 - £21.50 per hour"	"Contract"	"Posted: Monday, 10 December 2018"	""	"A well-known pharmaceutical organisation is requiring a Junior Data Analyst/Support to join an exciting project focused around staff incentives and bonus schemes. Role is ideal for a graduate who can demonstrate logical thinking and a high level of attention to detail. Experience or just general passion for Maths/Statistics would also be highly beneficial.The role will assist in the delivery of Sales Effectiveness programs and projects to achieve key business objectives including:Sales effectiveness benchmarking, activity planning, sizing/structure and KPI reportingSales bonus and incentive schemes across the businessData warehouse managementVeeva (CRM) new releases, upgrades and internal changes implementationKey Responsibilities:Manage the calculation and verification of sales bonus and incentive programs, adhering to timelines and Global processesProvide support in the deployment/and ongoing business requirements for Business Information systems (including QlikView and Power BI). This will require communication and co-ordination with both local commercial teams and global strategic teamsSupporting the Data Manager in maintaining the quality of data within the local database and any data feeds as requiredProviding analytical support and managing specific processes relating to the projectsActing as a CRM Data Steward for the configuration of Veeva and maintenance of the quality of the data within Veeva (in conjunction with the CRM Data Analyst)Managing or supporting ad-hoc projects and requests for sales and activity data, in a timely mannerHandling queries from Sales and Marketing teams relating to the Business Information systems or data contained withinBack-up cover & support to the CRM (Veeva) Data Analyst when required, - including day to day incident management system ( Remedy] within agreed SLA timelines and working with third party suppliersMinimum Requirements:Degree level qualificationAptitude for programming and logical thinking (SQL programming knowledge preferable)Advanced Excel skillsPossess strong analytical skillsPossess good attention to detailProject co-ordinationWorking effectively as part of a team, taking accountability for own actions and tasks, whilst communicating with othersAbility to be self-directed and work independentlyPrioritise workload to manage multiple ongoing projectsPossess strong organisational skillsExcellent communication skills, both verbal and writtenAbility to establish and maintain effective working relationships with co-workers, managers and stakeholders across varying levels of seniority who may be based outside the UKContract until December 2019 initially, paying up to £21.50 per hour LTD/Umbrella (Based on a 37.5 hour week).Networkers acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers and is part of Gattaca Plc. Gattaca Plc provides support services to Networkers and may assist with processing your application."	"Uxbridge, UK"	"IT"	"11 months"	"02/01/2019"	"£20 - £21.50 per hour"	"Networkers"	"Kirsty Houghton "	"JS-EMP427447"	"10/12/2018 14:46:30"	"http://www.jobserve.com/GmibE"	"Graduate"	NA
"Test Analyst"	"£400 per Day"	"City of London"	"Contract"	"Test Analyst"	"City of London - £400 per Day"	"Contract"	"Posted: Friday, 7 December 2018"	""	"Location: London (City)Role: Test Analyst, £400/dayMy client, one of the most renowned Investment Banks globally, just released a new Test Analyst contract, paying up to £400/day.Skills RequiredWorking knowledge of statistics and data analysis for testing purposesGood understanding of SQL server for interrogating databasesExperience in using QTP/UFT (Unified Functional Testing)MS SQL queriesHP ALM (Quality centre)Bonus Skill (Not Essential)Experience working with Basel regulationsMorgan McKinley is acting as an Employment Business in relation to this vacancy.Please note that any references to salary or pay rates in this advertisement and in the salary refinement section are indicative only and should only be used as a guide."	"City of London, UK"	"IT"	NA	NA	"£400 per Day"	"Morgan McKinley UK"	"Augustas Pavilionis "	"JS-BBBH716574"	"07/12/2018 16:49:40"	"http://www.jobserve.com/Gl6qL"	NA	NA
