"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"category"
"Quality Assurance Manager"	"£35k - 45k per annum"	"Oxford, Oxfordshire"	"Permanent"	"Quality Assurance Manager"	"Oxford, Oxfordshire - £35k - 45k per annum"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Quality Assurance Manager | Oxford | £35,000 - £45,000A Client of mine is looking for a Quality Assurance and Compliance Manager to join their engineering team in Oxford. Key responsibilities: Implementation of the business quality system to contribute to, and integrate with the organisations business strategyReport to senior management on the performance and effectiveness of the business Quality Management System and the need for improvementsDevelop and implement a communication strategy to improve awareness, ownership and benefits of Quality and Continuous Improvement culture across the entire company. Provide leadership and guidance to a cross functional team of process owners within the business management system to ensure processes remain the most relevant and effective means of managing the businessAct as a consultant and advisor to all application regulatory complianceEstablish audit system and maintenance of ISO9001 and other standards as applicable Required Skills and Experience:Membership of a recognised Quality & CI body - CQI, LCSDegree level qualification, technical or manufacturing preferredProven coach/teacher of quality/compliance behavioursExpert knowledge and experience in applying quality tools and techniquesConversant with a range of industrial and regulatory compliance tools and techniquesAble to lead quality improvements within cross functional teamsCustomer facing skills, able to gain credibility with customers"	"Oxford, Oxfordshire, UK"	"Engineering"	"2018-12-31"	"£35k - 45k per annum"	"Opus Recruitment Solutions Ltd"	"Ryan Widdicombe "	"JSOXFORD"	"10/12/2018 12:07:25"	"http://www.jobserve.com/GmhfG"	NA
"Senior Developer"	"£45k - £55k per annum"	"Reading, Berkshire"	"Permanent"	"Senior Developer"	"Reading, Berkshire - £45k - £55k per annum"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Are you an accomplished developer with a wide breadth of technical know-how? Are you ready to take on the challenge of running a small team? Do you enjoy debate and (friendly) argument as a way to test your knowledge and assumptions? You write code, and you thrive on the challenge of making that code artistic in its simplicity. C# is your language of choice, but you take pride in being able to answer \"probably, yeah\" when someone asks \"I've got this bit of code that doesn't work, can you fix it?\" without having to ask what it's written in. You like neat, orderly separations between layers of code, enjoy the speed boots fluent mappings and ORMs provide but are worldly enough to know they've got their downsides too, and you like the idea of cloud and micro-services but have been around the block enough to know where the traps are. You revel in the freedom to suggest and implement new technologies - but you don't have problems supporting existing code and get your hands dirty with the odd bit of Legacy product. You like the idea of leading a team of developers, but prefer to spend your day in Visual Studio than in Outlook and Excel, and as much as you relish the opportunity to share your knowledge you don't want to be a teacher. You'll lead a small team of developers and QA engineers as a sub-team working on our SaaS product. You'll take part in sprints alongside other teams - spread across the UK, Ireland and Adelaide - and represent your team's work in scrums and scrum-of-scrums with the other TAs. What does the ideal candidate look like? - Excellent Technical skills, with the \"depth\" bit in C#, MVC and enterprise applications and breadth in just about anything tech - Excellent JavaScript skills, including exposure to Bootstrap, knockout, knockback, angular, node or similar and a good understanding of the underlying processes involved in ajax - Excellent SQL skills, including familiarity with query execution plans, optimisations and index maintenance, memory pinned tables and analysis services, reporting services and big-data techniques - A firm belief that code that doesn't have unit tests and automated test suites isn't worth having - Experience on Azure, AWS or similar, including IaaS and PaaS What's in it for you? As well as a competitive salary, pension contributions and holiday allowances, you'll have the opportunity to directly influence both the technology and product roadmap of a growing, ambitious company with some amazing people in it. You'll work alongside experts in a number of fields, and they'll put you through training on the technical tools and platforms (including for Microsoft certifications) as well as in management and organisational effectiveness You'll engage directly with experts from Microsoft and the wider tech sphere, as well as with our customers, and you'll build your own profile and reputation rather than being an anonymous cubicle farm drone. ISL (Incite Solutions Ltd) is acting as an Employment Agency in relation to this vacancy."	"Reading, Berkshire, UK"	"IT"	"07/01/2019"	"£45k - £55k per annum"	"ISL Recruitment"	"James Leech "	"JS-6041"	"07/12/2018 09:14:12"	"http://www.jobserve.com/Gl2tM"	NA
"Recruitment - £100k OTE Year One!"	"£25k - £40k per annum + Benefits"	"Reading, Berkshire"	"Permanent"	"Recruitment - £100k OTE Year One!"	"Reading, Berkshire - £25k - £40k per annum + Benefits"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"I'm kidding, that won't happen. You're actually looking at a first year OTE of £35,000 - £40,000.Here at Austin Fraser, we do recruitment a little differently.Unlike most other agencies, you'll become a specialist. This means you'll cover a very niche market that nobody else within AF will be working, so you won't need to tear someone down to get to the top.So what will you be doing?First, you'll focus on building up a network of exceptional candidates. This will really be the foundation of your recruitment business.From here, you'll be using this network to win new business and clients, both over the phone and face to face.Sound simple?It is, but it's hard work.To achieve your specialist status you will undergo on-the-job training to ensure you're ready to take on the world of recruitment and really own your business. You'll also take part in our apprenticeship scheme, this involves a variety of different learning opportunities to support you in becoming the best recruitment consultant that you can be.A background in sales is certainly ideal for this one, but we appreciate that everybody needs to start somewhere.We don't look for keywords on a CV, you're a real person with a real personality and we want to get to know you!Becoming a Recruitment Consultant with Austin Fraser comes with a host of benefits to make life that little bit sweeter:Unrivalled in-house training programme.Uncapped Commission, meaning massive earning potential!Monthly Lunch Clubs.Holiday Incentives - Vegas, Barcelona and Barbados are just a few recent trips.Discount at selected retail stores.Lifestyle benefits including fitness classes, beauty treatments and free massages.A clear progression structureAll national public bank holidays offQuarterly 5% bonus on 60k+ billings. To save you digging out that calculator from your pocket, you know, the that your teacher said you'd never have... that's an annual bonus of at least £12,000, on top of your commission!Who are Austin Fraser?In short, we're an award-winning, international recruitment consultancy.We have specialist consultants that cover the Technology, Digital, Automation, Aviation and Life Science industries globally.Just like all the great companies, we started life in a garage. Back in 2007, our co-founders, Pete and Del, kicked off the AF journey armed with nothing but one big vision.Fast Forward 11 years and we now have 6 offices across Germany, America and the UK with a 7th due to launch in March 2019 - AF HamburgSo, if your looking to be apart of somewhere that does things a little differently, we want to hear from you!Alternatively, if you've come this far down the advert and think Recruitment isn't quite your cup of tea, that's fine, perhaps you have a friend who would be a great fit? Feel free to send them our way!Austin Fraser is committed to being an equal opportunities employer, and encourages applications from candidates regardless of sex, race, disability, age, sexual orientation, gender reassignment, religion or belief, marital status, or pregnancy and maternity status.Due to the volume of applications received, we are unable to provide individual feedback to unsuccessful applicants."	"Reading, Berkshire, UK"	"Sales and Marketing, HR"	"ASAP"	"£25k - £40k per annum + Benefits"	"Austin Fraser Ltd"	"Christopher Walls"	"JS-100K"	"10/12/2018 16:35:08"	"http://www.jobserve.com/GmkEp"	NA
"Chief Scrum Master - London - up to £60,000"	"£50k - £60k per annum + bonus, Pension"	"London"	"Permanent"	"Chief Scrum Master - London - up to £60,000"	"London - £50k - £60k per annum + bonus, Pension"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Chief Scrum Master - London - £50,000-£60,000 My client a Fintech that specialise in Risk Analytics software are currently looking for a Chief Scrum Master (RTE) on a permanent basis for their London office.The division have 7 project teams each having their own Scrum Master. As Chief Scrum Master you will oversee each Scrum Masters projects and report directly to the CTO. They are using a Scaled Agile Framework (SAFe) which is an effective scaling framework which helps in aligning organizational goals.The Chief Scrum Master conducts the Scrum of Scrums in SAFe. Each agile team of the Agile Release Train will have their respective Scrum Master. These scrum masters participate in the Scrum of Scrums which is led by this role. As the chief Scrum Master, you will be responsible for handling and removing multiple project dependencies, improving process and coordinating between various teams.You will be able to engage at all levels of the business and enjoy working with multiple different stakeholders.12 Traits of a Great Chief Scrum Master Agile MindsetCourageous Servant LeadershipIntegrity FacilitatorNegotiator Communicator TeacherMentorHonest and Transparent Critical ThinkingLifelong learnerAny of the below qualifications would be helpful but not essential.Certified ScrumMaster (CSM)Certified Scrum Professional (CSP)Certified Scrum Product Owner (CSPO)Agile Engineering with optional Certified Scrum Developer (CSD) certificationProject Management Institute - Agile Certified Professional Advanced ScrumMaster (ASM) Scaled Agilist (SA) SAFe Program Consultant (SPC4) SAFe Release Train Engineer (RTE4)Please submit your CV for immediate consideration. (see below) "	"London, UK"	"Finance"	NA	"£50k - £60k per annum + bonus, Pension"	"Gravitas Recruitment Group Ltd"	"Tim Bunn "	"JS-BBBH54400"	"10/12/2018 10:05:32"	"http://www.jobserve.com/Gmg1k"	NA
"Scrum Master - London - up to £55,000"	"£45k - £55k per annum + bonus, Pension"	"London"	"Permanent"	"Scrum Master - London - up to £55,000"	"London - £45k - £55k per annum + bonus, Pension"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"Scrum Master - London - Up to £55,000 per annum My client a Fintech that specialise in Risk Analytics software are currently looking for a Scrum Master (RTE) on a permanent basis for their London office.The division have 7 project teams each having their own Scrum Master. As Chief Scrum Master you will oversee each Scrum Masters projects and report directly to the CTO. They are using a Scaled Agile Framework (SAFe) which is an effective scaling framework which helps in aligning organizational goals.The Chief Scrum Master conducts the Scrum of Scrums in SAFe. Each agile team of the Agile Release Train will have their respective Scrum Master. These scrum masters participate in the Scrum of Scrums which is led by this role. As the chief Scrum Master, you will be responsible for handling and removing multiple project dependencies, improving process and coordinating between various teams.You will be able to engage at all levels of the business and enjoy working with multiple different stakeholders.12 Traits of a Great Chief Scrum Master Agile MindsetCourageous Servant LeadershipIntegrity FacilitatorNegotiator Communicator TeacherMentorHonest and Transparent Critical ThinkingLifelong learnerAny of the below qualifications would be helpful but not essential.Certified ScrumMaster (CSM)Certified Scrum Professional (CSP)Certified Scrum Product Owner (CSPO)Agile Engineering with optional Certified Scrum Developer (CSD) certificationProject Management Institute - Agile Certified Professional Advanced ScrumMaster (ASM) Scaled Agilist (SA) SAFe Program Consultant (SPC4) SAFe Release Train Engineer (RTE4)Please submit your CV for immediate consideration. (see below) "	"London, UK"	"IT"	NA	"£45k - £55k per annum + bonus, Pension"	"Gravitas Recruitment Group Ltd"	"Tim Bunn "	"JS-BBBH54400"	"12/12/2018 11:48:11"	"http://www.jobserve.com/Gm6Gb"	NA
"IT Trainer/Coach - Returners Programme"	""	"United Kingdom"	"Permanent"	"IT Trainer/Coach - Returners Programme"	"United Kingdom"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"Returning to work after a break doesn't have to be daunting. At QA, we want you to have a fulfilling career that works for you and your family - and we'll support you as you relaunch your working life. We're seeking tech trainers and coaches who love helping others to learn and accomplish their goals. This role offers returning parents the opportunity to utilise your existing skills but apply them in a completely different way. It's the perfect career for parents returning to work, whether you're experienced in a similar role or looking to retrain for a new career in teaching/education.We're offering this role as part of our Return | (Re)Train initiative - an exciting new programme to support returners, upskill talent for the tech sector and make getting back to work an exciting experience.The roleOur programmes and courses train up talent to meet employers' tech and business skills needs and help learners take their own careers to the next level. At QA, we genuinely transform our learners' lives, and in this role you'll be part of that. Whether you're teaching an apprentice their first line of code or supporting a new manager as they tackle the challenges of dispute management, you will be their teacher.With our support, you'll deliver tech course content through a combination of face-to-face, E-learning and digital methods and coach learners to help them succeed - whether they're highly qualified professionals or beginners looking to join the field. You'll teach both scheduled/public and customised courses for relevant areas of QA's tech portfolio.This is an exciting, fulfilling role where you get to interact directly with learners to help them grow their skills and achieve their potential.How we'll support your return to work A supportive workplace that accommodates your family responsibilities  Flexible working contracts - we can even offer you school holidays off  Training courses to help you learn new coaching skills or provide a refresher in the field  An assigned co-pilot/\"buddy\" to get you up to speed with our processes and award-winning tech coursesWhat we offer Generous base salary (dependent on experience)  School holidays off (or ad hoc holiday bookings if that is better for you)  Unique return-to-work training programme (not mandatory but there for you should you want to use it)  Two days paid charity work for a charity of your choice  Three days of paid training from your choice of 1,200+ diverse QA courses  Subsidised gym membership and cycle to work scheme  Private pensionYou are  Passionate about helping, supporting and teaching others  Willing to learn  Confident at speaking to groups of people (perhaps in customer-facing roles) with strong presentation, interpersonal and communication skills and the ability to share your expertise/experience with others  Eligible to live and work in the UK  Able to plan and deliver against set learning and achievement targetsWho are we? QA is one of the largest learning services organisations in the UK. We help develop skills and capabilities for everyone, from apprentices to business leaders. Headquartered in London with 20 more training centres nationwide, QA Group comprises four fast-growing divisions-QA Learning, QA Apprenticeships, QA Consulting and QA Higher Education-all of which deliver innovative, award-winning (2016 Top 20 IT Training Companies List) and ever-evolving skills solutions.We'd love to support your return to work-apply today and let's get started on your newest career chapter! "	"United Kingdom"	"IT, Education"	"ASAP"	NA	"QA"	"QA"	"JS2607359/599336859"	"12/12/2018 11:14:41"	"http://www.jobserve.com/GlxOH"	NA
"Product Owner"	"£45-50k + excellent benefits"	"East of England, United Kingdom"	"Permanent"	"Product Owner"	"East of England, United Kingdom - £45-50k + excellent benefits"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"A global leader in assessment and E-learning is looking for a Product Owner to join their digital and new product development team. This team is responsible for their exciting new range of digital learning, assessment, and teaching products from early stage development. They aim to use thelatest emerging digital tech to create world leading digital learning and assessment experiences on mobile and theweb, touching millions of lives. As a Product Owner within this organisation you will take ideas and challenges from the business or customers and by adopting a user-centric, innovative and iterative approach, find digital solutions. Using your knowledge, ideally of the language learning, teaching and assessment market, you will manage thedevelopment and improvement of a group of digital learning products and provide clear ownership. You will help intensify the focus on new digital learning and assessment by: Ensuring iterative, user centicand agile approaches are employed as required Focus on customer needs, value and a positive user experience that benefits the business Make sure product development focuses on ROI To be considered you will need: To be passionate about innovation and user centric approaches to digital products and development Ideally you will have experience of the language learning market in the UK and ideally overseas as well. This could be as a teacher or similar before moving into digital product development You will have a proven track record in the design, development and delivery of digital products and ideally learning/E-learning/training products The client has an excellent working environment and this role has an impressive benefits package."	"East of England, United Kingdom"	"IT, Sales and Marketing, Education"	NA	"£45-50k + excellent benefits"	"SynApps"	"Ian Reid "	"JS"	"11/12/2018 10:53:32"	"http://www.jobserve.com/GmtZW"	NA
"Teacher of Business Studies Required"	"110.00 - 150.00 Annual GBP"	"Maidstone, Kent"	"Unspecified"	"Teacher of Business Studies Required"	"Maidstone, Kent - 110.00 - 150.00 Annual GBP"	"Unspecified"	"Posted: Wednesday, 12 December 2018"	""	"Teacher of Business Studies Required We have an exciting opportunity for a Business Studies teacher to join one of our academics in the Medway area as soon as possible. You will be able to bring elements of fun into the classrooms and make learning an enjoyable experience. To be suitable candidate you need to have the ability to teach well thought out lessons that will maintain the interest of the students. A successful candidate will be committed and passionate with teaching students, to help them stay engage in the classrooms activities. To be considered for the Business Studies role: Good subject knowledgeIdeally hold a Qualified Teaching Status(QTS) or equivalentHave a good communication skillsBe able to motivate students and improve their confidenceThe role is essentially for two terms but could lead into a permanent position depending on the teacher. As a Business Studies Teacher with CER, you will benefit from: Great competitive pay (weekly pay) pay ratesRecommend a friend scheme with £250 bonus*Dedicated and committed Recruitment Consultant to support youMoney back on your DBS from CER*CER is committed to a policy of equal opportunities. We respect and value cultural and religious diversity and will not discriminate on the basis of age, gender, sexual orientation, race, ethnic origin, religion, culture or disability. Each individual is assessed on merit.  If you are seeking an interesting rewarding Business Studies role, please send an up to date CV or contact Alicia at CER on . *Term and conditions apply "	"Maidstone, Kent, UK"	"Education"	NA	"110.00 - 150.00 Annual GBP"	"CER EDUCATION RECRUITMENT"	"CER EDUCATION RECRUITMENT"	"JS3561_36716990/590125143"	"12/12/2018 09:05:00"	"http://www.jobserve.com/Gm4JH"	NA
"Teacher"	"16.00 Hourly after completing induction GBP"	"Southwark, London"	"Permanent"	"Teacher"	"Southwark, London - 16.00 Hourly after completing induction GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"JOB OVERVIEW - Teacher role  At The Complete Works Independent School, we are looking for passionate teachers to deliver creative lessons while successfully nurturing and inspiring our students. As part of our energetic and welcoming team, you will enthuse and motivate students to strive for success whilst following the schemes of work which will be provided.  WHY CHOOSE US: The Complete Works (TCW) is an alternative educational provision, which delivers a unique and innovative education to students. Our approach to learning allows students to feel empowered and appreciated. You do not require having a teaching qualification to teach at The Complete Works. We have students all over London eg Southwark, Lewisham, Tower Hamlets, Islington and Hackney.  The majority of our students have an individual teacher assigned to deliver their education pathway, which is based off-site at their homes, libraries or other suitable settings. We also have TCW education centres where students can come and learn on-site together in small groups. Sometimes the circumstances can be challenging but often the results are very rewarding. WHAT WE OFFER: You will be on an induction rate for the first four weeks. After the four weeks, your rate will be reviewed and be increased Bank worker contract A school that is fully dedicated to developing every child to reach their full potential, irrespective of their ability Collaborative working within our shared family of schools to support our endeavours to work smarter and achieve an effective balance between home and work. A dedicated and friendly team of professionals who are keen to develop and learn. Development through mentorship and coaching Trainings  Facilities to resource your ability to teach your students  Tailor made individual learning plans for every student  JOB REQUIREMENTS: Some experience working with SEN or behavioural students Would like to make a difference Passionate about education Degree or equivalent  THE RIGHT CANDIDATE WILL HAVE: A detailed knowledge of the curriculum and its means of delivery High standards of communication and interpersonal skills. The ability to work as a team. The ability to work towards deadlines. The ability to motivate both students and your peers. Highly motivated and enthusiastic. Excellent attendance and punctuality. Experience innovating to deliver the curriculum Find out more on our school website or email us via the button below. "	"Southwark, London, UK"	"Media"	NA	"16.00 Hourly after completing induction GBP"	"THE COMPLETE WORKS INDEPENDENT SCHOOL"	"THE COMPLETE WORKS INDEPENDENT SCHOOL"	"JS3573_6814764/583836162"	"11/12/2018 09:19:11"	"http://www.jobserve.com/GmszX"	NA
"Teacher of Biology, Chemistry or Physics- Jan 2019- West London"	"GBP"	"London"	"Permanent"	"Teacher of Biology, Chemistry or Physics- Jan 2019- West London"	"London - GBP"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"Job Description KS3-KS5 Teacher of Science/Science Teacher- West London A thriving and diligent Secondary School and Sixth form is looking for an 'Outstanding' Science Teacher/Teacher of Science to join their team to provide excellent education to KS3- KS5 students on a fixed term contract starting from January 2019 with the opportunity to be transferred to a permanent contract. * Have you got a PGCE with QTS or SCITT in Science? (NQTs welcomed)* Can you work on a fixed term contract?* Able to start from January 2019 but available to interview ASAP?If you have met all the requirements above, then we want to hear from you ASAP!Job Information* West London** Fixed-term and full-time*January 2019- July 2019.**KS3- KS5 Students*As a Science Teacher/Teacher of Science the role includes providing \"Good\" to \"Outstanding\" UK Science Curriculum lessons, preparing lesson plans for the week, prepping students for exams and ensuring that all children are receiving an exceptional level of education.Furthermore, the Teacher of Science/Science Teacher role at the school will include directing students accordingly whilst using different and effective learning styles in the classroom. An example is using visual, written and spoken elements in the lessons to engage all students in the classroom as each student may respond to different learning techniques. The Teacher of Science will also ensure that a good rapport is built within the classroom. School InformationThe Secondary school is located in West London and has accessible transport links including tube, national rail and bus services. The Science Department in the school utilise their great teaching resources to provide outstanding education for their students to achieve their highest potential grades.In addition, the school ensures that all students' abilities are catered to by employing extra support staff. Pupils are dedicated to applying to their sixth form and other further education opportunities, with many of the students wanting to study Science at A-Level. As a whole the staffing team work together to keep the school thriving and to help as many students move onto further education or apprenticeships.To apply for this role, you must have a PGCE with QTS or SCITT qualification in Science to be shortlisted for the position. Please only apply if you meet these requirements. Thank you.  "	"London, UK"	"Science"	NA	"GBP"	"Servoca Education"	"Servoca Education"	"JSB53F7C40/596972441"	"12/12/2018 07:12:48"	"http://www.jobserve.com/Gm3bl"	NA
