"k","alpha","delta","burnin","iter","perplexity"
10,0.001,0.001,50,200,909.276629515008
10,0.001,0.001,50,200,872.261202173494
10,0.001,0.001,50,200,909.197008901783
10,0.001,0.001,50,200,880.685451903676
10,0.001,0.001,50,200,900.097193255636
10,0.005,0.001,50,200,903.45909967015
10,0.005,0.001,50,200,868.536252732575
10,0.005,0.001,50,200,900.294657682599
10,0.005,0.001,50,200,876.558262083606
10,0.005,0.001,50,200,891.076995709008
10,0.01,0.001,50,200,898.169881767859
10,0.01,0.001,50,200,863.715871661588
10,0.01,0.001,50,200,897.902109752316
10,0.01,0.001,50,200,870.068352888728
10,0.01,0.001,50,200,889.462194523239
10,0.05,0.001,50,200,894.054716185751
10,0.05,0.001,50,200,862.495741773928
10,0.05,0.001,50,200,896.231676785404
10,0.05,0.001,50,200,875.454040426602
10,0.05,0.001,50,200,888.397126736029
10,0.1,0.001,50,200,900.853374331396
10,0.1,0.001,50,200,867.285145318639
10,0.1,0.001,50,200,895.906350495729
10,0.1,0.001,50,200,875.509904933057
10,0.1,0.001,50,200,885.651674283348
10,0.15,0.001,50,200,902.004837965191
10,0.15,0.001,50,200,863.249200506792
10,0.15,0.001,50,200,897.227882345867
10,0.15,0.001,50,200,878.879117067279
10,0.15,0.001,50,200,885.956529765535
10,0.2,0.001,50,200,902.309095904139
10,0.2,0.001,50,200,862.781359275751
10,0.2,0.001,50,200,903.956871907296
10,0.2,0.001,50,200,883.349745190169
10,0.2,0.001,50,200,889.081910831503
10,0.25,0.001,50,200,906.484010389147
10,0.25,0.001,50,200,862.820147509035
10,0.25,0.001,50,200,903.685057715476
10,0.25,0.001,50,200,878.357729403355
10,0.25,0.001,50,200,889.638593149413
10,0.3,0.001,50,200,907.085045179121
10,0.3,0.001,50,200,868.056690493194
10,0.3,0.001,50,200,902.618572637464
10,0.3,0.001,50,200,882.289473143529
10,0.3,0.001,50,200,896.212362028771
10,0.35,0.001,50,200,907.536935577261
10,0.35,0.001,50,200,868.128107947276
10,0.35,0.001,50,200,902.825231226621
10,0.35,0.001,50,200,881.292938830571
10,0.35,0.001,50,200,902.902871872256
10,0.4,0.001,50,200,911.558467715339
10,0.4,0.001,50,200,870.760474199479
10,0.4,0.001,50,200,908.276230382464
10,0.4,0.001,50,200,883.053404452535
10,0.4,0.001,50,200,901.94170102974
10,0.001,0.005,50,200,884.320084459199
10,0.001,0.005,50,200,854.929214345261
10,0.001,0.005,50,200,885.34873575318
10,0.001,0.005,50,200,863.614718567882
10,0.001,0.005,50,200,878.380952450453
10,0.005,0.005,50,200,875.402155351895
10,0.005,0.005,50,200,840.709332099728
10,0.005,0.005,50,200,871.15078769508
10,0.005,0.005,50,200,840.470642997482
10,0.005,0.005,50,200,865.460571394077
10,0.01,0.005,50,200,871.723679934977
10,0.01,0.005,50,200,839.187412467942
10,0.01,0.005,50,200,872.709947229895
10,0.01,0.005,50,200,837.425731474446
10,0.01,0.005,50,200,866.585670226409
10,0.05,0.005,50,200,867.028637828732
10,0.05,0.005,50,200,830.134298941431
10,0.05,0.005,50,200,862.111294086128
10,0.05,0.005,50,200,836.300391461091
10,0.05,0.005,50,200,858.746944100597
10,0.1,0.005,50,200,867.877494798427
10,0.1,0.005,50,200,830.532923468568
10,0.1,0.005,50,200,863.626527839678
10,0.1,0.005,50,200,834.749814023431
10,0.1,0.005,50,200,853.638064489432
10,0.15,0.005,50,200,865.670481038731
10,0.15,0.005,50,200,832.499841648541
10,0.15,0.005,50,200,865.572457837417
10,0.15,0.005,50,200,847.232502455639
10,0.15,0.005,50,200,861.695279307051
10,0.2,0.005,50,200,868.391584393001
10,0.2,0.005,50,200,832.172335962221
10,0.2,0.005,50,200,863.958430941363
10,0.2,0.005,50,200,838.542481480273
10,0.2,0.005,50,200,856.64090250405
10,0.25,0.005,50,200,870.704989759405
10,0.25,0.005,50,200,832.652064144339
10,0.25,0.005,50,200,865.935790338886
10,0.25,0.005,50,200,839.613284545202
10,0.25,0.005,50,200,863.554985284069
10,0.3,0.005,50,200,874.066106581421
10,0.3,0.005,50,200,840.243797948495
10,0.3,0.005,50,200,871.070609992831
10,0.3,0.005,50,200,847.341851846838
10,0.3,0.005,50,200,861.515756587738
10,0.35,0.005,50,200,869.106248955085
10,0.35,0.005,50,200,841.470670832321
10,0.35,0.005,50,200,870.25641663208
10,0.35,0.005,50,200,842.596056083363
10,0.35,0.005,50,200,863.036352765052
10,0.4,0.005,50,200,873.068643320828
10,0.4,0.005,50,200,845.337263960899
10,0.4,0.005,50,200,871.344049757453
10,0.4,0.005,50,200,845.05591362414
10,0.4,0.005,50,200,865.874468732995
10,0.001,0.01,50,200,876.092861943406
10,0.001,0.01,50,200,847.327768628631
10,0.001,0.01,50,200,885.447824063133
10,0.001,0.01,50,200,858.418538088707
10,0.001,0.01,50,200,875.939395825138
10,0.005,0.01,50,200,864.587209937966
10,0.005,0.01,50,200,839.045710849693
10,0.005,0.01,50,200,872.364629214771
10,0.005,0.01,50,200,848.568738074346
10,0.005,0.01,50,200,863.066398146025
10,0.01,0.01,50,200,862.837880542233
10,0.01,0.01,50,200,832.172371609241
10,0.01,0.01,50,200,863.444693950631
10,0.01,0.01,50,200,837.772665530983
10,0.01,0.01,50,200,861.71163537407
10,0.05,0.01,50,200,853.994877843707
10,0.05,0.01,50,200,819.446250321184
10,0.05,0.01,50,200,854.044863842119
10,0.05,0.01,50,200,829.136156236516
10,0.05,0.01,50,200,844.523060526271
10,0.1,0.01,50,200,862.078250225695
10,0.1,0.01,50,200,818.521594107796
10,0.1,0.01,50,200,855.892922752892
10,0.1,0.01,50,200,836.389794372549
10,0.1,0.01,50,200,847.539433820454
10,0.15,0.01,50,200,857.049128559814
10,0.15,0.01,50,200,821.675099865969
10,0.15,0.01,50,200,859.439532059324
10,0.15,0.01,50,200,832.95431377635
10,0.15,0.01,50,200,846.7763823244
10,0.2,0.01,50,200,858.625298541432
10,0.2,0.01,50,200,822.385783634204
10,0.2,0.01,50,200,862.134358485675
10,0.2,0.01,50,200,835.616879896102
10,0.2,0.01,50,200,851.349679816845
10,0.25,0.01,50,200,858.749951125082
10,0.25,0.01,50,200,828.325076098638
10,0.25,0.01,50,200,856.797381303686
10,0.25,0.01,50,200,837.050962429279
10,0.25,0.01,50,200,854.9629255344
10,0.3,0.01,50,200,858.417669922001
10,0.3,0.01,50,200,830.342129321978
10,0.3,0.01,50,200,859.441239764613
10,0.3,0.01,50,200,831.907545240886
10,0.3,0.01,50,200,854.669545350442
10,0.35,0.01,50,200,866.20164592625
10,0.35,0.01,50,200,829.230725223397
10,0.35,0.01,50,200,858.914530865988
10,0.35,0.01,50,200,842.754832186251
10,0.35,0.01,50,200,852.82095063478
10,0.4,0.01,50,200,859.184506240953
10,0.4,0.01,50,200,829.973517061737
10,0.4,0.01,50,200,861.764374642203
10,0.4,0.01,50,200,843.040361024898
10,0.4,0.01,50,200,851.148529137473
10,0.001,0.05,50,200,879.671102328256
10,0.001,0.05,50,200,847.007618927654
10,0.001,0.05,50,200,875.744981053867
10,0.001,0.05,50,200,858.749667758011
10,0.001,0.05,50,200,872.145718767457
10,0.005,0.05,50,200,862.863720414137
