"k","alpha","delta","burnin","iter","perplexity"
10,0.001,0.001,50,300,799.373809240501
10,0.001,0.001,50,300,826.02749946555
10,0.001,0.001,50,300,818.356020366615
10,0.001,0.001,50,300,850.502226815939
10,0.001,0.001,50,300,878.002755452607
10,0.005,0.001,50,300,796.785778803799
10,0.005,0.001,50,300,824.584478565241
10,0.005,0.001,50,300,818.870311437846
10,0.005,0.001,50,300,854.137780670666
10,0.005,0.001,50,300,876.136768120526
10,0.01,0.001,50,300,797.609636493566
10,0.01,0.001,50,300,823.032046427576
10,0.01,0.001,50,300,819.57169063474
10,0.01,0.001,50,300,850.567027796985
10,0.01,0.001,50,300,880.210153504965
10,0.05,0.001,50,300,796.840871139278
10,0.05,0.001,50,300,823.281757585855
10,0.05,0.001,50,300,817.146851419086
10,0.05,0.001,50,300,851.645466176546
10,0.05,0.001,50,300,882.574186721419
10,0.1,0.001,50,300,805.308510508156
10,0.1,0.001,50,300,829.167547380485
10,0.1,0.001,50,300,815.465316014852
10,0.1,0.001,50,300,848.476625072962
10,0.1,0.001,50,300,882.594781239577
10,0.15,0.001,50,300,799.033746624998
10,0.15,0.001,50,300,829.578726553539
10,0.15,0.001,50,300,824.285412342314
10,0.15,0.001,50,300,853.054904442968
10,0.15,0.001,50,300,886.155174272611
10,0.2,0.001,50,300,800.918216702301
10,0.2,0.001,50,300,840.776237171389
10,0.2,0.001,50,300,824.741554476994
10,0.2,0.001,50,300,859.066557528405
10,0.2,0.001,50,300,893.454126575662
10,0.25,0.001,50,300,809.511698916826
10,0.25,0.001,50,300,841.390715358969
10,0.25,0.001,50,300,825.013572806263
10,0.25,0.001,50,300,858.098895053956
10,0.25,0.001,50,300,892.840387480205
10,0.3,0.001,50,300,806.763920523098
10,0.3,0.001,50,300,840.543410675329
10,0.3,0.001,50,300,830.235870215247
10,0.3,0.001,50,300,854.099988422374
10,0.3,0.001,50,300,885.825102545825
10,0.35,0.001,50,300,803.377312429285
10,0.35,0.001,50,300,845.206892643257
10,0.35,0.001,50,300,834.32958256192
10,0.35,0.001,50,300,861.207327780935
10,0.35,0.001,50,300,892.220791157336
10,0.4,0.001,50,300,810.139091014361
10,0.4,0.001,50,300,844.631095847503
10,0.4,0.001,50,300,835.311573417567
10,0.4,0.001,50,300,863.943467286356
10,0.4,0.001,50,300,901.677321390045
10,0.001,0.005,50,300,755.777948015341
10,0.001,0.005,50,300,794.028771400264
10,0.001,0.005,50,300,797.595704844258
10,0.001,0.005,50,300,816.73117377446
10,0.001,0.005,50,300,839.995607580835
10,0.005,0.005,50,300,757.377245887816
10,0.005,0.005,50,300,787.768751388885
10,0.005,0.005,50,300,789.075836294489
10,0.005,0.005,50,300,815.005088064719
10,0.005,0.005,50,300,831.890207879167
10,0.01,0.005,50,300,749.905652135993
10,0.01,0.005,50,300,782.369507964329
10,0.01,0.005,50,300,782.513792913862
10,0.01,0.005,50,300,816.889382291457
10,0.01,0.005,50,300,831.928965362193
10,0.05,0.005,50,300,754.222253485375
10,0.05,0.005,50,300,782.213902732746
10,0.05,0.005,50,300,779.730194937776
10,0.05,0.005,50,300,814.295106308259
10,0.05,0.005,50,300,828.540986354693
10,0.1,0.005,50,300,753.860646382162
10,0.1,0.005,50,300,793.386418360571
10,0.1,0.005,50,300,784.772349718726
10,0.1,0.005,50,300,818.36669592046
10,0.1,0.005,50,300,830.439155129481
10,0.15,0.005,50,300,753.340688352058
10,0.15,0.005,50,300,782.750031483081
10,0.15,0.005,50,300,775.953509993402
10,0.15,0.005,50,300,815.437695213296
10,0.15,0.005,50,300,831.625603665771
10,0.2,0.005,50,300,754.860175796153
10,0.2,0.005,50,300,783.020900844844
10,0.2,0.005,50,300,791.745620294343
10,0.2,0.005,50,300,809.544625659355
10,0.2,0.005,50,300,833.575527981721
10,0.25,0.005,50,300,759.370839681222
10,0.25,0.005,50,300,791.957113409542
10,0.25,0.005,50,300,786.820402226197
10,0.25,0.005,50,300,815.688994689792
10,0.25,0.005,50,300,830.938845622152
10,0.3,0.005,50,300,763.093061924531
10,0.3,0.005,50,300,789.609653097445
10,0.3,0.005,50,300,792.808752707161
10,0.3,0.005,50,300,812.479133263099
10,0.3,0.005,50,300,837.311135363048
10,0.35,0.005,50,300,758.097594313551
10,0.35,0.005,50,300,793.281192582559
10,0.35,0.005,50,300,793.651467858483
10,0.35,0.005,50,300,816.838815085416
10,0.35,0.005,50,300,830.450591779277
10,0.4,0.005,50,300,760.205353331052
10,0.4,0.005,50,300,792.742782405719
10,0.4,0.005,50,300,791.611142832594
10,0.4,0.005,50,300,818.6894305066
10,0.4,0.005,50,300,836.842509512158
10,0.001,0.01,50,300,756.467732715573
10,0.001,0.01,50,300,790.359425681436
10,0.001,0.01,50,300,790.085042879282
10,0.001,0.01,50,300,814.95056595292
10,0.001,0.01,50,300,828.363467179203
10,0.005,0.01,50,300,746.391459613513
10,0.005,0.01,50,300,785.954718572599
10,0.005,0.01,50,300,772.958950417096
10,0.005,0.01,50,300,808.726012513455
10,0.005,0.01,50,300,819.951473539684
10,0.01,0.01,50,300,738.721826002335
10,0.01,0.01,50,300,781.092296026428
10,0.01,0.01,50,300,766.065430417222
10,0.01,0.01,50,300,808.819918761162
10,0.01,0.01,50,300,815.987309436528
10,0.05,0.01,50,300,744.692845445702
10,0.05,0.01,50,300,775.745127536847
10,0.05,0.01,50,300,767.35135400772
10,0.05,0.01,50,300,805.423933749517
10,0.05,0.01,50,300,817.27566131241
10,0.1,0.01,50,300,738.76595250703
10,0.1,0.01,50,300,775.36875485645
10,0.1,0.01,50,300,772.888095550022
10,0.1,0.01,50,300,810.012455619486
10,0.1,0.01,50,300,818.121907641291
10,0.15,0.01,50,300,743.966649253791
10,0.15,0.01,50,300,777.554921949412
10,0.15,0.01,50,300,772.77345556304
10,0.15,0.01,50,300,808.872677186022
10,0.15,0.01,50,300,812.714229642622
10,0.2,0.01,50,300,736.786497487815
10,0.2,0.01,50,300,778.447854364473
10,0.2,0.01,50,300,776.913543150311
10,0.2,0.01,50,300,805.580452559447
10,0.2,0.01,50,300,817.211907902675
10,0.25,0.01,50,300,736.358030716579
10,0.25,0.01,50,300,772.937792087709
10,0.25,0.01,50,300,776.624978484634
